,종목코드,15-16,16-17,17-18,18-19,19-20
0,000070,2,0,0,1,0
1,000080,1,0,1,1,2
2,000100,2,0,1,2,2
3,000120,1,1,0,2,2
4,000150,0,1,1,1,0
5,000210,2,1,0,2,1
6,000240,1,1,1,1,0
7,000270,1,0,0,2,1
8,000640,2,0,1,1,2
9,000660,0,2,2,1,2
10,000670,0,1,1,1,1
11,000720,0,2,0,2,0
12,000810,1,1,1,2,0
13,000880,1,1,1,1,0
14,000990,2,1,0,1,2
15,001040,1,0,0,1,0
16,001060,2,2,1,1,2
17,001120,1,1,0,0,0
18,001230,1,2,0,0,0
19,001430,0,1,0,0,0
20,001450,2,1,1,1,1
21,001520,2,0,0,1,1
22,001680,0,0,1,2,1
23,001740,0,2,0,1,2
24,001800,0,0,0,0,1
25,002240,0,1,0,1,0
26,002270,1,0,1,1,0
27,002350,1,1,0,1,0
28,002380,0,0,1,1,0
29,002790,0,0,1,0,1
30,002960,1,0,0,1,2
31,003000,1,0,1,0,2
32,003240,0,1,2,2,0
33,003410,1,0,2,0,1
34,003490,0,1,1,1,1
35,003520,2,2,1,1,1
36,003550,1,1,1,1,1
37,003620,0,1,0,1,0
38,003850,1,1,1,0,2
39,003920,1,1,0,1,0
40,004000,1,1,2,0,1
41,004020,0,1,0,1,0
42,004170,1,1,2,1,1
43,004370,2,0,1,1,2
44,004490,0,0,0,2,0
45,004800,2,1,0,0,2
46,004990,2,0,0,1,0
47,005180,0,1,0,2,2
48,005250,2,0,2,0,2
49,005300,1,0,1,2,0
50,005380,0,1,0,1,1
51,005440,1,0,0,1,0
52,005490,0,2,1,1,1
53,005610,0,1,0,2,0
54,005830,2,0,1,2,0
55,005850,0,2,1,2,1
56,005930,0,2,1,0,2
57,005940,0,2,1,1,1
58,006120,1,0,0,0,2
59,006260,0,2,1,0,1
60,006280,1,1,2,0,2
61,006360,0,1,1,2,0
62,006390,0,1,0,2,0
63,006400,0,2,2,2,2
64,006650,2,1,1,0,1
65,006800,0,1,1,1,1
66,006840,0,1,1,0,0
67,007070,2,1,0,2,2
68,007310,2,0,1,2,1
69,007570,2,0,1,0,2
70,008060,0,1,0,2,2
71,008560,0,1,1,2,0
72,008770,0,0,2,1,1
73,008930,2,0,2,1,0
74,009150,0,2,2,1,2
75,009240,1,1,0,0,0
76,009420,2,0,2,2,1
77,009540,0,2,0,1,1
78,009830,2,1,1,0,1
79,010060,1,0,2,0,0
80,010120,0,1,2,1,1
81,010130,1,1,1,1,1
82,010140,0,1,0,2,0
83,010620,0,2,1,0,0
84,010780,0,1,0,1,1
85,010950,2,1,1,0,1
86,011070,0,2,1,1,2
87,011170,2,1,1,0,1
88,011210,0,0,0,0,1
89,011780,0,2,1,1,1
90,011790,0,1,1,1,2
91,012330,1,1,1,1,2
92,012450,2,1,0,2,1
93,012630,0,0,1,0,0
94,012750,1,1,1,1,2
95,014680,1,1,1,2,2
96,014820,2,0,0,0,1
97,014830,0,0,1,1,1
98,015760,2,0,0,1,1
99,016360,0,0,1,1,2
100,017670,0,2,1,2,1
101,017800,0,1,2,2,1
102,018250,,,,2,0
103,018260,0,0,2,1,1
104,018880,0,1,1,1,2
105,019680,2,0,1,1,2
106,020000,1,0,1,2,0
107,020150,2,2,2,1,2
108,021240,1,1,1,2,1
109,023530,1,0,1,0,0
110,024110,0,1,2,1,0
111,025540,2,0,0,2,0
112,025860,1,1,2,1,1
113,026960,1,1,0,0,2
114,027410,2,0,0,0,0
115,028050,0,2,2,1,1
116,028260,1,1,1,0,2
117,028670,1,2,1,1,1
118,029780,1,1,0,1,2
119,030000,0,1,1,2,1
120,030200,1,1,0,1,1
121,031430,1,0,2,2,1
122,032640,1,2,0,2,1
123,032830,1,1,1,0,0
124,033780,1,0,1,1,1
125,034020,0,1,0,0,0
126,034220,0,1,0,0,0
127,034730,0,1,1,1,1
128,035250,1,1,0,2,1
129,035420,1,2,1,0,2
130,035720,0,0,2,1,2
131,036460,1,1,1,1,0
132,036570,2,1,2,2,2
133,042660,0,2,0,2,0
134,042670,0,2,1,0,0
135,047040,0,1,0,1,0
136,047050,0,1,1,1,1
137,047810,1,0,0,0,1
138,049770,0,0,1,2,1
139,051600,0,1,0,0,2
140,051900,1,0,2,2,2
141,051910,2,1,2,1,2
142,052690,0,1,1,0,1
143,055550,1,1,1,1,1
144,057050,1,1,0,1,0
145,060980,0,2,0,1,1
146,064350,0,2,0,2,0
147,064960,1,0,0,1,1
148,066570,1,1,2,0,1
149,068270,2,0,2,0,2
150,069260,0,2,1,1,1
151,069620,2,0,2,1,0
152,069960,0,0,0,2,1
153,071050,0,1,2,0,1
154,071840,0,1,2,0,0
155,073240,0,1,0,1,1
156,078930,2,1,1,1,1
157,079160,2,0,0,0,0
158,079430,0,0,1,1,0
159,079550,,0,0,1,0
160,081660,0,0,2,0,0
161,086280,0,0,1,0,1
162,086790,0,2,1,1,1
163,088350,0,1,1,0,0
164,090430,0,0,1,0,2
165,093050,0,1,1,1,0
166,093370,2,2,2,0,2
167,096760,2,1,1,1,1
168,096770,2,1,2,1,0
169,097950,0,1,0,1,1
170,103140,1,2,1,1,1
171,105560,0,2,1,0,1
172,105630,2,0,1,2,0
173,108670,0,0,0,1,1
174,111770,0,0,0,2,1
175,114090,0,1,1,1,1
176,115390,1,1,2,1,0
177,120110,2,1,1,0,1
178,128940,2,0,2,1,0
179,138930,0,1,1,0,1
180,139480,0,1,2,0,1
181,145990,1,1,0,0,0
182,161390,1,1,1,0,0
183,161890,1,1,1,1,0
184,170900,2,0,1,1,2
185,185750,2,0,1,1,2
186,192400,1,0,0,2,0
187,192820,0,1,1,2,0
188,204320,1,2,0,0,1
189,207940,,,2,0,2
190,214320,,0,1,2,1
191,241560,,,0,1,1
192,251270,,,,1,2
193,267250,,,,1,1
194,271560,,,,1,2
195,282330,,,,2,1
196,285130,,,,0,2
197,294870,,,,,0
198,298040,,,,,0
199,316140,,,,,0
