,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,1327786611907,1306700266118,1218481945179,1179857738221,969178973579,860690584654,702005681488,455173056165
1,유동자산,현금및현금성자산,284885465272,511412915293,330383569964,388368228592,274036505455,134948969468,104844519073,63047968227
2,유동자산,매출채권,279222938573,268844631124,279391345575,266392319036,224543905015,330216202215,300681262410,243262270248
3,유동자산,기타수취채권,93995186747,46992688879,246621792426,173732677880,82737176601,73129321240,101727954988,10722789607
4,유동자산,당기손익-공정가치측정금융자산,261397518214,124917768149,0,,,,,
5,유동자산,기타포괄손익-공정가치측정금융자산,16524224,16524224,0,,,,,
6,유동자산,당기손익인식금융자산,0,0,58186338923,64294199128,101955454528,,,
7,유동자산,유동매도가능금융자산,0,0,27989224,6960000,9710000,18475000,119295000,4445000
8,유동자산,유동파생상품자산,1770313963,539701628,0,,,,,
9,유동자산,기타유동금융자산,25579434040,11465000,0,,,,,
10,유동자산,재고자산,253714985212,227029928871,217784154477,197859302726,203315762332,229358723110,141634817612,120241742115
11,유동자산,기타유동자산,127204245662,108917068950,86086754590,86683412823,82552331648,92845634092,52997832405,17865662214
12,유동자산,매각예정비유동자산,0,18017574000,0,,,,552581737,
13,비유동자산,비유동자산,3000177943178,2091230973310,1726302401467,1562088764392,1526336019163,1912463291016,1672436208671,606839620080
14,비유동자산,장기매출채권,236544029,241963302,320996503,358678052,482977081,307007004,348873174,471742429
15,비유동자산,기타수취채권,110605117242,143531144435,143084179263,117325230725,101606749420,64875506409,26138619104,10722789607
16,비유동자산,당기손익-공정가치측정금융자산,33494104060,33057523560,0,,,,,
17,비유동자산,기타포괄손익-공정가치측정금융자산,3809392787,3800828347,0,,,,,
18,비유동자산,비유동당기손익인식금융자산,0,0,2966787000,,101955454528,,,
19,비유동자산,매도가능금융자산,0,0,36562149057,35308418094,33212787781,3761360122,9571620688,966635147
20,비유동자산,비유동파생상품자산,1704878206,400004941,0,,,,,
21,비유동자산,기타비유동금융자산,394864646,397810000,0,,,,,
22,비유동자산,관계기업투자자산,84853860658,170263220554,164186568893,159305708654,157623486610,131556224552,132135584420,237766013978
23,비유동자산,유형자산,1430032925300,1396079427555,1103018831000,958537542847,940933616362,1349566942060,1169177816049,227756233993
24,비유동자산,무형자산,206710520545,190791589054,150059773826,163675227138,168411482884,255389189990,224043613173,29139581195
25,비유동자산,투자부동산,117535050622,109593453743,101559014345,101559844318,98847101791,100713797132,100795208637,100515620142
26,비유동자산,사용권자산,952819487563,0,0,,,,,
27,비유동자산,이연법인세자산,49334956568,33269687189,21764515722,22213384881,22437776066,3866904356,3964964480,53244487
28,비유동자산,기타비유동자산,8646240952,9804320630,2779585858,3120356133,2771201168,2417519391,6259908946,3241814283
29,자산총계,자산총계,4327964555085,3397931239428,2944784346646,2741946502613,2495514992742,2773153875670,2374994471896,1062012676245
30,유동부채,유동부채,1565481508107,1331030390880,1307593984285,1314767741436,1232855272869,1273322615960,1351772260470,446381735824
31,유동부채,단기매입채무,329542789814,327964818346,363444962175,381560718223,321221477901,384587781223,272943954078,132002396057
32,유동부채,기타지급채무,244612601926,210589854340,187644969763,172339843707,139140796536,185772517046,114896488982,23447952062
33,유동부채,차입금,635447273773,453840493657,483187211680,510897443549,599867254311,568347965956,757412619143,278828930556
34,유동부채,당기법인세부채,26303509004,42369780424,40585643322,46900890107,15047319161,12231267240,13541710555,6169442683
35,유동부채,유동파생상품부채,1032516491,12350533530,3757447583,,4581911253,3045453077,,744559765
36,유동부채,충당부채,67791957366,1566184674,292722539,11616536725,45184704544,32258410107,24426123498,
37,유동부채,기타유동부채,260750859733,282348725909,228681027223,191452309125,152996513707,119337631418,192977487712,5188454701
38,비유동부채,비유동부채,1332544158887,593003207085,485126304204,415758016402,361066261065,672818668332,388200752649,104815804682
39,비유동부채,기타장기지급채무,100768359286,97376308849,90500864773,90355179252,95927550174,96681514984,97247381049,964102320
40,비유동부채,장기차입금,1017137312359,286561670523,239496379080,208072515643,173049775695,452035089000,196176418490,76035400000
41,비유동부채,비유동파생상품부채,1021783928,2399570765,1232168995,,4581911253,3045453077,,744559765
42,비유동부채,확정급여부채,18882595407,16297069414,10884608143,12806478427,12174665966,32915396742,16948914308,4515417722
43,비유동부채,이연법인세부채,36280846556,37178610373,35170221970,33044458742,32058663836,57046772087,52623925194,23300884640
44,비유동부채,충당부채,148239565419,139833743021,98576280296,64712547639,45184704544,32258410107,24426123498,
45,비유동부채,기타비유동부채,10213695932,13356234140,9265780947,6766836699,2670900850,1881485412,777990110,
46,부채총계,부채총계,2898025666994,1924033597965,1792720288489,1730525757838,1593921533934,1946141284292,1739973013119,551197540506
47,지배기업의 소유지분,지배기업의 소유지분,827282320665,845151914663,701515976979,620433258056,560924665415,559328228259,426433748455,363138385829
48,지배기업의 소유지분,자본금,66237805000,66237805000,66237805000,66237805000,66237805000,66237805000,58237805000,54490760000
49,지배기업의 소유지분,자본잉여금,264892346952,290756449292,248501255505,254087480643,254342123927,201885428051,135753825672,146443674320
50,지배기업의 소유지분,기타자본항목,-5581176093,-5682054055,-10073527685,-10106613278,-9610768961,-9893308778,-10106613278,-232060035219
51,지배기업의 소유지분,기타포괄손익누계액,5250166085,3521250572,2748856629,6730428197,6211782039,5613834481,6421595464,10678009674
52,지배기업의 소유지분,이익잉여금,496483178721,490318463854,394101587530,303484157494,243743723410,295484469505,236127135597,383585977054
53,비지배지분,비지배지분,602656567426,628745726800,450548081178,390987486719,340668793393,267684363119,208587710322,147676749910
54,자본총계,자본총계,1429938888091,1473897641463,1152064058157,1011420744775,901593458808,827012591378,635021458777,510815135739
55,,자본과부채총계,4327964555085,3397931239428,2944784346646,2741946502613,2495514992742,2773153875670,2374994471896,1062012676245
