,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,13834576609,-29202164098,384116106715,331970949892,359310661975,260294226969,235672481333,
1,영업활동현금흐름,영업으로부터창출된현금흐름,6926935850,9665156696,433005478907,397518637385,389276473366,286042329729,236557533236,
2,영업활동현금흐름,이자수취,954475922,9626377606,11799752756,10243749664,8936783306,7137027259,15055007782,
3,영업활동현금흐름,이자지급,1116410413,834942688,1612496064,,,,,
4,영업활동현금흐름,법인세납부,7501375200,47858860712,59556628884,,,,,
5,영업활동현금흐름,배당금수취,14570950450,200105000,480000000,604445000,147445000,262445000,147445000,
6,투자활동현금흐름,투자활동현금흐름,-402199801,29422726167,-350885683680,-158039491952,-444572163121,-255720017605,-117215720430,
7,투자활동현금흐름,당기손익인식금융자산의 취득,709574808421,244769321817,21348759175,,,,,
8,투자활동현금흐름,당기손익인식금융자산의 처분,694440681130,120079753336,50383238874,106727843207,123025406362,42516244649,,
9,투자활동현금흐름,단기금융상품의 취득,44004000000,956581500000,5699529455941,,,,,
10,투자활동현금흐름,단기금융상품의 처분,71454049000,1302467477720,5583241370138,4367644203500,2564089749899,188285660960,108806243318,
11,투자활동현금흐름,장기금융상품의 취득,,,300000000,,,,,
12,투자활동현금흐름,장기금융상품의 처분,,,38351764,2500000,,,,
13,투자활동현금흐름,기타유동금융자산의 취득,55000000,150653000,100000000,,,,,
14,투자활동현금흐름,기타유동금융자산의 처분,2759040053,2003685000,314306900,165059100,359182776,,,
15,투자활동현금흐름,기타비유동금융자산의 취득,2730404798,206662000,43194724832,,,,,
16,투자활동현금흐름,기타비유동금융자산의 처분,433233000,122332780,16797188531,28554206191,27177062255,,,
17,투자활동현금흐름,매도가능금융자산의 취득,,,81164855804,-10749533365,-1253882000,-1476708000,-1600000000,
18,투자활동현금흐름,매도가능금융자산의 처분,,,1849319699,6288522591,1688991774,768250435,7400000,
19,투자활동현금흐름,관계기업투자주식의 취득,,138568549776,,,,-680000000,,
20,투자활동현금흐름,관계기업투자주식의 처분,,,37930628750,119140920,,,,
21,투자활동현금흐름,유형자산의 취득,5227447769,4006552074,174646964250,-118106639935,-93283612119,-67797359482,-63479059481,
22,투자활동현금흐름,유형자산의 처분,166724514,15450175,574703677,15662117184,651093444,1538790055,888563116,
23,투자활동현금흐름,무형자산의 취득,300068111,1295819512,21120010600,-17484031300,-15314977478,-9665385181,-10108418174,
24,투자활동현금흐름,무형자산의 처분,,,625857003,718220062,646796359,830455516,1453040000,
25,투자활동현금흐름,투자부동산의 취득,4743262325,20077733073,,,,,,
26,투자활동현금흐름,매각예정자산의 처분,,,13732000000,,,,,
27,투자활동현금흐름,선급금의 증가,-1390343880,-1125000,-2818283238,-969958000,-149402787,-5925009000,,
28,투자활동현금흐름,미지급금의 감소,,-42550000,-12149595176,-7909653969,-6696323540,-5666773504,,
29,투자활동현금흐름,사업결합으로 인한 순현금 유출,-1630592194,-29565506592,,,,,,
30,재무활동현금흐름,재무활동현금흐름,-11535625361,-3719220910,-118592879123,-224781080760,26656117466,6981837711,-17256206266,
31,재무활동현금흐름,종속기업투자주식의 취득,-210687500,,-1781164968,-716325000,-1845521946,,-3889658920,
32,재무활동현금흐름,비지배지분의 납입,5000000000,,,,,,,
33,재무활동현금흐름,차입금의 증가,30527000000,34292000000,51907111087,64322000000,42312000000,44772260000,62858000000,
34,재무활동현금흐름,차입금의 상환,33835907673,30918000000,44264000000,-103641333324,-67439333324,-41013444439,-84313790000,
35,재무활동현금흐름,리스부채의 상환,9600654934,,,,,,,
36,재무활동현금흐름,신주발행비용,76256797,641992260,,-265458524,-140767596,,,
37,재무활동현금흐름,배당금지급,3338931170,6451143000,39637857600,,,,,
38,재무활동현금흐름,자기주식의 취득,187287,85650,222868844,,-102626910,,-190800000,
39,재무활동현금흐름,인적분할로 인한 현금의 감소,,,-84594098798,,,,,
40,환율변동효과 반영전 현금및현금성자산의 순증가(감소),환율변동효과 반영전 현금및현금성자산의 순증가(감소),1896751447,-3498658841,-85362456088,-50849622820,-58605383680,11556047075,101200554637,
41,현금및현금성자산에 대한 환율변동효과,현금및현금성자산에 대한 환율변동효과,,,-4561312,28728753,5484506,,-747774,
42,현금및현금성자산의 순증감,현금및현금성자산의 순증감,1896751447,-3498658841,-85367017400,-50849622820,-58605383680,11556047075,,
43,기초의 현금및현금성자산,기초의 현금및현금성자산,12525946607,16024605448,101391622848,152212516915,210812416089,199256369014,98056562151,
44,당기말의 현금및현금성자산,당기말의 현금및현금성자산,14422698054,12525946607,16024605448,101391622848,152212516915,210812416089,199256369014,
