,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,744140651570,696072311454,566642689601,,,,,
1,유동자산,현금및현금성자산,28047949946,35338825797,28756851273,,,,,
2,유동자산,당기손익인식금융자산,359903773468,132982404973,2038519520,,,,,
3,유동자산,단기금융상품,59200000000,189390506851,213887845891,,,,,
4,유동자산,기타금융자산,146467360763,171283390648,155723763464,,,,,
5,유동자산,당기법인세자산,,21384919,771990,,,,,
6,유동자산,매출채권및기타채권,55903650506,54342857209,62977482680,,,,,
7,유동자산,재고자산,90874465894,103393148174,94442425480,,,,,
8,유동자산,기타유동자산,3743450993,9319792883,8815029303,,,,,
9,비유동자산,비유동자산,1428270248136,786496225118,710706834487,,,,,
10,비유동자산,당기손익인식금융자산,31211398802,29519356671,4002532400,,,,,
11,비유동자산,장기금융상품,304000000,304000000,304500000,,,,,
12,비유동자산,기타포괄손익-공정가치금융자산,756998948,,,,,,,
13,비유동자산,매도가능금융자산,,,29096266033,,,,,
14,비유동자산,매출채권및기타채권,,,3837750000,,,,,
15,비유동자산,기타금융자산,250033792797,166346027651,172909668307,,,,,
16,비유동자산,유형자산,549816981097,486125142793,402170958993,,,,,
17,비유동자산,무형자산,48663894886,50785549949,54363145810,,,,,
18,비유동자산,사용권자산,514679239841,,,,,,,
19,비유동자산,순확정급여자산,703758569,,2759145398,,,,,
20,비유동자산,기타비유동자산,24161006239,47511498437,38870767532,,,,,
21,비유동자산,이연법인세자산,7939176957,5904649617,2392100014,,,,,
22,자산총계,자산총계,2172410899706,1482568536572,1277349524088,,,,,
23,유동부채,유동부채,950726347343,763691794052,681364595901,,,,,
24,유동부채,매입채무및기타채무,533833415394,521468994022,493718650665,,,,,
25,유동부채,기타금융부채,329322675239,157362692115,145502439487,,,,,
26,유동부채,단기차입금,2294238750,5094238750,2800000000,,,,,
27,유동부채,당기법인세부채,28567097539,29293116359,7724608866,,,,,
28,유동부채,충당부채,10472254959,8552755190,7249877403,,,,,
29,유동부채,기타유동부채,46236665462,41919997616,24369019480,,,,,
30,비유동부채,비유동부채,599088790288,197213712843,207340730652,,,,,
31,비유동부채,기타금융부채,568081172173,175568227379,188970016147,,,,,
32,비유동부채,장기차입금,9434863790,,,,,,,
33,비유동부채,순확정급여부채,2379937287,2769237004,1001256136,,,,,
34,비유동부채,충당부채,1565123187,1355296879,1174769265,,,,,
35,비유동부채,기타비유동부채,16239340336,16239778776,14733271906,,,,,
36,비유동부채,이연법인세부채,1388353515,1281172805,1461417198,,,,,
37,부채총계,부채총계,1549815137631,960905506895,888705326553,,,,,
38,지배기업 소유주지분,지배기업 소유주지분,622595762075,521663029677,388644197535,,,,,
39,지배기업 소유주지분,자본금,17283906000,17283906000,17283906000,,,,,
40,지배기업 소유주지분,주식발행초과금,321649418221,321649418221,321649418221,,,,,
41,지배기업 소유주지분,기타자본,22415857359,22415857359,22416051359,,,,,
42,지배기업 소유주지분,기타포괄손익누계액,,,-1388824787,,,,,
43,지배기업 소유주지분,이익잉여금,261246580495,160313848097,28683646742,,,,,
44,비지배지분,비지배지분,,,,,,,,
45,자본총계,자본총계,622595762075,521663029677,388644197535,,,,,
46,,자본과부채총계,2172410899706,1482568536572,1277349524088,,,,,
