,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,-488631995834,354436107335,1530250471022,-1125805874331,746420688192,-130549477590,,
1,,,598946530179,538140848972,424964047023,518114401855,530471200882,819668197015,,
2,,,-1223306245522,-1337615745958,-1363825843997,,,,,
3,,,-3629260871613,-3628802880198,-3353377247296,-3256535300338,-3319185191036,-2495772998558,,
4,,,1442486787247,1285261910809,1072755875533,1116142441184,1285203728715,1068538077140,,
5,,,-31905205878,5047575700,-15013894084,,,,,
6,,,-18326916748,-14122117698,,,,,,
7,,,309501320,21351289,,,,,,
8,,,423693098086,502247847694,549025525828,413934409956,434480305772,266326436015,,
9,,,-5304801432,-2318837202,-25477933053,6764395213,-5169347644,-2804728086,,
10,,,-22919396347,-8042530335,11557363960,,,,,
11,,,96503730478,64240269930,62203521932,,,,,
12,,,73652216690,74047019267,75078506160,,,,,
13,,,64738104446,58065576296,51878542133,52710261498,49463297958,29870945933,,
14,,,204157304578,147065063506,,-62403002356,-38069023411,46417206277,,
15,,,-14738148015,-5680339037,152189851,,,,,
16,,,-819612127,4857372695,3624124991,,,,,
17,,,194427963793,180496971326,132785897405,170289570788,169589709241,99395490266,,
18,,,-2036919550030,-1179941097115,223917109888,,,,,
19,,,-931072618439,60261901763,,,,,,
20,,,-605428294325,-1004131949433,,,,,,
21,,,-3427461535244,-3115982624818,,,,,,
22,,,2599808564,-1207395593,,,,,,
23,,,-502868902854,-420324797010,,,,,,
24,,,3236407388454,3550906195848,,,,,,
25,,,-82997925,-538541410,,,,,,
26,,,258895472135,-190951112875,,,,,,
27,,,-31205478580,-23211734571,,,,,,
28,,,-36702391816,-34761039016,,,,,,
29,,,3702382490136,3657797441656,3393994900410,3249847466121,3268714895559,2652632764159,,
30,,,10978189062,7704407579,33443713535,42717120128,33583028988,22316768328,,
31,,,-1426206337077,-1206922509363,-998334619528,-1172027620962,-1472043306758,-721926116916,,
32,,,-114507072582,-124727238436,-183908836309,-150272200631,-139616095863,-36605069082,,
33,,,-852856944356,-853811627398,-427306520699,-371881886098,-855488548738,-1237468526924,,
34,,,7714911266366,1682482194974,,,,,,
35,,,-7492297680430,-1831784406371,,,,,,
36,,,3071686021756,2319178470985,,,,,,
37,,,-3239632418037,-2384139418548,,,,,,
38,,,1215451560335,1528609180700,,,,,,
39,,,-1934463233580,-1641046672687,,,,,,
40,,,236748089839,141511490662,75455818410,30838187140,,,,
41,,,-263475217366,-532500000000,-90403150000,-27305000000,,,,
42,,,4535289936,8225313170,4189094309,614749921,1115973271,1956448430,,
43,,,-109240075375,-125329640300,-151337245365,,,,,
44,,,73176890,3018336883,456669440,550671014,1393854706,404810727,,
45,,,-58835353895,-30504020942,-57780538681,,,,,
46,,,-7599724503,,,,-8656646304,-780396976076,,
47,,,9281353708,8467544076,,,,,,
48,,,1339465761628,636379667133,-931953074152,1197840457604,436095461897,1366428864949,,
49,,,28610798280301,37018128495998,42030954427043,,,896520926821,,
50,,,-29222526787091,-36420487668853,-43232016177532,,,-1065556309197,,
51,,,3859754441608,2687661279529,2982579104600,2576148728773,2466537740330,1338488854533,,
52,,,-2300000000000,-2917368000000,-2895620000000,-1968000000000,-1618926250000,-278500350711,,
53,,,-28657917376,,,,,,,
54,,,-97776117300,-74961689930,,,,,,
55,,,199352949000,249244360000,,,,,,
56,,,-26755000000,-20953712328,,,,,,
57,,,63571687024,164192010000,,,,,,
58,,,281704225462,-49075407283,-510442512,1389129937,-29508919136,-170452578721,,
59,,,-2023178562,137004147070,170990876171,,,,,
60,,,1145630527768,1014578271874,858611917771,1143886531732,777613057862,767118225881,,
61,,,6686433981,-5951891176,-15024522068,14572688864,39245872519,12083971546,,
62,,,1150293783187,1145630527768,,858611917771,1143886531732,777613057862,,
