,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,10638224744000,8867107695000,8160114546000,7855955000000,6943581894000,6889134782000,6351795279000,6255045585000
1,유동자산,현금및현금성자산,1602642314000,1473565899000,1219547558000,1169282970000,1195080774000,991166042000,1240341399000,1224733061000
2,유동자산,단기금융상품,1107425309000,162956597000,433707497000,477372001000,615418191000,864030761000,318036776000,494038924000
3,유동자산,단기대여금,50275542000,72127499000,62482998000,88962072000,51141544000,61932350000,83203866000,85580818000
4,유동자산,유동파생상품자산,33885501000,13872935000,19091723000,,,,,
5,유동자산,매출채권,3580221845000,3534816257000,3551768653000,3284666049000,2655668392000,2516322061000,2379216183000,2138531527000
6,유동자산,계약자산,328315683000,261651897000,0,,,,,
7,유동자산,유동매도가능금융자산,0,0,454250000,,,,,
8,유동자산,유동공정가치금융자산,413714000,60736000,0,,,,,
9,유동자산,기타유동금융자산,412270241000,407716765000,408190478000,404505599000,317407463000,544558392000,492726807000,291958147000
10,유동자산,선급금,412362482000,406590563000,377993013000,393813951000,350654221000,242904304000,262263989000,293823860000
11,유동자산,재고자산,2549025328000,2023661340000,1733006295000,1699383558000,1495391511000,1421771573000,1293816082000,1481140301000
12,유동자산,생물자산,125465946000,112117316000,60922565000,47209039000,28537526000,18563527000,15748581000,12606346000
13,유동자산,기타유동자산,435920839000,397969891000,292949516000,290759761000,234282272000,227885772000,266441596000,232632601000
14,매각예정자산,매각예정자산,514473539000,2246600000,173138454000,6496114000,6623190000,104753704000,184741930000,81133968000
15,비유동자산,비유동자산,29228666310000,22860194353000,20992130064000,19147136836000,16611938422000,16045430326000,15587167645000,15048861313000
16,비유동자산,비유동파생상품자산,26200706000,50590991000,34219123000,,,,,
17,비유동자산,장기매출채권,116013833000,112774200000,75340546000,,,,,
18,비유동자산,장기계약자산,39345194000,39258788000,0,,,,,
19,비유동자산,매도가능금융자산,0,0,283894352000,614387912000,605950246000,624417159000,626803835000,974091800000
20,비유동자산,공정가치금융자산,298991634000,277552729000,0,,,,,
21,비유동자산,공동기업 투자주식,1639168929000,1455418664000,1366045956000,810388389000,870068511000,645500536000,352093185000,374255476000
22,비유동자산,유형자산,13517262358000,12970204923000,11492884161000,10372814813000,9475638230000,9108937572000,8833246209000,8170125269000
23,비유동자산,사용권자산,4832571320000,0,0,,,,,
24,비유동자산,무형자산,7005911329000,6168778156000,6039033206000,5736100647000,4249566250000,4313115007000,4290491280000,3940270531000
25,비유동자산,투자부동산,189686256000,260091195000,271916531000,277969305000,269048117000,310651293000,429194289000,441834417000
26,비유동자산,기타비유동금융자산,711597299000,717404670000,632803777000,621968282000,535095029000,465975870000,434328563000,510733403000
27,비유동자산,이연법인세자산,389331292000,288900689000,310654725000,301907469000,261630827000,239309403000,229661275000,224417952000
28,비유동자산,기타비유동자산,462586160000,519219348000,485337687000,411600019000,344941212000,337523486000,391349009000,413132465000
29,자산총계,자산총계,40381364593000,31729548648000,29325383064000,27009587950000,23562143506000,23039318812000,22123704854000,21385040866000
30,유동부채,유동부채,12283359396000,10998410550000,9363258715000,8662186804000,7684516234000,7110065936000,6417433880000,6664379655000
31,유동부채,유동파생상품부채,26483607000,12401221000,50441499000,,,,,
32,유동부채,매입채무,2743572555000,2088316945000,2034998735000,1762992046000,1398350609000,1302361117000,1198161316000,1190114737000
33,유동부채,계약부채,128401939000,61053922000,0,,,,,
34,유동부채,단기차입금,3268625614000,4106708423000,2920089020000,2882199670000,2050571122000,2164251359000,2122552719000,2487787285000
35,유동부채,유동성장기사채및차입금,2063348428000,1653575641000,1402909640000,1350853977000,1983808940000,1438474556000,1090753815000,925721953000
36,유동부채,미지급금,1413139199000,1137525830000,1339141542000,1125893176000,920760216000,786583048000,782758463000,749190776000
37,유동부채,기타유동금융부채,912497597000,793205979000,675375047000,649158796000,573667572000,572063598000,538469154000,582747019000
38,유동부채,미지급법인세,283980798000,365179027000,168135733000,119804563000,103595513000,141979483000,112686981000,106643359000
39,유동부채,유동성리스부채,660451443000,0,0,,,,,
40,유동부채,유동성충당부채,82788067000,2000479000,8548525000,8495155000,9805457000,14213156000,7797302000,6048469000
41,유동부채,기타유동부채,700070149000,778443083000,763618974000,762789421000,643956805000,690139619000,564254130000,616126057000
42,매각예정부채,매각예정부채,1316853000,0,0,,,90701020000,92659236000,36174138000
43,비유동부채,비유동부채,13481603409000,8209327853000,7969955540000,7092951443000,6014171244000,6768677347000,7012666396000,6300428884000
44,비유동부채,비유동파생상품부채,485319286000,238815741000,65271612000,,,,,
45,비유동부채,장기계약부채,122000333000,112236628000,0,,,,,
46,비유동부채,장기차입금,2907878175000,1767900780000,1592710545000,1834967495000,1420790955000,2456585465000,2701866349000,2232181040000
47,비유동부채,사채,4033631364000,4516699249000,4682065004000,3728243027000,3160813089000,2937834735000,3006732827000,2672622259000
48,비유동부채,예수보증금,205803823000,259327337000,212067861000,194612631000,186005785000,160697516000,133854465000,126133579000
49,비유동부채,기타비유동금융부채,39149691000,36992479000,29894660000,33635153000,42243037000,49441264000,81929477000,52137949000
50,비유동부채,리스부채,4040474712000,0,0,,,,,
51,비유동부채,순확정급여부채,325323376000,311050517000,235446526000,258358586000,260141892000,232002915000,180650243000,167632549000
52,비유동부채,이연법인세부채,1096511021000,794847286000,881236745000,839633101000,757780769000,750424218000,730570704000,879279885000
53,비유동부채,비유동충당부채,65944348000,18520903000,21786934000,19052424000,17897004000,20402163000,16600308000,6982659000
54,비유동부채,기타비유동부채,159567280000,152936933000,249475653000,184449026000,168498713000,161289071000,160462023000,163458964000
55,부채총계,부채총계,25766279658000,19207738403000,17333214255000,15755138247000,13698687478000,13969444303000,13522759512000,13000982677000
56,지배기업 소유주지분,지배기업 소유주지분,4509606148000,4058742092000,3929763707000,3735804408000,3601201160000,3405390365000,3227685986000,3178568493000
57,지배기업 소유주지분,자본금,179047370000,157914810000,157914810000,157914810000,157698560000,157451955000,157232680000,157105430000
58,지배기업 소유주지분,주식발행초과금,992817516000,992993627000,992993627000,992993627000,988898991000,983970984000,979794142000,977520671000
59,지배기업 소유주지분,기타자본항목,-195683335000,-428681903000,-336474656000,-114587283000,-70136021000,-97313021000,-108093132000,-30095287000
60,지배기업 소유주지분,이익잉여금,3533424597000,3336515558000,3115329926000,2699483254000,2524739630000,2361280447000,2198752296000,2074037679000
