,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익,당기순이익,323842817000,880027278000,1137728417000,569823382000,551115547000,508633144000,322608337000,570256610000
1,기타포괄손익,기타포괄손익,144244631000,-211107964000,-673170052000,-75434673000,,,,
2,기타포괄손익,당기손익으로 재분류되지 않는 항목,-42881324000,-103548052000,-16356307000,,,,,
3,기타포괄손익,기타포괄손익-공정가치 측정 지분상품 평가손익,-9508851000,-36084430000,0,,,,,
4,기타포괄손익,공동지배기업 및 관계기업 기타포괄손익 등에 대한 지분,-586147000,-1115457000,-1115457000,-528892000,-8140232000,3435977000,-7009656000,-7408028000
5,기타포괄손익,순확정급여부채의 재측정요소,-32786326000,-66348165000,-15240850000,-24824556000,-31089311000,-50708257000,-10730450000,-50640970000
6,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,187125955000,-107559912000,-656813745000,,,,,
7,기타포괄손익,매도가능금융자산평가손익,0,0,-234132074000,-7970594000,-5437866000,44639169000,-181025789000,-18016437000
8,기타포괄손익,기타포괄손익-공정가치 측정 채무상품 평가손익,299244000,0,0,,,,,
9,기타포괄손익,공동지배기업 및 관계기업 기타포괄손익 등에 대한 지분,50698070000,25967851000,24004006000,18179995000,-8140232000,3435977000,-7009656000,-7408028000
10,기타포괄손익,해외사업환산손익,125776885000,-132380193000,-446902130000,-61885608000,-12532001000,33406812000,-25950633000,-99731379000
11,기타포괄손익,파생상품평가손익,10351756000,-1147570000,216453000,1594982000,1763571000,-1960569000,1289649000,2166345000
12,총포괄손익,총포괄손익,468087448000,668919314000,464558365000,494388709000,495679708000,537446276000,99181458000,396626141000
13,포괄손익의 귀속,지배주주의 소유주,309415438000,205896612000,206522332000,218015219000,182340964000,217982415000,10479704000,96034360000
14,포괄손익의 귀속,비지배지분,158672010000,463022702000,258036033000,276373490000,313338744000,319463861000,88701754000,300591781000
