,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,10415108625820,9219680477069,7110391207800,6081945642204,5055766403519,4560087295134,3795045155647,2627465777513
1,매출원가,매출원가,9442517706512,8391607542871,6354235538289,-5410826301199,-4506506640312,-4081489292747,3497499002768,2369632574052
2,매출총이익,매출총이익,972590919308,828072934198,756155669511,671119341005,549259763207,478598002387,297546152879,257833203461
3,판매비와관리비,판매비와관리비,665404573134,585386008578,520504249077,-442674850590,-362626045395,-311518521226,233368792820,114805681000
4,영업이익,영업이익,307186346174,242686925620,235651420434,228444490415,186633717812,167079481161,64177360059,143027522461
5,금융수익,금융수익,56028037905,65112263594,29757575731,30828699312,27463242135,35914002434,63193217037,37371048029
6,금융원가,금융원가,181606976664,149646447088,94384473979,-85634046562,-82333243835,-85628320144,90562368452,50327689796
7,기타수익,기타수익,66037067916,60425837200,13402614912,9609450953,18927904883,16336444206,5687325399,18485053822
8,기타비용,기타비용,157670641450,107937835736,90930303076,-92505141178,-86872428213,-48808357355,79506667259,19687393133
9,지분법손익,지분법손익,3859707367,-10821781525,-5069810421,,,,,
10,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),93833541248,99818962065,88427023601,91019413577,80313821209,86531767521,-45496937878,123148617127
11,법인세비용,법인세비용,42943686038,33218893052,34248373897,-22809282644,-17096361010,-14125595501,30390696303,-33039914336
12,당기순이익(손실),당기순이익(손실),50889855210,66600069013,54178649704,68210130933,63217460199,72406172020,-15106241575,90108702791
13,당기순이익의 귀속,지배기업의 소유주지분,39726701152,52667426926,46774160871,55791183005,54099778764,65829880475,-14681579099,88827747267
14,당기순이익의 귀속,비지배지분,11163154058,13932642087,7404488833,12418947928,9117681435,6576291545,-424662476,-6010069496
15,주당이익 [abstract],기본 및 희석주당이익(손실),1349,2839,2654,,,,,
