,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,7433652074000,5520191585000,4959963993000,4874197575000,4011888408000,3868199539000,3520295467000,3359930864000
1,유동자산,현금및현금성자산,690951592000,547574267000,590855644000,644362506000,529780432000,436022603000,431916384000,556793987000
2,유동자산,단기금융상품,991863782000,72494505000,99569523000,179643523000,165422792000,151868737000,97598688000,65133069000
3,유동자산,매출채권 및 기타유동채권,2817784242000,2613208727000,2335601126000,,,,,
4,유동자산,매출채권,2451037975000,2398415412000,2254297260000,2028582036000,1623243021000,1550189237000,1367698827000,1164446237000
5,유동자산,유동계약자산,327271044000,159812488000,,,,,,
6,유동자산,단기대여금,39475223000,54980827000,81303866000,108682602000,35228122000,43406405000,37479676000,30912018000
7,유동자산,재고자산,2018257067000,1497619027000,1303515516000,1280152136000,1097567509000,1065579494000,1006681614000,1139255403000
8,유동자산,기타유동금융자산,316702724000,250119329000,254599142000,238933567000,194480912000,377491056000,306615950000,171477293000
9,유동자산,생물자산,125453956000,112077254000,60922662000,47210058000,28537088000,18563548000,15748527000,12606346000
10,유동자산,기타유동자산,472638711000,427098476000,314900380000,292778828000,337628532000,225078459000,256555801000,219306511000
11,유동자산,유동성금융리스자산,,,,53852319000,,,,
12,매각예정으로 분류된 처분집단의 자산,매각예정으로 분류된 처분집단의 자산,509387147000,2245917000,3504356000,6495431000,6622507000,105071413000,184762995000,3564947000
13,비유동자산,비유동자산,18337593130000,13974585382000,11904655546000,10885545533000,9732754143000,9409260061000,9299431630000,9000386849000
14,비유동자산,유형자산,10817875757000,9741713669000,8179383526000,7280517951000,6690180982000,6383896491000,6254477598000,5575156974000
15,비유동자산,무형자산,4810224315000,3069923312000,2758076441000,2333828820000,1737348210000,1750919901000,1763966932000,1605607962000
16,비유동자산,투자부동산,107914282000,173210591000,172397531000,202419349000,273025327000,293391186000,341527295000,330723715000
17,비유동자산,기타비유동금융자산,398266220000,368578253000,292149746000,623956250000,539797145000,552130229000,518524246000,951872015000
18,비유동자산,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",220951782000,204799906000,165060347000,194516138000,212417533000,143939729000,91754696000,150832060000
19,비유동자산,이연법인세자산,38054306000,113056954000,45829409000,31747405000,30447024000,13844870000,26472819000,17551192000
20,비유동자산,기타비유동자산,239276012000,265511172000,251082463000,174998980000,169361436000,186769755000,218082101000,280032594000
21,비유동자산,사용권자산,1705030456000,0,,,,,,
22,비유동자산,금융리스자산,,37791525000,40676083000,43560640000,80176486000,84367900000,84625943000,88610337000
23,자산총계,자산총계,26280632351000,19497022884000,16868123895000,15766238539000,13751265058000,13382531013000,13004490092000,12363882660000
