,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,2143095681000,471425123000,1180837049000,800141934000,1154573133000,688561505000,590904368000,805051777000
1,영업활동현금흐름,영업에서 창출된 현금흐름,2522204232000,654088194000,1292675699000,951541627000,1253267073000,820742247000,650658605000,909409244000
2,영업활동현금흐름,법인세납부(환급),379108551000,182663071000,111838650000,,,,,
3,투자활동현금흐름,투자활동현금흐름,-3189885009000,-1034629208000,-1463909010000,-1408917160000,-693002656000,-537171145000,-769103669000,-1156311478000
4,투자활동현금흐름,이자수취,22784927000,20751995000,21435745000,33803812000,12340059000,8775144000,22796061000,18137933000
5,투자활동현금흐름,배당금수취,10917502000,7222592000,10910974000,8135843000,6342101000,4529216000,11128337000,15987418000
6,투자활동현금흐름,단기금융상품의 취득,915931804000,-20824211000,-88933889000,,,,,
7,투자활동현금흐름,유형자산의 처분,381895213000,27224102000,26680784000,38591213000,29292593000,37043214000,112991299000,82172904000
8,투자활동현금흐름,유형자산의 취득,1553901713000,1675402445000,1450379654000,-845419637000,-673481047000,-474305795000,-1128451049000,-1052873109000
9,투자활동현금흐름,무형자산의 처분,4179402000,2096092000,7871783000,4944112000,270035000,3359066000,5254096000,266712000
10,투자활동현금흐름,무형자산의 취득,130005103000,98701224000,87365658000,-65589528000,-64406627000,-55894045000,-65574007000,-160695078000
11,투자활동현금흐름,투자부동산의 처분,0,3640312000,32934000,115893550000,1635575000,42883069000,,
12,투자활동현금흐름,파생상품의 정산,40410289000,11710719000,-23853899000,25806539000,17354483000,-30182124000,-14789118000,-19489911000
13,투자활동현금흐름,다른 기업의 지분상품이나 채무상품의 취득에 따른 기타현금유출,4972013000,43866833000,16330785000,,,,,
14,투자활동현금흐름,다른 기업의 지분상품이나 채무상품의 처분에 따른 기타현금유입,36253286000,808602000,2208657000,4976000000,11666643000,,668757000,202600000
15,투자활동현금흐름,종속기업과 기타 사업의 지배력 상실에 따른 현금흐름,4558328000,1169384295000,7136987000,,19486876000,5592548000,,3618047000
16,투자활동현금흐름,종속기업과 기타 사업의 지배력 획득에 따른 현금흐름,2088738319000,447138619000,376656356000,,,,,
17,투자활동현금흐름,매도가능금융자산의 처분,0,2003033000,353080119000,264111000,32523510000,8871226000,383549906000,22814045000
18,투자활동현금흐름,매도가능금융자산의 취득,0,20107801000,4249855000,-19697763000,-41744000,-1344400000,-664255000,-4682520000
19,투자활동현금흐름,공정가치금융자산의 처분,134708212000,,,,,,,
20,투자활동현금흐름,공정가치금융자산의 취득,-15288381000,,,,,,,
21,투자활동현금흐름,단기대여금및수취채권의 취득,19375800000,47404884000,12707420000,,,,,
22,투자활동현금흐름,단기대여금및수취채권의 처분,35082107000,83872003000,30277077000,23136530000,32440166000,76748827000,80339035000,72175911000
23,투자활동현금흐름,장기대여금및수취채권의 취득,13810208000,20145784000,19524997000,,,,,
24,투자활동현금흐름,장기대여금및수취채권의 처분,14072029000,5426606000,9747400000,-394055000,13892126000,10109612000,2946986000,4427313000
25,투자활동현금흐름,기타투자활동으로 인한 현금유출액,-57878540000,-70886617000,-68854228000,-45212168000,-49111007000,-14604218000,-14043898000,-22568550000
26,투자활동현금흐름,기타투자활동으로 인한 현금유입액,925155577000,34060437000,37697493000,26402238000,33461295000,18203980000,9441510000,6476560000
27,재무활동현금흐름,재무활동현금흐름,1228711735000,520965345000,265353628000,725943103000,-364487974000,-141392305000,60720288000,456134987000
28,재무활동현금흐름,이자지급,408048580000,227680227000,192096527000,,,,,
