,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,426263421167,383378936944,353662840900,368924210893,337757265953,247582371158,222960700297,309144146995
1,유동자산,현금및현금성자산,84776806585,119106292852,107494652116,115579822578,108132860776,40369011294,35222232577,39917596904
2,유동자산,단기금융상품,37609951042,36300849924,27259605734,23702614434,4616429456,3686252619,2670976751,82488829818
3,유동자산,기타금융자산,33896965971,,,,,,228550000,191840000
4,유동자산,매출채권,102020672410,98855165793,85706099352,110259609625,92048491883,81730090053,59216338899,68299967194
5,유동자산,기타채권,17610268699,21267894111,52098810968,36804228538,42780629813,44163146507,43788160080,25265964705
6,유동자산,미청구공사,91625781020,58498277193,0,,,,,
7,유동자산,재고자산,51837841227,42891649316,75018890438,76344777763,83459568037,69179569041,72377687478,79262392240
8,유동자산,기타유동자산,6885134213,6458807755,6084782292,6233157955,6501925282,8141388763,8911487351,13162116844
9,비유동자산,비유동자산,662626388404,683154902809,640287879496,617864361381,646886445788,737294264980,835431132197,848610883696
10,비유동자산,장기금융자산,86039367,81994561,78236763,87012088,84036513,78782221,75439758,75897682
11,비유동자산,장기기타금융자산,377936445,0,0,,,,,
12,비유동자산,장기기타채권,1369251592,2021340608,2079050747,1240315434,8439717389,10348635841,6015084653,6009567756
13,비유동자산,기타포괄손익-공정가치 측정 금융자산,7739270987,10018950059,0,,,,,
14,비유동자산,매도가능금융자산,0,0,7891319441,8646759933,11919371557,1798350725,2427436589,8832301255
15,비유동자산,종속기업및관계기업투자,3665355355,20474956413,26851851578,34523654640,59100487540,71419459679,116606506566,71546139151
16,비유동자산,유형자산,616573799640,597570490876,555566834586,547700934327,533140340401,591787280532,636040366071,685389046317
17,비유동자산,무형자산,23416825636,28180877364,25827934295,25664845445,34197267491,61849788780,74243154028,76703280841
18,비유동자산,기타비유동자산,1240637415,8027227207,7259314697,839514,5224897,11967202,23144532,54650694
19,비유동자산,이연법인세자산,8157271967,16779065721,14733337389,,,,,
20,자산총계,자산총계,1088889809571,1066533839753,993950720396,986788572274,984643711741,984876636138,1058391832494,1157755030691
21,유동부채,유동부채,219715556191,156796450097,145225195286,274231114801,244044784854,376436760465,476867874427,555433289824
22,유동부채,매입채무,30645242982,36469257839,33883222897,44199478895,44271639860,36235325375,29717748484,17740926623
23,유동부채,단기차입금,30550406050,15890934276,11286143187,15253525225,5218482053,266809467770,385339197688,465033639789
24,유동부채,유동성장기차입금,29739094060,11717019243,28689828733,124561869720,120707447631,,,
25,유동부채,기타지급채무,59292200127,56287450920,35031327710,58430258319,51736650467,53561175416,37534302999,46069944202
26,유동부채,기타금융부채,4442361623,0,0,12764108505,15337995831,13028320632,11784820652,11544417961
27,유동부채,당기법인세부채,24269906689,10389987128,18273706906,4311661301,,,,
28,유동부채,기타유동부채,35372231329,19542428461,13144033648,7659090931,4463917068,5306884975,9862165464,11995765246
29,유동부채,충당부채,5404113331,6499372230,4916932205,7051121905,2308651944,1495586297,2629639140,3048596003
30,비유동부채,비유동부채,224523523615,351345858412,392927579423,370640142188,486541435802,487737141339,376767210361,311428405609
31,비유동부채,장기차입금,179746294431,277380073265,315595985458,282487036992,399748737358,391619824389,276846543512,214817415557
32,비유동부채,장기기타지급채무,2876093020,2848004331,3597980663,3606161293,3657721258,13101423940,14902664997,17149894056
33,비유동부채,순확정급여부채,29772554521,69343370094,72698726424,72978046145,63192668525,52033828617,40541065701,35375442310
34,비유동부채,장기기타금융부채,11328081016,831796792,0,,,,,
35,비유동부채,장기충당부채,800500627,942613930,1034886878,952846705,538906987,635093765,1205760651,1191539014
36,부채총계,부채총계,444239079806,508142308509,538152774709,644871256989,730586220656,864173901804,853635084788,866861695433
37,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,644650729765,558391531244,455797945687,341917315285,254057491085,120702734334,204756747706,290893335258
38,지배기업의 소유주에게 귀속되는 자본,자본금,222555835000,222555835000,222555835000,222555835000,222555835000,222555835000,222555835000,222555835000
39,지배기업의 소유주에게 귀속되는 자본,보통주자본금,221992940000,221992940000,221839160000,,,,,
40,지배기업의 소유주에게 귀속되는 자본,우선주자본금,562895000,562895000,716675000,,,,,
41,지배기업의 소유주에게 귀속되는 자본,주식발행초과금,127328276294,127328276294,127328276294,127328276294,127328276294,127328276294,127328276294,504426472306
42,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-80876919092,-78419243551,-72366835521,-73675709595,-70437842418,-84028906897,-81706779906,109307509839
43,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),375643537563,286926663501,178280669914,65708913586,-25388777791,-145152470063,-63420583682,-545396481887
44,비지배지분,비지배지분,0,0,0,,,,,
45,자본총계,자본총계,644650729765,558391531244,455797945687,341917315285,254057491085,120702734334,204756747706,290893335258
46,,자본과부채총계,1088889809571,1066533839753,993950720396,986788572274,984643711741,984876636138,1058391832494,1157755030691
