,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,3117465000000,3285134000000,2874908000000,2472848000000,1946287000000,2545853000000,2323145000000,2446093000000
1,유동자산,현금및현금성자산,736668000000,653570000000,723150000000,503796000000,506709000000,579806000000,607147000000,676074000000
2,유동자산,기타유동금융자산,329556000000,373234000000,114909000000,,,,,
3,유동자산,유동매도가능금융자산,0,0,105567000000,38856000000,1410000000,15709000000,,
4,유동자산,유동 당기손익-공정가치 측정 지정 금융자산,324600000000,369400000000,0,,,,,
5,유동자산,유동 기타포괄손익-공정가치 측정 금융자산,623000000,613000000,0,,,,,
6,유동자산,유동파생상품자산,4333000000,3221000000,9342000000,11040000000,8983000000,9619000000,,
7,유동자산,매출채권 및 기타유동채권,1313084000000,1577970000000,1368513000000,1440677000000,994285000000,1440140000000,1298142000000,1112338000000
8,유동자산,기타유동자산,274816000000,157843000000,132865000000,119404000000,135434000000,112131000000,61205000000,176810000000
9,유동자산,당기법인세자산,1354000000,507000000,578000000,2061000000,3537000000,10017000000,2493000000,10028000000
10,유동자산,재고자산,461987000000,502910000000,532893000000,335373000000,282659000000,321947000000,280387000000,289432000000
11,유동자산,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,0,19100000000,2000000000,21641000000,3270000000,,,
12,비유동자산,비유동자산,21621811000000,19345844000000,19128781000000,17868324000000,17076721000000,12526917000000,10313121000000,10266333000000
13,비유동자산,기타비유동금융자산,246999000000,217767000000,174326000000,,,,,
14,비유동자산,비유동매도가능금융자산,0,0,173614000000,104793000000,84270000000,101237000000,,
15,비유동자산,비유동 당기손익-공정가치 측정 지정 금융자산,139454000000,100424000000,0,,,,,
16,비유동자산,비유동 기타포괄손익-공정가치 측정 금융자산,107095000000,117307000000,0,,,,,
17,비유동자산,비유동파생상품자산,450000000,36000000,712000000,60000000,42000000,9619000000,,
18,비유동자산,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",6699171000000,6544698000000,6422385000000,5798705000000,5451885000000,4996453000000,5295214000000,5180499000000
19,비유동자산,투자부동산,1325215000000,1102441000000,1088447000000,1025650000000,1582211000000,1047987000000,1140044000000,1157365000000
20,비유동자산,유형자산,8468307000000,8534506000000,8401361000000,7865518000000,6944340000000,4242562000000,2282812000000,2446826000000
21,비유동자산,사용권자산,1630714000000,0,0,,,,,
22,비유동자산,영업권 이외의 무형자산,1552872000000,1675936000000,1787588000000,1890055000000,1935272000000,1200344000000,591252000000,549201000000
23,비유동자산,장기매출채권 및 기타비유동채권,1565691000000,1062975000000,1027962000000,925549000000,862940000000,769076000000,759076000000,745312000000
24,비유동자산,기타비유동자산,71968000000,165219000000,176556000000,180642000000,155691000000,128745000000,154863000000,97322000000
25,비유동자산,이연법인세자산,60874000000,42302000000,50156000000,77352000000,60070000000,35837000000,31240000000,25406000000
26,자산총계,자산총계,24739276000000,22630978000000,22003689000000,20341172000000,19023008000000,15072770000000,12636266000000,12712426000000
27,유동부채,유동부채,4789648000000,4568776000000,4450670000000,3770931000000,2362339000000,2705983000000,1781793000000,2348208000000
28,유동부채,매입채무 및 기타유동채무,4498810000000,1574128000000,1819189000000,1488641000000,1135429000000,1141005000000,968319000000,985977000000
29,유동부채,기타유동금융부채,1752000000,2691790000000,2372465000000,,,,,
30,유동부채,기타유동부채,130424000000,148743000000,133492000000,147499000000,72946000000,63780000000,50096000000,90808000000
31,유동부채,당기법인세부채,145444000000,132706000000,108662000000,143073000000,67787000000,25484000000,56724000000,58313000000
32,유동부채,유동충당부채,13218000000,21409000000,16862000000,4512000000,18737000000,15375000000,10912000000,2396000000
33,유동부채,그 밖의 기타단기충당부채,13218000000,21409000000,16862000000,,,,,
34,유동부채,매각예정으로 분류된 처분자산집단에 포함된 부채,0,0,0,,,,,
35,비유동부채,비유동부채,8950080000000,7537217000000,7890395000000,7649967000000,8562817000000,5148873000000,3429929000000,3191236000000
36,비유동부채,장기매입채무 및 기타비유동채무,7920944000000,290784000000,316706000000,258352000000,367125000000,257011000000,225394000000,210675000000
37,비유동부채,기타비유동금융부채,40494000000,6354258000000,6710900000000,,,,,
38,비유동부채,기타비유동부채,156489000000,149209000000,197243000000,190023000000,183290000000,157180000000,136310000000,122259000000
39,비유동부채,이연법인세부채,647009000000,590220000000,544568000000,470971000000,508277000000,244861000000,149118000000,161331000000
40,비유동부채,퇴직급여부채,18273000000,16433000000,10383000000,30414000000,29142000000,38564000000,30831000000,37165000000
41,비유동부채,비유동충당부채,166871000000,136313000000,110595000000,126408000000,98340000000,25654000000,1497000000,2123000000
42,부채총계,부채총계,13739728000000,12105993000000,12341065000000,11420898000000,10925156000000,7854856000000,5211722000000,5539444000000
43,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,8877790000000,8490426000000,7730204000000,6964215000000,6320884000000,5906871000000,6574407000000,6342859000000
44,지배기업의 소유주에게 귀속되는 자본,자본금,473501000000,473501000000,473501000000,473501000000,473501000000,473501000000,473501000000,473501000000
45,지배기업의 소유주에게 귀속되는 자본,자본잉여금,1189492000000,1187527000000,1187537000000,1269734000000,1280042000000,1294754000000,1311607000000,1311256000000
46,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-2974629000000,-2942621000000,-2942550000000,-3107046000000,-3073671000000,-170809000000,-849000000,-962000000
47,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-82832000000,-133916000000,-173901000000,-20074000000,-51852000000,-119143000000,-124580000000,-121073000000
48,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),10272258000000,9905935000000,9185617000000,8348100000000,7692864000000,4428568000000,4914728000000,4680137000000
49,비지배지분,비지배지분,2121758000000,2034559000000,1932420000000,1956059000000,1776968000000,1311043000000,850137000000,830123000000
50,자본총계,자본총계,10999548000000,10524985000000,9662624000000,8920274000000,8097852000000,7217914000000,7424544000000,7172982000000
51,,자본과부채총계,24739276000000,22630978000000,22003689000000,20341172000000,19023008000000,15072770000000,12636266000000,12712426000000
