,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익(손실),당기순이익(손실),668945000000,1030460000000,1091904000000,923311000000,509319000000,-320729000000,435199000000,572919000000
1,기타포괄손익,기타포괄손익,43136000000,12916000000,-146482000000,17447000000,55317000000,-24835000000,287000000,-41605000000
2,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-17564000000,-24320000000,8096000000,-15057000000,-14115000000,-27461000000,4512000000,-19736000000
3,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),-4360000000,-20045000000,8096000000,-12036000000,-10669000000,-12625000000,2967000000,-10340000000
4,기타포괄손익,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-5437000000,-4769000000,0,,,,,
5,기타포괄손익,지분상품에 대한 투자자산의 세후기타포괄손익,-7767000000,494000000,0,,,,,
6,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),60700000000,37236000000,-154578000000,32504000000,69432000000,2626000000,-4225000000,-21869000000
7,기타포괄손익,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),15935000000,-4996000000,-21202000000,706000000,10841000000,765000000,-304000000,-12399000000
8,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),39068000000,42307000000,-122081000000,29721000000,49950000000,245000000,-878000000,-984000000
9,기타포괄손익,해외사업장순투자의 위험회피손익(세후기타포괄손익),7848000000,5680000000,-13389000000,3192000000,7260000000,1520000000,-6188000000,-5889000000
10,기타포괄손익,현금흐름위험회피손익(세후기타포괄손익),-2151000000,-5755000000,4576000000,2218000000,1356000000,-2504000000,1463000000,-2335000000
11,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),0,0,-2482000000,-3333000000,25000000,2600000000,1682000000,-119000000
12,총포괄손익,총포괄손익,712081000000,1043376000000,945422000000,940758000000,564636000000,-345564000000,435486000000,531314000000
13,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",589834000000,924862000000,837209000000,828068000000,548910000000,-364683000000,358330000000,456645000000
14,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",122247000000,118514000000,108213000000,112690000000,15726000000,19119000000,77156000000,74669000000
