,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),17786063000000,17744385000000,15580063000000,,,,,
1,매출원가,매출원가,13803643000000,13650612000000,11925716000000,-10273002000000,-9299043000000,-9688695000000,-7897886000000,-7975014000000
2,매출총이익,매출총이익,3982420000000,4093773000000,3654347000000,3189424000000,2880467000000,1177436000000,1685307000000,1740700000000
3,판매비와관리비,판매비와관리비,1949278000000,1883936000000,1613546000000,-1435200000000,-1276144000000,-1211764000000,-1133177000000,-1056431000000
4,영업이익(손실),영업이익(손실),2033142000000,2209837000000,2040801000000,1754224000000,1604323000000,-34328000000,552130000000,684269000000
5,기타이익,기타이익,247087000000,194266000000,261694000000,,,,,
6,기타손실,기타손실,272535000000,187277000000,218205000000,,,,,
7,금융수익,금융수익,129894000000,46562000000,51242000000,33227000000,59470000000,63213000000,63857000000,78465000000
8,금융원가,금융원가,363981000000,323652000000,261581000000,,,,,
9,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),1773607000000,1939736000000,1873951000000,1629078000000,1309071000000,-257506000000,513453000000,673790000000
10,법인세비용,법인세비용,1104662000000,1124836000000,808591000000,-662832000000,-720206000000,-63223000000,-78254000000,-100871000000
11,계속영업이익(손실),계속영업이익(손실),668945000000,814900000000,1065360000000,,,,,
12,중단영업이익(손실),중단영업이익(손실),0,215560000000,26544000000,,,,,
13,당기순이익(손실),당기순이익(손실),668945000000,1030460000000,1091904000000,923311000000,509319000000,-320729000000,435199000000,572919000000
14,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),543971000000,903198000000,986191000000,805703000000,492204000000,-346929000000,357814000000,494030000000
15,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),124974000000,127262000000,105713000000,117608000000,17115000000,26200000000,77385000000,78889000000
16,주당이익 [abstract],기본주당이익(손실),5745,9539,10415,,,,,
17,주당이익 [abstract],계속영업기본주당이익(손실),5745,7262,10135,,,,,
18,주당이익 [abstract],중단영업기본주당이익(손실),0,2277,280,,,,,
19,주당이익 [abstract],우선주당이익(손실),5795,9589,10465,,,,3828,5267
20,주당이익 [abstract],계속영업우선주당이익(손실),5795,7312,10185,,,,,
21,주당이익 [abstract],중단영업우선주당이익(손실),0,2277,280,,,,,
