,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익,당기순이익,447479242607,587434395163,-163676081910,-20431464417,29476718638,29476718638,-22452682512,
1,기타포괄손익,기타포괄손익,8273496050,-21779150476,38669054291,28628313933,-73759957285,-73759957285,-105686489028,
2,기타포괄손익,당기손익으로 재분류되는 세후기타포괄손익,,,,,,,,
3,기타포괄손익,매도가능금융자산평가이익,,,-6024891,-72499895,-6342192603,-6342192603,-1004203215,
4,기타포괄손익,매도가능금융자산평가손실,,,849893451,1577302795,553478092,553478092,355996581,
5,기타포괄손익,해외사업환산이익,22605693199,-4831462970,48846041489,5138322787,-22128444592,-22128444592,-2768996915,
6,기타포괄손익,해외사업환산손실,-5387518045,5223932022,-55985044781,1466673252,-11752724820,-11752724820,-7681297379,
7,기타포괄손익,파생상품평가이익,3207669210,-7034819497,-13191518034,-1464982912,-5566872378,-5566872378,-14413519242,
8,기타포괄손익,파생상품평가손실,2342312998,-3318766121,52210390492,26387512636,-7474437786,-7474437786,-42330609426,
9,기타포괄손익,당기손익으로 재분류되지 않는 세후기타포괄손익,,,,,,,,
10,기타포괄손익,확정급여제도의 재측정손익,-14494661312,-11818033910,5945316565,-4480616151,-21165651649,-21165651649,,
11,당기총포괄이익(손실),당기총포괄이익(손실),455752738657,565655244687,-125007027619,8196849516,-44283238647,-44283238647,-128139171540,
12,당기총포괄이익(손실),지배기업의 소유주에게 귀속되는 지분,453516210229,565091919298,-123753994006,-2855715953,-38417114196,-38417114196,,
13,당기총포괄이익(손실),비지배지분,2236528428,563325389,-1253033613,11052565469,-5866124451,-5866124451,16864604987,
