,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,10416589201821,13139372923261,11679456006382,11035596402664,10572620348180,10572620348180,9487551635482,9568632194443
1,매출액,공사매출,9672557123476,12274523201871,10552235387037,10124343050566,9835747972583,9835747972583,8819512786299,8662009978757
2,매출액,분양매출,398192269420,570832744114,844939633237,667037041863,321904522988,321904522988,183026469824,543585474864
3,매출액,기타매출,345839808925,294016977276,282280986108,244216310235,414967852609,414967852609,485012379359,363036740822
4,매출원가,매출원가,9018721377045,11511807548164,10876113911216,10547356619018,10025035483206,10025035483206,9058878451140,8803678600115
5,매출원가,공사매출원가,8397454432299,10775212792991,10003144431280,9745796394281,9354999893156,9354999893156,8440625659737,7974366966678
6,매출원가,분양매출원가,302090148838,444309324490,590149641784,531772671115,254152319260,254152319260,180604607068,512339157375
7,매출원가,기타매출원가,319176795908,292285430683,282819838152,269787553622,415883270790,415883270790,437648184335,316972476062
8,매출총이익,매출총이익,1397867824776,1627565375097,803342095166,488239783646,547584864974,547584864974,428673184342,764953594328
9,판매비와관리비,판매비와관리비,630601135699,563076198012,484672669981,345262011697,425517371950,425517371950,377504509377,588890324043
10,영업이익,영업이익,767266689077,1064489177085,318669425185,142977771949,122067493024,122067493024,51168674965,176063270285
11,기타수익,기타수익,264177880599,259119012059,300563528832,471922177602,368608939037,368608939037,334933247653,379820401210
12,기타비용,기타비용,389312209953,318459003658,757875843890,500401701518,479656517640,479656517640,349622155541,446497382307
13,관계회사지분증권손익,관계회사지분증권손익,-2903628468,6501819466,-6088488608,3018438376,2884352387,2884352387,5934693632,3627040123
14,관계회사지분증권손익,지분법이익,5421626789,8168223041,7461870214,,,,,3716662043
15,관계회사지분증권손익,지분법손실,-8325255257,-1666403575,-13550358822,,,,,89621920
16,금융수익,금융수익,260441906782,106443928451,288815901614,291906406549,432117363078,432117363078,264831688532,227751288831
17,금융원가,금융원가,225936333728,283045869695,304826975089,388077581581,414713377866,414713377866,336865366283,158721128271
18,법인세비용차감전순이익,법인세비용차감전순이익,673734304309,835049063708,-160742451956,21345511377,31308252020,31308252020,,182043489871
19,법인세비용,법인세비용,226255061702,247614668545,2933629954,41776975794,1831533382,1831533382,,87082539147
20,당기순이익,당기순이익,447479242607,587434395163,-163676081910,-20431464417,29476718638,29476718638,-22452682512,94960950724
21,당기순이익,지배기업의 소유주에게 귀속되는 당기순이익,443360428982,582098665896,-168387761062,-25781355990,26063716837,26063716837,,
22,당기순이익,비지배지분에 귀속되는 당기순이익,4118813625,5335729267,4711679152,5349891573,3413001801,3413001801,,
23,주당이익 [abstract],기본주당이익(손실),5590,7788,-2431,-394,363,,,
24,주당이익 [abstract],희석주당이익(손실),5046,7136,-2431,,363,,,
