,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,804329097136,324777732035,442233686482,434503795819,444016125378,368414768748,294434155438,221465699876
1,영업활동현금흐름,영업에서 창출된 현금,891053932575,387912294370,576014939087,536509292950,506813631908,442167895571,359559125527,269865202118
2,영업활동현금흐름,이자수취(영업),12973177722,5690634628,6783584837,3293536767,9769606762,8358641299,10405758611,32068144457
3,영업활동현금흐름,이자지급(영업),47597642937,25321319777,20947747937,,,,,
4,영업활동현금흐름,법인세납부,52100370224,43503877186,119617089505,,,,,
5,투자활동현금흐름,투자활동현금흐름,-301117418988,-384884699958,-423341510675,7774446344,-885653160624,-180805573256,-120997322869,-23267420272
6,투자활동현금흐름,기타채권의 감소,76144398554,16846894697,202000000000,74500000000,342043943696,427030000000,462356928400,1013934000000
7,투자활동현금흐름,기타장기채권의 감소,22004029083,86000000,476000000,3012583256,2990734104,432154377,390487766,74805682
8,투자활동현금흐름,기타비유동금융자산의 감소,1830670587,2553534038,82155428,10816039,4971883703,,,
9,투자활동현금흐름,유형자산의 처분,17586837009,19428163946,12154563113,3495207972,12956779567,1207800670,37681540632,3589851244
10,투자활동현금흐름,무형자산의 처분,1539863706,1448340909,3488685474,824212523,181196990,72181818,806669969,928454545
11,투자활동현금흐름,투자부동산의 처분,0,0,980721171,835906781000,3568990,42119090,,
12,투자활동현금흐름,배당금수취,4839535239,2098634258,1335132152,1846512447,1656946865,516629929,242931301,71945000
13,투자활동현금흐름,연결범위변동에따른 현금유입,65788565,0,0,2192711148,,,,
14,투자활동현금흐름,기타채권의 증가,41078553200,17371539760,23460454433,254599549863,148400000000,373506183696,416045924845,707630000000
15,투자활동현금흐름,기타유동금융자산의 증가,30209710000,9466480000,101500000,584245280000,370898420000,908213288,559941478,283060000
16,투자활동현금흐름,기타장기채권의 증가,400000000,23296862274,88785708623,109634533637,87052188688,20549962746,8369970722,29539678786
17,투자활동현금흐름,유형자산의 취득,246791586478,287553700772,380863958246,310971685398,255173478113,187457139983,146003989298,192948528004
18,투자활동현금흐름,무형자산의 취득,2307701969,26536880582,43190253911,40664395061,34532467147,28690433239,34513594014,43844806352
19,투자활동현금흐름,금융리스자산의 취득,21815808185,0,0,,,,,
20,투자활동현금흐름,투자부동산의 취득,0,24800000,11379123203,122301078993,,18847000,,67316029951
21,투자활동현금흐름,지분법적용 투자지분의 취득,37962881245,12300037500,10960249900,,,,,
22,투자활동현금흐름,비지배지분의 취득,0,0,1209823262,,,,,
23,투자활동현금흐름,종속기업에 대한 투자자산의 취득,0,0,10737696435,,755955495180,,,
24,투자활동현금흐름,기타비유동금융자산의 취득,37325000000,49848697765,73170000000,27900000000,6000000000,,7900000000,805650000
25,투자활동현금흐름,연결범위변동에따른현금유출,7237300654,947269153,0,57497855089,,,,
26,재무활동현금흐름,재무활동현금흐름,-507360159907,31145934617,28175212568,-463545838150,402582505684,-127650000000,-180791780506,-176722349314
27,재무활동현금흐름,단기차입금의 증가,1792720000000,1195000000000,749400000000,125970000000,550927860000,,60008219494,357384500000
28,재무활동현금흐름,장기차입금의 증가,0,70000000000,0,109100000000,34369000000,,,
29,재무활동현금흐름,사채의 증가,398717960000,0,0,,398759000000,,8219494,99584500000
30,재무활동현금흐름,단기차입금의 상환,2195021000000,874600000000,422800000000,107670000000,,,,
31,재무활동현금흐름,유동성장기차입금의 상환,69524920000,31685540000,3164190000,,,,,
32,재무활동현금흐름,유동성사채의 상환,0,280000000000,210000000000,50000000000,50000000000,,,
33,재무활동현금흐름,배당금지급,54254732647,47489321783,85022686250,66183162358,46200000000,34650000000,30800000000,23100000000
34,재무활동현금흐름,기타비유동금융부채의 감소,0,0,237911182,109435792,30914316,,,
35,재무활동현금흐름,유동리스부채의 감소,372553587101,0,0,,,,,
36,재무활동현금흐름,비지배지분의 취득,919480159,79203600,0,,,,,
37,재무활동현금흐름,당기손익-공정가치측정 금융부채의 상환,6524400000,0,0,,,,,
38,환율변동효과 반영전 현금및현금성자산의 순증가(감소),환율변동효과 반영전 현금및현금성자산의 순증가(감소),-4148481759,-28961033306,47067388375,-21267595987,-39054529562,59959195492,-7354947937,21475930290
39,기초현금및현금성자산,기초현금및현금성자산,61747684288,90707007466,44011633396,65277510529,104339007042,44399509244,51754401590,30279130950
40,현금및현금성자산에 대한 환율변동효과,현금및현금성자산에 대한 환율변동효과,148966129,1710128,-372014305,1718854,-6966951,-19697694,55591,-659650
41,기말현금및현금성자산,기말현금및현금성자산,57748168658,61747684288,90707007466,44011633396,65277510529,104339007042,44399509244,51754401590
