,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),9006928792999,8691612313033,8266567147681,7402005717696,6273142139696,4962383688157,4708561835834,4377552208941
1,매출원가,매출원가,7064845658423,6852864326902,6707255114319,-6015117323057,-5034118116241,-3886535292158,-3647346818491,-3384286041346
2,매출총이익,매출총이익,1942083134576,1838747986131,1559312033362,1386888394639,1239024023455,1075848395999,1061215017343,993266167595
3,판매비와관리비,판매비와관리비,1695136678854,1659678326182,1392744814844,-1168829721108,-1013230519755,-932538217501,-906165246318,-852792112247
4,매출채권및기타채권 손상차손(환입),매출채권및기타채권 손상차손(환입),8110499802,-1189544316,853574556,,,,,
5,영업이익(손실),영업이익(손실),238835955920,180259204265,165713643962,218058673531,225793503700,143310178498,155049771025,140474055348
6,기타이익,기타이익,34965140047,30130122994,39595016162,236389132607,27245303803,32730749179,34845236610,35782725723
7,기타손실,기타손실,43280209826,26564579943,15554692198,,,,,
8,금융수익,금융수익,48424078795,28878341350,26815007590,21962455300,25349173581,28549579454,32430475995,45429947980
9,금융원가,금융원가,78027958784,32054977616,27965596406,,,,,
10,지분법손익,지분법손익,-1077612937,-1100815559,551786290,-2403739224,-2353806607,-3456451021,-5397751129,-963259297
11,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),199839393215,179547295491,189155165400,364572666122,221383461114,148622708236,159281887679,161794291434
12,법인세비용,법인세비용,56215365020,47211458858,74053307917,-91033481439,-55153886802,-37341776244,-40235540047,-38335631103
13,당기순이익(손실),당기순이익(손실),143624028195,132335836633,115101857483,273539184683,166229574312,111280931992,119046347632,123458660331
14,당기순이익(손실),지배기업의 소유주지분,133125874732,120595713210,118164521922,274282682044,164207987246,111280931992,119046347632,123458660331
15,당기순이익(손실),비지배지분,10498153463,11740123423,-3062664439,-743497361,2021587066,,,
16,기타포괄손익,기타포괄손익,-6274284216,-14680964826,6949557082,-11705779955,-7570167537,-9705137691,1998521551,-6006927905
17,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-8060903401,-14147012073,10367155469,-11924297540,-7490205787,-9378902198,2136181509,-5742334643
18,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),5757450,-14254452183,10367155469,,,,,
19,기타포괄손익,지분상품에 대한 투자자산의 세후기타포괄손익,-8066660851,107440110,0,,,,,
20,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),1786619185,-533952753,-3417598387,,,,,
21,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),1713362914,-605606396,-3121147216,362946286,-27710546,-2501889,-52327640,-131057682
22,기타포괄손익,지분법자본변동,73256271,71653643,-392451171,25674674,30318847,,,
23,기타포괄손익,지분법자본조정 재분류조정,0,0,96000000,,,,,
24,총포괄손익,총포괄손익,137349743979,117654871807,122051414565,261833404728,158659406775,101575794301,121044869183,117451732426
25,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",126293218543,106511508863,125582965660,262681639803,157305889767,101575794301,121044869183,117451732426
26,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",11056525436,11143362944,-3531551095,-848235075,1353517008,,,
27,주당이익 [abstract],기본주당이익(손실),1729,1566,1535,3562,2133,1445,1546,1603
