,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,1072404021393,960275679136,4186158929327,3645213671718,3409424274980,3981410897961,4461145878964,4746428005130
1,유동자산,현금및현금성자산,139456582016,276057788132,1278709062222,1152223444455,547682350683,247881560253,289174031964,342797869947
2,유동자산,단기금융상품,322825724212,58476522991,195837928508,170200000000,176930698876,193500000000,49772433443,89452564809
3,유동자산,유동매도가능금융자산,811570000,,8082260000,17130590343,16675064763,28587096864,30446878400,31763398060
4,유동자산,매출채권,267472216265,294665418402,965303706502,888882016901,927643597211,1042594285190,1239452809541,1157758746083
5,유동자산,미청구공사,7129582093,16329683912,330982024257,,,,,
6,유동자산,기타수취채권,47677810524,20550441610,267291746925,198546672381,258296461344,516169607902,365133159021,352411207492
7,유동자산,단기선급금,20395641787,21860593124,259395127320,153151393473,147230078585,138814912955,133722991509,190031778779
8,유동자산,단기선급비용,28246793312,4229597768,306285951339,297107296068,337235445424,355185814971,371788393563,359327162065
9,유동자산,기타유동자산,304415585,0,3338895,,,,,
10,유동자산,재고자산,238083685599,268105633197,574267783359,767972258097,997730578094,1458677619826,1981655181523,2222885277895
11,비유동자산,비유동자산,3136547106254,2449466567655,2353288565043,2139363506801,2100659958300,1955099330584,1959676517402,1892027517582
12,비유동자산,장기투자증권,309636241945,288059348070,391685988373,441934794958,427641040410,429725842346,436287189438,477171228945
13,비유동자산,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",1078107614334,1012269528573,137791611949,112918182927,120371338361,64026536096,55746154196,53621090132
14,비유동자산,기타수취채권,21911259541,12184475583,391298522838,373393760472,360219895106,237965282853,211918670113,198085526191
15,비유동자산,유형자산,781393256446,688632455161,1035201468065,851044148354,844476290622,855573187995,870773712378,893533939781
16,비유동자산,무형자산,25433517113,27366050719,16056081809,15867077862,14605803519,19475113516,20566930902,23009022597
17,비유동자산,투자부동산,438139030489,331578853939,257910166354,250697330256,245988126867,243157991584,236692782595,172617611459
18,비유동자산,이연법인세자산,26290165589,6403913263,117393567528,89748384474,86529446953,104344460606,127604778297,69647337417
19,비유동자산,기타비유동자산,94591684211,82971942347,5951158127,3759827498,828016462,830915588,86299483,4341761060
20,비유동자산,사용권자산,361044336586,0,0,,,,,
21,자산총계,자산총계,4208951127647,3409742246791,6539447494370,5784577178519,5510084233280,5936510228545,6420822396366,6638455522712
22,유동부채,유동부채,934362388837,688185445407,2414785354839,2263964207635,2019510061023,2567941615912,2736961288462,2550811763961
23,유동부채,매입채무 및 기타유동채무,141829700852,162049611520,357148622079,313645287668,353272367595,363400500740,447581078785,423820625166
24,유동부채,단기차입금,370156704237,265616516027,433023699384,544857759623,519801854290,799209176628,630040879585,852554662562
25,유동부채,기타지급채무,177414485327,117334103740,359437898544,305318242333,251713268445,278793689637,342553125830,346345739543
26,유동부채,선수금,71914687809,31316281297,755383537497,521333668878,383754151514,386228989898,427667985510,259284220982
27,유동부채,예수금,7325033498,7851124360,152923687698,130103031336,130180424292,119236249069,123554918034,65220498476
28,유동부채,당기법인세부채,47174076779,12348117712,163786179003,91432174150,47537516323,6179048511,6569049138,4366064930
29,유동부채,유동성장기부채,84226283078,72799300456,160541196089,324995830784,297246208554,579710659460,733596007365,578017794463
30,유동부채,유동충당부채,11163063839,9608626827,5765340930,5163004832,4326003472,3778068829,2579654647,1700889342
31,유동부채,기타유동부채,7590777463,9261763468,26775193615,27115208031,31678266538,31405233140,22818589568,19501268497
32,유동부채,유동리스부채,15567575955,0,0,,,,,
33,비유동부채,비유동부채,916050580668,608138535698,1162182938475,765711108150,1019602094675,1095626114677,1481533731888,1659830188688
34,비유동부채,사채,0,0,353791393309,264003838750,219241346104,199090836528,380056324037,807418407402
35,비유동부채,장기차입금,413688223099,426518347261,369346135659,64335317880,262606145937,378098084079,607740946948,365677137865
36,비유동부채,비유동충당부채,1166361363,1158570706,231304860526,211977663602,233807727700,223472384668,204373847999,191671061207
37,비유동부채,확정급여부채,8732048947,4802577884,15938701212,18016255617,26050842689,24026191084,25579275199,27034276144
38,비유동부채,이연법인세부채,12588126844,27581510966,15287377814,14095154695,11781477359,7748744799,6669649101,6390748465
39,비유동부채,기타지급채무,112378711855,120303170202,142700190700,158416812204,241686479129,235868472303,226267375381,223048806567
40,비유동부채,기타비유동부채,24013800145,27774358679,33814279255,34866065402,24428075757,27321401216,30846313223,38589751038
41,비유동부채,비유동리스부채,343483308415,0,0,,,,,
42,부채총계,부채총계,1850412969505,1296323981105,3576968293314,3029675315785,3039112155698,3663567730589,4218495020350,4210641952649
43,지배기업의 소유지분,지배기업의 소유지분,2158532985794,1921691834277,2803387778742,2621955658203,2357563623337,2180628912172,2121715163721,2352280095258
44,지배기업의 소유지분,자본금,298708605000,298708605000,376920900000,376920900000,376920900000,376920900000,376920900000,376920900000
45,지배기업의 소유지분,자본잉여금,644510880298,644510880298,178853983274,178853983274,178853983274,178853983274,178853983274,178853983274
46,지배기업의 소유지분,이익잉여금,3392078363564,3145762301938,2524439964309,2185556681197,1917240718789,1726145061281,1661350427699,1880628537688
47,지배기업의 소유지분,기타포괄손익누계액,-7154288729,-952366952,30211083033,22266710029,25184893004,38915826714,44800830263,56106877257
48,지배기업의 소유지분,기타자본조정,-2169610574339,-2166337586007,-307038151874,-141642616297,-140636871730,-140206859097,-140210977515,-140230202961
49,비지배지분,비지배지분,200005172348,191726431409,159091422314,132946204531,113408454245,92313585784,80612212295,75533474805
50,자본총계,자본총계,2358538158142,2113418265686,2962479201056,2754901862734,2470972077582,2272942497956,2202327376016,2427813570063
51,,자본과부채총계,4208951127647,3409742246791,6539447494370,5784577178519,5510084233280,5936510228545,6420822396366,6638455522712
