,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,3235333823589,3839524960880,,,,,,
1,유동자산,현금및현금성자산,533754585931,1352618076054,,,,,,
2,유동자산,단기금융상품,480610331121,221208102779,,,,,,
3,유동자산,단기투자증권,9852355000,3743095000,,,,,,
4,유동자산,매출채권 및 기타유동채권,1708921437441,1486794858384,,,,,,
5,유동자산,매출채권,369726872714,466635331825,,,,,,
6,유동자산,단기미청구공사,374011664031,276417021595,,,,,,
7,유동자산,기타수취채권,413670260473,288054186449,,,,,,
8,유동자산,단기선급금,353215624050,287172431551,,,,,,
9,유동자산,단기선급비용,198297016173,168515886964,,,,,,
10,유동자산,재고자산,502195114096,775160828663,,,,,,
11,비유동자산,비유동자산,1174216941505,1023830102617,,,,,,
12,비유동자산,장기투자증권,73485177937,120741254025,,,,,,
13,비유동자산,관계기업및공동기업투자,78831955239,0,,,,,,
14,비유동자산,기타수취채권,234769975171,328634317971,,,,,,
15,비유동자산,유형자산,388370202599,396117729966,,,,,,
16,비유동자산,영업권 이외의 무형자산,7980672055,6124776427,,,,,,
17,비유동자산,리스자산,29206335087,,,,,,,
18,비유동자산,투자부동산,1781363966,150070847,,,,,,
19,비유동자산,이연법인세자산,158759269451,172041953381,,,,,,
20,비유동자산,기타비유동자산,201031990000,20000000,,,,,,
21,자산총계,자산총계,4409550765094,4863355063497,,,,,,
22,유동부채,유동부채,1726495743410,2444816865907,,,,,,
23,유동부채,매입채무 및 기타유동채무,1532867159224,2256821037097,,,,,,
24,유동부채,매입채무,178476349052,159894009209,,,,,,
25,유동부채,단기차입금,231685000000,207285000000,,,,,,
26,유동부채,기타지급채무,222957412535,262164235937,,,,,,
27,유동부채,선수금,40813171822,38824192586,,,,,,
28,유동부채,단기초과청구공사,561665131723,1191478482543,,,,,,
29,유동부채,예수금,126966997583,231977766466,,,,,,
30,유동부채,유동성장기부채,170303096509,165197350356,,,,,,
31,유동부채,당기법인세부채,92114479250,62107394309,,,,,,
32,유동부채,유동충당부채,78561422097,117160098319,,,,,,
33,유동부채,기타유동부채,22952682839,8728336182,,,,,,
34,비유동부채,비유동부채,451321425831,574174580454,,,,,,
35,비유동부채,장기매입채무 및 기타비유동채무,195874280623,365028803543,,,,,,
36,비유동부채,사채,179507058464,319013017344,,,,,,
37,비유동부채,장기차입금,4806408159,34884342199,,,,,,
38,비유동부채,기타지급채무,11560814000,11131444000,,,,,,
39,비유동부채,비유동충당부채,223287175019,196729986478,,,,,,
40,비유동부채,이연법인세부채,503739252,,,,,,,
41,비유동부채,퇴직급여부채,11910120464,12415790433,,,,,,
42,비유동부채,기타비유동부채,19746110473,,,,,,,
43,부채총계,부채총계,2177817169241,3018991446361,,,,,,
44,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,2231733595853,1844363617136,,,,,,
45,지배기업의 소유주에게 귀속되는 자본,자본금,219691100000,219691100000,,,,,,
46,지배기업의 소유주에게 귀속되는 자본,자본잉여금,1396154953606,1396154953606,,,,,,
47,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),618128798686,229273592909,,,,,,
48,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-1525359558,-40132498,,,,,,
49,지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-715896881,-715896881,,,,,,
50,비지배지분,비지배지분,,0,,,,,,
51,자본총계,자본총계,2231733595853,1844363617136,,,,,,
52,,자본과부채총계,4409550765094,4863355063497,,,,,,
