,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익(손실),당기순이익(손실),413669803493,,,,,,,
1,기타포괄손익,기타포괄손익,-4335449776,,,,,,,
2,기타포괄손익,당기손익으로 재분류되지 않는 항목(세전기타포괄손익),-3534676570,,,,,,,
3,기타포괄손익,확정급여제도의 재측정손익(세전기타포괄손익),-3760188280,,,,,,,
4,기타포괄손익,매도가능금융자산평가손실,-904362248,,,,,,,
5,기타포괄손익,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세전기타포괄손익),1052730,,,,,,,
6,기타포괄손익,당기손익으로 재분류되지 않는 항목과 관련된 법인세,-1128821228,,,,,,,
7,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세전기타포괄손익),-800773206,,,,,,,
8,기타포괄손익,해외사업장환산외환차이(세전기타포괄이익),-800773206,,,,,,,
9,총포괄손익,총포괄손익,409334353717,,,,,,,
10,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",409334353717,,,,,,,
11,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",0,,,,,,,
