,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),4216489503536,,,,,,,
1,수익(매출액),건설계약으로 인한 수익(매출액),4070389012925,,,,,,,
2,수익(매출액),공사수익,3284148249246,,,,,,,
3,수익(매출액),분양매출(수익),786240763679,,,,,,,
4,수익(매출액),기타수익(매출액),146100490611,,,,,,,
5,매출원가,매출원가,3462844508252,,,,,,,
6,매출원가,건설계약으로 인한 수익(매출액)에 대한 매출원가,3333182551364,,,,,,,
7,매출원가,공사매출원가,2773284000661,,,,,,,
8,매출원가,분양매출원가,559898550703,,,,,,,
9,매출원가,기타수익(매출액)에 대한 매출원가,129661956888,,,,,,,
10,매출총이익,매출총이익,753644995284,,,,,,,
11,판매비와관리비,판매비와관리비,204422425043,,,,,,,
12,대손상각비,대손상각비,-2264723592,,,,,,,
13,영업이익(손실),영업이익(손실),551487293833,,,,,,,
14,기타이익,기타이익,16177528058,,,,,,,
15,기타손실,기타손실,31831604788,,,,,,,
16,이자수익,이자수익,53025087715,,,,,,,
17,이자비용,이자비용,17188016652,,,,,,,
18,금융수익,금융수익,1440658875,,,,,,,
19,금융원가,금융원가,341662136,,,,,,,
20,관계기업 지분법손익,관계기업 지분법손익,-13869097491,,,,,,,
21,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),558900187414,,,,,,,
22,법인세비용,법인세비용,145230383921,,,,,,,
23,당기순이익(손실),당기순이익(손실),413669803493,,,,,,,
24,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),413669803493,,,,,,,
25,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),,,,,,,,
26,주당이익 [abstract],기본주당이익(손실),,,,,,,,
27,주당이익 [abstract],계속영업기본주당이익(손실),9417,,,,,,,
28,주당이익 [abstract],희석주당이익(손실),,,,,,,,
29,주당이익 [abstract],계속영업희석주당이익(손실),9417,,,,,,,
