,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,726423996272,725381961059,681163676762,684839086981,622825321970,573935210974,530262876274,511945579904
1,매출원가,매출원가,440292732923,415457435797,386412969108,403214489913,366313960099,338253217191,309008349313,312585845593
2,매출총이익,매출총이익,286131263349,309924525262,294750707654,281624597068,256511361871,235681993783,221254526961,199359734311
3,판매비와관리비,판매비와관리비,283395111977,276609738501,253036185288,238276265217,223054567105,217441153798,200834965004,195686135404
4,판매비와관리비,판매비,56303204349,48917595745,49961836764,45190072953,42639542193,43952601784,35483836431,
5,판매비와관리비,관리비,227091907628,227692142756,203074348524,193086192264,180415024912,173488552014,165351128573,
6,영업이익(손실),영업이익(손실),2736151372,33314786761,41714522366,43348331851,33456794766,18240839985,20419561957,3673598907
7,영업외수익,영업외수익,2150879201,2376225135,65250434596,23710609092,13996895909,23047418802,52962364356,
8,영업외수익,지분법투자이익,545692503,228102560,63131034898,6674412791,4711553667,3378655693,624465973,538512684
9,영업외수익,기타영업외수익,1605186698,2148122575,2119399698,1798607930,1099006062,9796202238,3001611155,
10,금융수익,금융수익,9944367005,11488959070,8396050227,15237588371,8186336180,9872560871,7615559550,7844550842
11,금융수익,이자수익,702218890,557474009,395351477,277741162,708577318,417501490,832191578,
12,금융수익,외환차익(금융수익),3090900286,2109679036,3437278707,4828793596,3260816003,3175981944,4247877878,
13,금융수익,외화환산이익(금융수익),2988961231,4325524373,4539297751,4226936674,1757284132,3038190398,2358503108,
14,금융수익,전환상환우선주평가이익,3153818750,0,0,,,,,
15,금융수익,파생부채평가이익(금융수익),0,4496281652,24122292,,,,,
16,금융수익,사채상환이익(금융수익),8467848,0,0,,,,,
17,영업외비용,영업외비용,1480337080,4414174905,2282062969,55676526502,47214107671,54384686712,51904543290,
18,영업외비용,지분법투자손실,333485211,1838889993,0,,,,,
19,영업외비용,기타영업외비용,1146851869,2575284912,2282062969,7151761020,3513676259,7385526340,1903532313,
20,금융원가,금융원가,39432815871,42338610735,54523833306,,,,,
21,금융원가,이자비용,31800693564,32506229570,33111855409,32007156425,34297946877,37804985328,44315829889,
22,금융원가,외환차손(금융원가),3555869024,2102584467,4766966636,5828777890,3593331591,2635711825,3783005411,
23,금융원가,외화환산손실(금융원가),1517760795,2528977765,8601737702,4402399136,3743996694,2711130009,758584135,
24,금융원가,파생상품평가손실,17883000,168200000,0,2049927532,1521227312,,,
25,금융원가,금융보증비용(손실),219963110,262232860,15782818,652176374,272497499,1464887039,176986986,
26,금융원가,전환우선주 평가손실,,632225000,7861931457,2741328125,,,,
27,금융원가,전환우선주 거래손실,2320646378,1478549618,165559284,,,,,
28,금융원가,상각후원가측정금융자산손상차손,,2650000872,0,,,,,
29,금융원가,공정가치측정금융자산처분손실,,9610583,0,,,,,
30,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),-26081755373,427185326,58555110914,11382414441,239583004,-13096427925,21477383023,-46563777370
31,법인세비용,법인세비용,5554965010,7247199924,48443720,25758909671,-96740199,-3819869449,5313537936,-5093735744
32,계속영업당기순이익(손실),계속영업당기순이익(손실),-31636720383,-6820014598,58506667194,,,,,
33,중단영업당기순이익(손실),중단영업당기순이익(손실),,43259391288,-1636932011,,,,,
34,당기순이익(손실),당기순이익(손실),-31636720383,36439376690,56869735183,-14376495230,336323203,-9276558476,16163845087,-41470041626
35,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),-33440843038,23169194370,54021815781,-8663432262,181411692,-10939564644,17817457408,-22032155920
36,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),1804122655,13270182320,2847919402,,,,,
37,기타포괄손익,기타포괄손익,-3460635474,-8471697351,-3117286529,-4273733028,-6174867286,-5864768881,-241258392,-135948075
38,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),-3595450934,-8578291001,-3241138341,,,,,
39,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),-4756236950,-7443587772,-1676003598,-9213969306,-6751748289,-5216007518,-250818116,
40,기타포괄손익,공정가치측정금융자산 평가손익,1160786016,-1134703229,-1565134743,4840774410,256166918,-297645347,6611993,280279446
41,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),134815460,106593650,123851812,-46304124,79705149,35658912,2947731,-51221142
42,기타포괄손익,해외사업환산손익,75993461,106593650,123851812,-46304124,,,,
43,기타포괄손익,지분법자본변동,58821999,0,0,,,,,
44,총포괄손익,총포괄손익,-35097355857,27967679339,53752448654,,,,,
45,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",-34776637030,17608429905,51635166946,-10563424011,-3974989973,-13964408830,17681377028,-21460815119
46,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",-320718827,10359249434,2117281708,,,,,
47,주당이익 [abstract],계속영업주당이익,-519,-318,885,,,,,
48,주당이익 [abstract],중단영업주당이익,,685,-26,,,,,
