,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,9400706000000,-8957618000000,-4836025000000,1124987000000,2193631000000,3276746000000,-6345527000000,7644558000000
1,,,3313199000000,3061946000000,3343461000000,2190180000000,1727306000000,1415111000000,1274698000000,1740133000000
2,,,3405812000000,3297857000000,3237931000000,1361248000000,2533270000000,2803593000000,3166181000000,3482339000000
3,,,-438567000000,-104755000000,,,,,,
4,,,-3835000000,186029000000,-135363000000,69573000000,47466000000,27088000000,48787000000,15165000000
5,,,282000000,410000000,-1000000000,338000000,1771000000,-2040000000,699000000,42000000
6,,,670185000000,673694000000,548244000000,539283000000,1037231000000,1227976000000,1443572000000,1606703000000
7,,,-206192000000,-99253000000,110156000000,-139800000000,-166911000000,109461000000,-1191000000,148211000000
8,,,-16451000000,-24260000000,-84274000000,-280838000000,,,,
9,,,784431000000,409481000000,371150000000,289438000000,257457000000,261197000000,286858000000,328320000000
10,,,192459000000,214153000000,179193000000,,,,,
11,,,-33238000000,-138553000000,30893000000,5259000000,9458000000,41115000000,39777000000,40881000000
12,,,49418000000,10930000000,73370000000,38190000000,17429000000,11422000000,17289000000,13871000000
13,,,1546271000000,1608175000000,1644389000000,366145000000,659501000000,666155000000,761877000000,1305730000000
14,,,231913000000,220215000000,233501000000,197696000000,187882000000,166671000000,172579000000,172391000000
15,,,313550000000,277152000000,363803000000,421679000000,431157000000,360500000000,314866000000,229691000000
16,,,-74488000000,-142586000000,-70399000000,15931000000,228727000000,116035000000,17082000000,-148877000000
17,,,390074000000,207025000000,204122000000,65412000000,88518000000,-17076000000,-24981000000,2783000000
18,,,2681695000000,-15317421000000,-11417417000000,-2426441000000,-2066945000000,-941958000000,-10786406000000,2422086000000
19,,,-916415000000,-8446927000000,,,,,,
20,,,-644342000000,151297000000,-295795000000,147137000000,124687000000,104333000000,116660000000,193373000000
21,,,15536000000,-40413000000,,,,,,
22,,,-21681258000000,-31334606000000,-22465758000000,-16423939000000,-14847214000000,-10027349000000,-7335434000000,-2964229000000
23,,,-9091000000,-3668000000,59334000000,-8868000000,287788000000,40597000000,-13940000000,
24,,,803000000,-557000000,3186000000,-87701000000,9223000000,-140000000,1349000000,3211000000
25,,,-3668385000000,-2292160000000,-3938297000000,1393689000000,-682627000000,427501000000,-5075338000000,2201280000000
26,,,-77231000000,3690005000000,,,,,,
27,,,28480993000000,20679844000000,18858210000000,12042422000000,12602806000000,10668675000000,2584993000000,4495876000000
28,,,-266204000000,264765000000,,,,,,
29,,,235209000000,115208000000,108355000000,-150333000000,105752000000,-27242000000,-74463000000,-138374000000
30,,,1212080000000,1899791000000,133931000000,1768096000000,-545262000000,-1467942000000,-430856000000,1375612000000
31,,,-12334424000000,-4480286000000,-8729419000000,-4438538000000,-5075330000000,-1684297000000,4178817000000,-2532234000000
32,,,-206680000000,42305000000,63827000000,11035000000,-61543000000,-204563000000,10977000000,75761000000
33,,,11364615000000,9582940000000,,,,,,
34,,,-12359886000000,-8707420000000,,,,,,
35,,,69489132000000,60773660000000,38050549000000,28066113000000,21648312000000,19632047000000,25655149000000,24805560000000
36,,,-79083472000000,-64729380000000,-46538295000000,-30737148000000,-25688235000000,-19463101000000,-23020912000000,-26141095000000
37,,,26185000000,34717000000,141052000000,106658000000,40350000000,81321000000,20554000000,
38,,,-92200000000,-187077000000,-53375000000,-1558731000000,-904399000000,-17650000000,-23340000000,-217081000000
39,,,12786000000,2272000000,31167000000,809000000,2951000000,223000000,1070000000,16912000000
40,,,-608736000000,-452270000000,-298368000000,-397157000000,-229210000000,-202007000000,-153469000000,-143139000000
41,,,94207000000,140969000000,1593000000,,,,,
42,,,-806088000000,-1288125000000,-262000000,-1254000000,-4289000000,-211995000000,-114609000000,
43,,,14694000000,10706000000,7603000000,8330000000,3761000000,4590000000,5072000000,10176000000
44,,,-333557000000,-126163000000,-111894000000,-111603000000,-52126000000,-30755000000,-68091000000,-81899000000
45,,,91592000000,188140000000,-405817000000,95304000000,,,,
46,,,62984000000,234440000000,446628000000,90141000000,107555000000,-1210071000000,1554752000000,-838816000000
47,,,2277608000000,11743772000000,14688746000000,3181326000000,3255265000000,-755066000000,1707139000000,-3252263000000
48,,,-28631000000,15044000000,63827000000,11035000000,-61543000000,-204563000000,10977000000,75761000000
49,,,5027313000000,4216014000000,4272011000000,1849513000000,178497000000,1129837000000,-1990258000000,-796842000000
50,,,93655747000000,143603589000000,139700967000000,99305813000000,80263530000000,43135390000000,10758948000000,10282920000000
51,,,-96145669000000,-135180630000000,-129235557000000,-98484764000000,-77062704000000,-43816790000000,-7924609000000,-12945650000000
52,,,-68648000000,267077000000,587523000000,1639104000000,242827000000,124904000000,414279000000,456449000000
53,,,-759736000000,-766728000000,-497969000000,-378625000000,-301354000000,-193176000000,-231811000000,-278173000000
54,,,-6513000000,,,,,,,
55,,,-274317000000,-224700000000,-185532000000,-716808000000,,,,
56,,,399205000000,,,,,,,
57,,,574580000000,,-163658000000,,,,,
58,,,-229750000000,,,,,,,
59,,,134027000000,-185894000000,148775000000,-38786000000,107555000000,-1210071000000,1554752000000,-838816000000
60,,,137019000000,-67950000000,-133240000000,89142000000,65557000000,12227000000,41452000000,-13560000000
61,,,-519091000000,-1762082000000,990062000000,-43083000000,439123000000,849610000000,-418119000000,1846501000000
62,,,6642816000000,8404898000000,7414836000000,7457919000000,7018796000000,6169186000000,6587305000000,4740804000000
63,,,6123725000000,6642816000000,8404898000000,7414836000000,7457919000000,7018796000000,6169186000000,6587305000000
