,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,9196787000000,8904928000000,8246614000000,6402529000000,6203199000000,6415775000000,6522832000000,7037783000000
1,,,14639187000000,13734569000000,11919057000000,10021882000000,10375823000000,11635296000000,12356930000000,14210106000000
2,,,13935124000000,12986209000000,,,,,,
3,,,704063000000,748360000000,,,,,,
4,,,-5442400000000,-4829641000000,-3672443000000,-3619353000000,-4172624000000,-5219521000000,-5834098000000,-7172323000000
5,,,2355004000000,2243376000000,2050024000000,1584892000000,1534983000000,1382729000000,1479239000000,1566706000000
6,,,3879247000000,3717720000000,3988250000000,3150877000000,2971095000000,2666185000000,2657365000000,2753876000000
7,,,-1524243000000,-1474344000000,-1938226000000,-1565985000000,-1436112000000,-1283456000000,-1178126000000,-1187170000000
8,,,299512000000,490116000000,593710000000,-117803000000,,,,
9,,,12317182000000,11975070000000,8970992000000,1201352000000,,,,
10,,,-12017670000000,-11484954000000,-8377282000000,-1319155000000,,,,
11,,,643872000000,351303000000,,,,,,
12,,,912187000000,350490000000,,,,,,
13,,,-268315000000,813000000,,,,,,
14,,,-1063324000000,-1130036000000,-901890000000,-415908000000,-715960000000,-1040909000000,-1304765000000,-1531942000000
15,,,-6271017000000,-5918512000000,-5628664000000,-5228711000000,-4523584000000,-4009694000000,-3983564000000,-3845610000000
16,,,5160834000000,4941175000000,4563518000000,2216231000000,2858365000000,3187099000000,3470564000000,4038901000000
17,,,-670185000000,-673694000000,-548244000000,-539283000000,-1037231000000,-1227976000000,-1443572000000,-1606703000000
18,,,4490649000000,4267481000000,4015274000000,1676948000000,1821134000000,1959123000000,2026992000000,2432198000000
19,,,43337000000,34051000000,123150000000,951707000000,343561000000,-57698000000,-211701000000,-133554000000
20,,,16451000000,24260000000,84274000000,280838000000,,,,
21,,,26886000000,9791000000,38876000000,670869000000,140464000000,-71126000000,-12309000000,-118272000000
22,,,4533986000000,4301532000000,4138424000000,2628655000000,2164695000000,1901425000000,1815291000000,
23,,,-1220787000000,-1239586000000,-794963000000,-438475000000,-437389000000,-486314000000,-540593000000,-558511000000
24,,,3313199000000,3061946000000,3343461000000,2190180000000,1727306000000,1415111000000,1274698000000,1740133000000
25,,,152023000000,-10482000000,136226000000,,,,,
26,,,-84633000000,-167775000000,22460000000,16294000000,-22504000000,-99594000000,40984000000,-30272000000
27,,,-55827000000,-138016000000,22605000000,12671000000,-22906000000,-99594000000,40984000000,-30272000000
28,,,-105000000,-74000000,-145000000,3623000000,,,,
29,,,-17329000000,-31169000000,,,,,,
30,,,-11372000000,1484000000,,,,,,
31,,,236656000000,157293000000,113766000000,-41231000000,-8758000000,223457000000,-14082000000,174991000000
32,,,37861000000,48820000000,-110037000000,20148000000,45143000000,17280000000,-2298000000,-25690000000
33,,,35490000000,119182000000,,,,,,
34,,,7800000000,-3659000000,100880000000,3623000000,,,,
35,,,-33182000000,-9038000000,20959000000,4303000000,725000000,-10497000000,1618000000,-813000000
36,,,-8900000000,-27134000000,26614000000,-7095000000,-25477000000,,,
37,,,3364000000,28709000000,-13767000000,,,,,
38,,,194223000000,413000000,,,,,,
39,,,3465222000000,3051464000000,3479687000000,2165243000000,1696044000000,1538974000000,1301600000000,1884852000000
40,,,3313199000000,3061946000000,3343461000000,2190180000000,1727306000000,1415111000000,1274698000000,1740133000000
41,,,3311828000000,3061191000000,3311438000000,2143744000000,1698318000000,1400722000000,1271502000000,1731034000000
42,,,1371000000,755000000,32023000000,46436000000,28988000000,14389000000,3196000000,9099000000
43,,,3465222000000,3051464000000,3479687000000,2165243000000,1696044000000,1538974000000,1301600000000,
44,,,3463567000000,3050805000000,3445285000000,2118829000000,1666883000000,1526089000000,1312672000000,1865137000000
45,,,1655000000,659000000,34402000000,46414000000,29161000000,12885000000,-11072000000,19715000000
46,,,,,,,,,,
47,,,8451,7721,8305,5588,4396,3626,3291,4480
48,,,8389,7676,8257,5559,4376,3611,3277,4467
