,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,비유동자산,비유동자산,1102093301664,681776741493,722966579310,520033692718,528902008742,534164874637,559126278109,568367094299
1,비유동자산,유형자산,522764393217,405402824918,389372233809,312021145179,330111769991,340373680121,348381895197,350769710876
2,비유동자산,무형자산,259377865285,171966385734,185506716463,129442907686,124635138544,77925998510,75815609008,67172492250
3,비유동자산,투자부동산,5761415688,5794907682,5828399674,5892328561,5926257447,5915268854,5948552192,5981835531
4,비유동자산,장기기타금융자산,96271872556,27181067589,44505712717,50000000,50000000,,,
5,비유동자산,관계기업투자,29038866628,25414910256,21017733529,19769962925,16004573151,12921637585,10940030483,9559159859
6,비유동자산,장기금융상품,4881027289,51000000,121461327,28000000,59367751,296810410,8500000,8500000
7,비유동자산,장기금융업채권,101456249415,,,,,,,
8,비유동자산,장기기타채권,77500785990,42315071159,68470443032,46864929057,44094355477,87290654960,106414353030,119642668663
9,비유동자산,기타비유동자산,4833568692,3386563410,2798197003,4155430310,6424872589,9165934385,11341034656,14973494578
10,비유동자산,이연법인세자산,207256904,264010745,5345681756,1808989000,1595673792,274889812,276303543,259232542
11,유동자산,유동자산,1315031712552,970064183771,871862853627,1061103896156,945950955104,868801960601,732454175476,639692802464
12,유동자산,재고자산,372749341783,370262586864,338881970061,308640245361,357452332455,304467302876,268292416441,333810483872
13,유동자산,매출채권,124256668915,133841377010,140000531333,123557416189,114636071805,132603352362,118087530646,118542434365
14,유동자산,금융업채권,353055220747,,,,,,,
15,유동자산,기타채권,75434069479,53114881584,17754088643,36331509877,53203260043,6660282361,6577099341,4804205029
16,유동자산,기타유동자산,35102442215,37981788761,26960541640,39534153944,26706625683,24847805852,19109588104,21519114703
17,유동자산,기타금융자산,40000000000,,46456899333,97526136,8519925,161252507,7194196,
18,유동자산,단기금융상품,66225439035,38302741167,174419036368,423605696974,224561533148,124315342466,100304276498,70000000000
19,유동자산,현금및현금성자산,247434890429,336343746043,127348261267,128665168966,168896754075,275385688802,220076070250,91016564495
20,유동자산,당기법인세자산,773639949,217062342,41524982,672178709,485857970,360933375,,
21,자산총계,자산총계,2417125014216,1651840925264,1594829432937,1581137588874,1474852963846,1402966835238,1291580453585,1208059896763
22,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,1221302991841,1173296645629,1092487306561,1052822671267,1017261588648,982430294863,914446326224,868446674720
23,지배기업의 소유주에게 귀속되는 자본,자본금,146200000000,146200000000,146200000000,146200000000,146200000000,146200000000,146200000000,146200000000
24,지배기업의 소유주에게 귀속되는 자본,자본잉여금,213111805266,213111805266,213111805266,213111805266,213111805266,213189089156,213189089156,213189089156
25,지배기업의 소유주에게 귀속되는 자본,기타자본항목,-21596339776,-18603636425,-30554405755,-11437788405,-11437788405,-11443950561,-11443950561,-1439965290
26,지배기업의 소유주에게 귀속되는 자본,이익잉여금,886056365398,836153046577,769767294457,710565533805,673754930645,637922332990,569022026337,511701605516
27,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-2468839047,-3564569789,-6037387407,-5616879399,-4367358858,-3437176722,-2520838708,-1204054662
28,비지배지분,비지배지분,170236553939,10131857682,10834951909,-637441077,293891275,533179430,501665321,6261438570
29,자본총계,자본총계,1391539545780,1183428503311,1103322258470,1052185230190,1017555479923,982963474293,914947991545,874708113290
30,비유동부채,비유동부채,315565912611,169822801671,156762991955,133743794854,181584446407,181550621979,128552441668,135097414442
31,비유동부채,순확정급여부채,18735546554,15178571567,15239981859,13757073971,16024492506,12702497153,10481117548,11265929277
32,비유동부채,장기예수보증금,3841355695,4511998426,5145446654,5400195660,6990780876,6476522428,10423921679,10072864765
33,비유동부채,장기기타금융부채,254670627435,117798553307,113274296020,101919965110,149677251593,150615689232,99597582080,109583466956
34,비유동부채,기타비유동부채,8600740,14499133,,,149417661,191036799,20249814,211390189
35,비유동부채,충당부채,4083427623,4518114801,4069470934,5377055,149417661,191036799,20249814,211390189
36,비유동부채,이연법인세부채,34226354564,27801064437,19033796488,12661183058,8742503771,11564876367,8029570547,3963763255
37,유동부채,유동부채,710019555825,298589620282,334744182512,395208563830,275713037516,238452738966,248080020372,198254369031
38,유동부채,매입채무,67110924279,90180303758,78477618356,83743820533,69397849885,77724498016,72737011663,82384750834
39,유동부채,기타채무,106351149253,87331975752,99454283718,83101897654,92423920057,84706967282,,
40,유동부채,기타금융부채,446302129243,68023763022,113680089636,194870755167,80975977089,47205934528,82814535583,16938024625
41,유동부채,기타유동부채,60980554320,20912080996,9971877199,11888575834,8415171463,5277001814,7120719692,7250692459
42,유동부채,유동성충당부채,12177177331,12377834390,9212051289,8894420526,9341545699,8898624125,9487984830,10392142368
43,유동부채,당기법인세부채,17097621399,19763662364,23948262314,12709094116,15158573323,14639713201,13699135311,15404323316
44,부채총계,부채총계,1025585468436,468412421953,491507174467,528952358684,457297483923,420003360945,376632462040,333351783473
45,,자본과부채총계,2417125014216,1651840925264,1594829432937,1581137588874,1474852963846,1402966835238,1291580453585,1208059896763
