,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,3939057000000,4613085000000,5367809000000,4663115000000,4155560000000,3851206000000,3709672000000,
1,유동자산,현금및현금성자산,1337102000000,1054293000000,1309949000000,1129035000000,870393000000,497211000000,682142000000,
2,유동자산,금융기관예치금,567691000000,348699000000,438214000000,206845000000,375748000000,335558000000,310031000000,
3,유동자산,유동성파생상품자산,2250000000,1241000000,1798000000,1376000000,1138000000,1409000000,254000000,
4,유동자산,매출채권,1450939000000,2755238000000,3023304000000,2551435000000,2200006000000,2263398000000,2003643000000,
5,유동자산,기타채권,83727000000,25118000000,83816000000,74481000000,67236000000,77880000000,75546000000,
6,유동자산,당기법인세자산,6583000000,6957000000,6703000000,7854000000,4842000000,4761000000,2805000000,
7,유동자산,기타유동자산,428363000000,305391000000,284668000000,369232000000,292679000000,361815000000,291032000000,
8,유동자산,재고자산,62402000000,116148000000,109989000000,322857000000,343518000000,307655000000,330375000000,
9,유동자산,매각예정자산,,,109368000000,,,1519000000,13844000000,
10,비유동자산,비유동자산,18495573000000,18222826000000,16279888000000,14826327000000,13967840000000,13481501000000,12840505000000,
11,비유동자산,장기금융기관예치금,285000000,,,,,,,
12,비유동자산,기타금융자산,127062000000,117217000000,121817000000,91043000000,93124000000,103807000000,109853000000,
13,비유동자산,장기매출채권,26309000000,25751000000,25734000000,17032000000,8369000000,7232000000,11216000000,
14,비유동자산,장기기타채권,5066000000,44763000000,17000000,14808000000,17374000000,19027000000,20327000000,
15,비유동자산,관계기업및공동기업투자,14998373000000,14478228000000,12753226000000,10979154000000,10345631000000,9815312000000,9434268000000,
16,비유동자산,이연법인세자산,143707000000,152950000000,123075000000,208887000000,194089000000,175280000000,141571000000,
17,비유동자산,기타비유동자산,3554000000,9419000000,8541000000,56279000000,68782000000,93632000000,117045000000,
18,비유동자산,유형자산,1640134000000,1877748000000,1911540000000,2481390000000,2471315000000,2477695000000,2362352000000,
19,비유동자산,투자부동산,1391962000000,1416911000000,1241544000000,863726000000,652570000000,654962000000,487349000000,
20,비유동자산,무형자산,109744000000,99839000000,94394000000,114008000000,116586000000,134461000000,156411000000,
21,비유동자산,사용권자산,49377000000,,,,,,,
22,자산총계,자산총계,22434630000000,22835911000000,21647697000000,19489442000000,18123400000000,17332707000000,16550177000000,
23,유동부채,유동부채,2244801000000,3039531000000,3943608000000,3567302000000,2712625000000,2896801000000,2659677000000,
24,유동부채,유동성파생상품부채,276000000,181000000,1982000000,4406000000,2817000000,2319000000,1403000000,
25,유동부채,매입채무,836117000000,1634670000000,2261617000000,1635402000000,1353031000000,1371962000000,1253987000000,
26,유동부채,미지급금및기타채무,523937000000,569199000000,678813000000,783695000000,536476000000,595862000000,577683000000,
27,유동부채,단기차입금,56129000000,72956000000,59086000000,190795000000,168518000000,180230000000,108660000000,
28,유동부채,유동성장기차입금,301500000000,161526000000,320726000000,506975000000,320563000000,503821000000,494753000000,
29,유동부채,당기법인세부채,48513000000,186938000000,196819000000,82386000000,70638000000,75349000000,60014000000,
30,유동부채,유동성충당부채,48255000000,52430000000,62766000000,51466000000,36437000000,24107000000,23491000000,
31,유동부채,기타유동부채,333379000000,361631000000,310840000000,312031000000,224145000000,141536000000,139552000000,
32,유동부채,유동성리스부채,21555000000,,,,,,,
33,유동부채,매각예정자산관련부채,75140000000,,50959000000,146000000,,,,
34,비유동부채,비유동부채,1168808000000,1631902000000,1524578000000,1702056000000,2102531000000,1850071000000,1785209000000,
35,비유동부채,파생상품부채,8465000000,,,53000000,520000000,3043000000,1881000000,
36,비유동부채,장기기타채무,84269000000,77743000000,59854000000,83463000000,244555000000,229047000000,217054000000,
37,비유동부채,장기차입금,757385000000,1285055000000,1012845000000,1179800000000,1427434000000,1193367000000,1147419000000,
38,비유동부채,순확정급여부채,16959000000,10402000000,12697000000,56855000000,83032000000,97302000000,83700000000,
39,비유동부채,이연법인세부채,231008000000,213536000000,401631000000,346255000000,297952000000,276920000000,270809000000,
40,비유동부채,충당부채,5870000000,5025000000,4388000000,9761000000,10202000000,7229000000,6533000000,
41,비유동부채,기타비유동금융부채,38171000000,40141000000,33163000000,25869000000,38836000000,43163000000,57813000000,
42,비유동부채,리스부채,26681000000,,,,,,,
43,부채총계,부채총계,3413609000000,4671433000000,5468186000000,5269358000000,4815156000000,4746872000000,4444886000000,
44,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,18827021000000,17998725000000,16002559000000,13874365000000,12975511000000,12251947000000,11756394000000,
45,지배기업의 소유주에게 귀속되는 자본,자본금,879359000000,879359000000,879359000000,879359000000,879359000000,879359000000,879359000000,
46,지배기업의 소유주에게 귀속되는 자본,자본잉여금,2363147000000,2365545000000,2365549000000,2364937000000,2361658000000,2362706000000,2365354000000,
47,지배기업의 소유주에게 귀속되는 자본,기타자본항목,-2385000000,-2385000000,-2385000000,-2385000000,-2390000000,-2390000000,-2390000000,
48,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-112366000000,-292418000000,-250370000000,-159606000000,-134862000000,-140962000000,-60769000000,
49,지배기업의 소유주에게 귀속되는 자본,이익잉여금,15699266000000,15048624000000,13010406000000,10792060000000,9871746000000,9153234000000,8574840000000,
50,비지배지분,비지배지분,194000000000,165753000000,176952000000,345719000000,332733000000,333888000000,348897000000,
51,자본총계,자본총계,19021021000000,18164478000000,16179511000000,14220084000000,13308244000000,12585835000000,12105291000000,
52,,자본과부채총계,22434630000000,22835911000000,21647697000000,,,,,
