,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출 및 지분법 손익,매출 및 지분법 손익,6575339000000,7743355000000,7819282000000,9673887000000,9965365000000,9865402000000,9799213000000,9695204000000
1,매출 및 지분법 손익,제품및상품매출,763966000000,688320000000,738887000000,4378680000000,5250038000000,5458392000000,5452982000000,5352248000000
2,매출 및 지분법 손익,용역매출,1926718000000,1976270000000,1946865000000,1919963000000,2147916000000,1982884000000,1872605000000,1831071000000
3,매출 및 지분법 손익,건설형계약매출,2898931000000,3343915000000,3101091000000,2165172000000,1440577000000,1447442000000,1419587000000,1531765000000
4,매출 및 지분법 손익,지분법손익,498945000000,1269966000000,1577093000000,807323000000,719866000000,574095000000,661285000000,591342000000
5,매출 및 지분법 손익,기타매출,486779000000,464884000000,455346000000,402749000000,406968000000,402589000000,392754000000,388778000000
6,매출원가,매출원가,5216657000000,5619366000000,5524321000000,7960838000000,8338210000000,8361929000000,8184718000000,8045617000000
7,매출총이익,매출총이익,1358682000000,2123989000000,2294961000000,1713049000000,1627155000000,1503473000000,1614495000000,1649587000000
8,판매비와관리비,판매비와관리비,334584000000,302733000000,260544000000,,,,,
9,영업이익(손실),영업이익(손실),1024098000000,1821256000000,2034417000000,1322735000000,1138619000000,1044108000000,1153922000000,1231546000000
10,영업이익(손실),금융수익,35168000000,34352000000,24538000000,33030000000,34649000000,38936000000,50483000000,50769000000
11,영업이익(손실),금융비용,43115000000,44336000000,47274000000,58340000000,100391000000,101945000000,100175000000,118421000000
12,영업이익(손실),기타영업외수익,52814000000,28649000000,639166000000,58778000000,58006000000,54182000000,54976000000,38838000000
13,영업이익(손실),기타영업외비용,57877000000,66680000000,53746000000,65709000000,54736000000,79551000000,80177000000,42728000000
14,법인세비용차감전계속영업이익,법인세비용차감전계속영업이익,1011088000000,1773241000000,2597101000000,1290494000000,1076147000000,955730000000,1079029000000,1160004000000
15,계속영업법인세비용,계속영업법인세비용,203919000000,-49140000000,289461000000,187079000000,131576000000,127064000000,122742000000,143124000000
16,계속영업이익(손실),계속영업이익(손실),807169000000,1822381000000,2307640000000,1103415000000,944571000000,828666000000,956287000000,1016880000000
17,중단영업이익(손실),중단영업이익(손실),299586000000,60516000000,127919000000,,,,,
18,당기순이익(손실),당기순이익(손실),1106755000000,1882897000000,2435559000000,1091258000000,943775000000,828666000000,956287000000,1016880000000
19,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주,1079949000000,1863881000000,2395905000000,1074795000000,944189000000,844548000000,896117000000,938163000000
20,당기순이익(손실)의 귀속 [abstract],비지배지분,26806000000,19016000000,39654000000,16463000000,-414000000,-10284000000,-65254000000,23539000000
21,주당이익(단위 : 원),계속영업과 중단영업,,,,,,,,
22,주당이익(단위 : 원),기본/희석주당순이익,6143,10603,13630,6114,5371,4804,5097,5336
23,주당이익(단위 : 원),구형우선주 기본/희석주당순이익,6193,10653,13680,6164,5421,4854,,
24,주당이익(단위 : 원),계속영업,,,,,,,,
25,주당이익(단위 : 원),기본/희석주당순이익,4439,10293,13019,,,,,
26,주당이익(단위 : 원),구형우선주 기본/희석주당순이익,4489,10343,13069,6164,5421,4834,,
