,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,10248315000000,8800127000000,10473703000000,10484186000000,9531634000000,9240629000000,7731788000000,8914685000000
1,유동자산,현금및현금성자산,3336003000000,2365022000000,2602560000000,1558696000000,751662000000,889839000000,1021870000000,2338661000000
2,유동자산,금융기관예치금,78757000000,78400000000,758078000000,1163750000000,1772337000000,1526482000000,1301539000000,315092000000
3,유동자산,매출채권,3154080000000,2829163000000,4325120000000,4957993000000,4097836000000,3444477000000,3128626000000,3334341000000
4,유동자산,기타채권,474048000000,169313000000,164827000000,143592000000,105815000000,119478000000,89545000000,199007000000
5,유동자산,기타금융자산,70945000000,46301000000,27252000000,28016000000,4904000000,3250000000,919000000,3828000000
6,유동자산,재고자산,2051155000000,2691203000000,2350084000000,2287785000000,2351669000000,2754098000000,1933241000000,2390007000000
7,유동자산,당기법인세자산,114143000000,4516000000,3854000000,592000000,3469000000,6340000000,4066000000,8483000000
8,유동자산,매각예정비유동자산,0,70161000000,0,,,,,
9,유동자산,기타유동자산,969184000000,546048000000,241928000000,343762000000,443942000000,496665000000,251982000000,325266000000
10,비유동자산,비유동자산,25326248000000,24375583000000,18685984000000,14400150000000,13045526000000,13726394000000,13983496000000,15540826000000
11,비유동자산,금융기관예치금,11000000,11000000,11000000,13000000,13000000,8427000000,13000000,315092000000
12,비유동자산,지분법적용 투자지분,109611000000,113989000000,122507000000,172683000000,384755000000,407644000000,406536000000,402158000000
13,비유동자산,기타비유동채권,9072000000,11448000000,8738000000,,,,,
14,비유동자산,기타비유동금융자산,111510000000,144214000000,59836000000,74633000000,49732000000,33611000000,46246000000,86432000000
15,비유동자산,유형자산,22087645000000,21600130000000,16201960000000,12031449000000,10546020000000,11402866000000,11808334000000,13107511000000
16,비유동자산,무형자산,873448000000,987642000000,912821000000,894937000000,838730000000,576670000000,468185000000,497602000000
17,비유동자산,이연법인세자산,1727122000000,1136166000000,985352000000,867011000000,930629000000,1036507000000,1037000000000,1294813000000
18,비유동자산,종업원급여자산,127252000000,0,0,,,,,
19,비유동자산,기타비유동자산,280577000000,381983000000,394759000000,359424000000,295647000000,260669000000,217182000000,152310000000
20,자산총계,자산총계,35574563000000,33175710000000,29159687000000,24884336000000,22577160000000,22967023000000,21715284000000,24455511000000
21,유동부채,유동부채,10984976000000,9954483000000,8978682000000,7058219000000,6606712000000,7549556000000,6788919000000,9206158000000
22,유동부채,매입채무,2618261000000,3087461000000,2875090000000,2877326000000,2764694000000,3391635000000,2999522000000,4147036000000
23,유동부채,금융부채,1977084000000,1553907000000,1452926000000,667909000000,1416112000000,967909000000,907942000000,1015272000000
24,유동부채,미지급금,4397121000000,3566629000000,3169937000000,2449517000000,1499722000000,1508158000000,1454339000000,2811161000000
25,유동부채,미지급비용,675270000000,633346000000,812615000000,639629000000,633113000000,740492000000,491236000000,412055000000
26,유동부채,미지급법인세,120034000000,105900000000,321978000000,257082000000,91726000000,227714000000,46777000000,56521000000
27,유동부채,충당부채,189525000000,98254000000,76016000000,55972000000,109897000000,193884000000,200731000000,250984000000
28,유동부채,선수금,925662000000,834010000000,194129000000,61818000000,51127000000,488379000000,656775000000,485468000000
29,유동부채,기타유동부채,82019000000,74976000000,75991000000,48966000000,40321000000,31385000000,31597000000,27661000000
30,비유동부채,비유동부채,12101306000000,8334981000000,5199495000000,4363729000000,3265492000000,3634057000000,4128945000000,5009173000000
31,비유동부채,비유동금융부채,11612910000000,7030628000000,4150192000000,4111333000000,2808204000000,3279477000000,2994837000000,3440585000000
32,비유동부채,비유동충당부채,67118000000,32764000000,28312000000,8155000000,11817000000,8014000000,5005000000,6515000000
33,비유동부채,순확정급여부채,1338000000,45360000000,95447000000,142987000000,353798000000,324180000000,319087000000,180640000000
34,비유동부채,장기선수금,320582000000,1114316000000,830335000000,,,,427397000000,1049678000000
35,비유동부채,이연법인세부채,11210000000,15087000000,24646000000,32108000000,34663000000,245000000,119000000,
36,비유동부채,기타비유동부채,88148000000,96826000000,70563000000,69146000000,57010000000,22141000000,382500000000,331755000000
37,부채총계,부채총계,23086282000000,18289464000000,14178177000000,11421948000000,9872204000000,11183613000000,10917864000000,14215331000000
38,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,11340483000000,13979189000000,14373483000000,12955997000000,12192952000000,11431412000000,10611173000000,10209811000000
39,지배기업의 소유주에게 귀속되는 자본,자본금,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000
40,지배기업의 소유주에게 귀속되는 자본,자본잉여금,2251113000000,2251113000000,2251113000000,2251113000000,2251113000000,2251113000000,2251113000000,2251113000000
41,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),7503312000000,10239965000000,10621571000000,9004283000000,8158526000000,7455063000000,6662655000000,6238989000000
42,지배기업의 소유주에게 귀속되는 자본,기타자본,-203021000000,-300968000000,-288280000000,-88478000000,-5766000000,-63843000000,-91674000000,-69370000000
43,비지배지분,비지배지분,1147798000000,907057000000,608027000000,506391000000,512004000000,351998000000,186247000000,30369000000
44,자본총계,자본총계,12488281000000,14886246000000,14981510000000,13462388000000,12704956000000,11783410000000,10797420000000,10240180000000
45,,자본과부채총계,35574563000000,33175710000000,29159687000000,24884336000000,22577160000000,22967023000000,21715284000000,24455511000000
