,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,2706545000000,4484123000000,6764201000000,3640906000000,2726577000000,2864521000000,3584773000000,4569695000000
1,영업활동현금흐름,당기순이익(손실),-2872078000000,-179443000000,1937052000000,931508000000,1023456000000,917404000000,418973000000,236345000000
2,영업활동현금흐름,당기순이익조정을 위한 가감,5796575000000,4232028000000,3882686000000,3821065000000,4361418000000,4379023000000,4817948000000,5292306000000
3,영업활동현금흐름,법인세비용,-472164000000,88077000000,395580000000,384725000000,410526000000,324553000000,411332000000,222180000000
4,영업활동현금흐름,감가상각 및 무형자산상각,3695051000000,3554565000000,3214576000000,,,,,
5,영업활동현금흐름,외화환산이익,103460000000,84643000000,187558000000,-250508000000,-73057000000,-63626000000,-76111000000,-234912000000
6,영업활동현금흐름,외화환산손실,171966000000,138452000000,174919000000,161897000000,80084000000,89453000000,55870000000,73391000000
7,영업활동현금흐름,퇴직급여,162997000000,179880000000,198241000000,220962000000,199033000000,196756000000,159453000000,138879000000
8,영업활동현금흐름,유형자산처분이익,35788000000,6620000000,101227000000,-14637000000,-18179000000,-8989000000,-9620000000,-5925000000
9,영업활동현금흐름,유형자산처분손실,40897000000,15048000000,20030000000,7466000000,4037000000,2173000000,1639000000,3728000000
10,영업활동현금흐름,유형자산손상차손,1550430000000,43601000000,0,1610000000,3027000000,8097000000,853000000,
11,영업활동현금흐름,무형자산처분이익,552000000,239000000,308000000,,,,,
12,영업활동현금흐름,무형자산처분손실,139000000,0,30000000,75000000,29000000,672000000,452000000,704000000
13,영업활동현금흐름,무형자산손상차손,249450000000,82000000,1809000000,138000000,239000000,492000000,1661000000,40012000000
14,영업활동현금흐름,무형자산손상차손환입,960000000,348000000,35000000,,-80000000,,-296000000,
15,영업활동현금흐름,기타자산손상차손,3602000000,0,0,,,,,
16,영업활동현금흐름,매각예정비유동자산처분이익,8353000000,0,0,,,,,
17,영업활동현금흐름,충당부채전입액,419720000000,234928000000,251131000000,166691000000,,,,
18,영업활동현금흐름,금융수익,186707000000,101313000000,202591000000,-58748000000,-81572000000,-55655000000,-52862000000,-133711000000
19,영업활동현금흐름,금융비용,338419000000,173975000000,142591000000,187931000000,222699000000,148129000000,163183000000,209104000000
20,영업활동현금흐름,지분법손실(이익),-12147000000,-700000000,-9560000000,-8339000000,-18765000000,-17963000000,-23665000000,-42779000000
21,영업활동현금흐름,기타수익,20416000000,3310000000,16812000000,-15546000000,-12454000000,-14508000000,-412000000,-8232000000
22,영업활동현금흐름,기타비용,4451000000,593000000,1870000000,15777000000,269995000000,277128000000,351953000000,560458000000
23,영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,404020000000,1058287000000,1442400000000,-847232000000,-2166185000000,-2193468000000,-1356158000000,-721333000000
24,영업활동현금흐름,매출채권의 감소(증가),-1007373000000,1304963000000,484592000000,-553775000000,-1060718000000,-921433000000,-251752000000,-1456943000000
25,영업활동현금흐름,기타채권의 감소(증가),-49443000000,-56870000000,-3004000000,62981000000,38411000000,-14195000000,133734000000,15515000000
26,영업활동현금흐름,재고자산의 감소(증가),632359000000,-449901000000,-55979000000,105688000000,404862000000,-823497000000,456766000000,-72637000000
27,영업활동현금흐름,리스채권의 감소(증가),6617000000,0,0,,,,,
28,영업활동현금흐름,기타유동자산의 감소(증가),-288770000000,-249968000000,180844000000,126616000000,87130000000,-219599000000,89456000000,-46216000000
29,영업활동현금흐름,기타비유동자산의 감소(증가),-38608000000,-61164000000,-119002000000,-126256000000,-78859000000,-93987000000,-120054000000,-47872000000
30,영업활동현금흐름,매입채무의 증가(감소),-394564000000,267358000000,113590000000,-114977000000,-670565000000,390046000000,-1110098000000,440883000000
31,영업활동현금흐름,미지급금의 증가(감소),2035750000000,-111053000000,106930000000,66930000000,-459730000000,-229679000000,-289441000000,-292443000000
32,영업활동현금흐름,미지급비용의 증가(감소),11787000000,-194394000000,181509000000,-16431000000,-66071000000,245373000000,68162000000,158698000000
33,영업활동현금흐름,충당부채의 증가(감소),-294096000000,-217984000000,-210973000000,-160462000000,-143228000000,-187021000000,-315266000000,-390974000000
34,영업활동현금흐름,기타유동부채의 증가(감소),-214675000000,78849000000,-585000000,17272000000,14015000000,-18242000000,-7846000000,359132000000
35,영업활동현금흐름,순확정급여부채의 변동,-65681000000,-224335000000,-261966000000,-276459000000,-279672000000,-339482000000,-19627000000,-180599000000
36,영업활동현금흐름,장기선수금의 증가(감소),63672000000,948276000000,1020470000000,,,,,789670000000
37,영업활동현금흐름,기타비유동부채의 증가(감소),7045000000,24510000000,5974000000,21641000000,48240000000,18248000000,9808000000,2453000000
38,영업활동현금흐름,법인세납부(환급),252812000000,486549000000,416794000000,,,,,
39,영업활동현금흐름,이자수취(영업),47276000000,71819000000,55340000000,48911000000,58860000000,39452000000,36686000000,33302000000
40,영업활동현금흐름,이자지급(영업),416436000000,212019000000,136483000000,,,,,
41,투자활동현금흐름,투자활동현금흐름,-6755393000000,-7675339000000,-6481072000000,-3189182000000,-2731929000000,-3451279000000,-4504321000000,-3688185000000
42,투자활동현금흐름,배당금수취,7502000000,5272000000,8639000000,59820000000,25577000000,1340000000,14582000000,686000000
43,투자활동현금흐름,금융기관예치금의 증가,114557000000,775239000000,1803718000000,-2684810000000,-2544114000000,-1884533000000,-2644204000000,-413512000000
44,투자활동현금흐름,금융기관예치금의 감소,114200000000,1454561000000,2206148000000,3293398000000,2306672000000,1651176000000,1657082000000,913500000000
45,투자활동현금흐름,당기손익-공정가치 측정 금융자산의 취득,708000000,431000000,0,,,,,
46,투자활동현금흐름,당기손익-공정가치 측정 금융자산의 처분,452000000,0,0,,,,,
47,투자활동현금흐름,기타포괄손익-공정가치 측정 금융자산의 취득,-21000000,0,0,,,,,
48,투자활동현금흐름,기타포괄손익-공정가치 측정 금융자산의 처분,107000000,6000000,0,,,,,
49,투자활동현금흐름,매도가능금융자산의 취득,0,0,273000000,-859000000,-4550000000,,,
50,투자활동현금흐름,매도가능금융자산의 처분,0,0,917000000,507000000,2263000000,82000000,,
51,투자활동현금흐름,지분법적용 투자지분의 취득,0,14732000000,20309000000,,,,,
