,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,2484044501643,2558402868072,2554249851745,2671936983654,3074134952737,2830186504129,2799016678572,2935562556930
1,유동자산,현금및현금성자산,423581791797,342013992404,395210646602,311172521345,528923854452,479922899438,384819518515,534260400624
2,유동자산,단기금융상품,10552836690,14162013217,20649035434,93525398830,72549551108,84367955997,211977646252,238929911545
3,유동자산,매출채권,994064187873,1067921473575,1276107711725,1387256152892,1431685361297,1053119362740,1180858351512,1317036802636
4,유동자산,미수금,289084340310,384168984053,53423686594,56346050294,121266218394,43815619073,208982831571,71429715992
5,유동자산,미수수익,10199217924,9457973679,17602014595,16803308819,13524302828,17894061154,18796347440,25495077291
6,유동자산,선급금,46913377393,103599886677,79136393277,170018823595,62579319549,57307394778,58954795096,36513370532
7,유동자산,선급비용,63052373224,68453367396,60611190788,72423070931,71528686878,12698666195,17525214913,13796765146
8,유동자산,기타유동자산,76215196494,53407666364,52318169515,39632943283,42307410918,25721964377,19944795693,15823644056
9,유동자산,재고자산,519298712032,514101141007,598074633515,517303438401,724259538485,1047286099443,689356723845,672054722040
10,유동자산,매각예정비유동자산,51082467906,1116369700,1116369700,7295099164,,1634364417,,
11,비유동자산,비유동자산,2391937802442,2479669592792,2413351704670,2505329529286,2309332341301,2066641339522,2077985902981,2021959353439
12,비유동자산,투자자산,217458042429,218213725783,219833447315,232452063453,246559132453,303017010991,261386499593,233200962665
13,비유동자산,관계기업투자,316607000893,368192699304,400518487057,431823604169,418705558956,621219935260,664669144738,617917624603
14,비유동자산,유형자산,764608220991,669022391781,552520113266,551670385318,387559747370,96305490746,88852964297,133036928796
15,비유동자산,투자부동산,5981907360,30157578479,31823895884,33257613805,31829801714,30231585430,35941949087,38153230528
16,비유동자산,무형자산,726860446499,876122801297,881782263785,945267213238,990052288965,805003455572,868600589383,928345194562
17,비유동자산,이연법인세자산,153816283240,137997149813,209171474133,228607024072,203422898750,153419491813,110263456445,16927162461
18,비유동자산,기타비유동자산,206605901030,179963246335,117702023230,82251625231,31202913093,6717971377,4145623200,10945122459
19,자산총계,자산총계,4875982304085,5038072460864,4967601556415,5177266512940,5383467294038,4896827843651,4877002581553,4957521910369
20,유동부채,유동부채,2126279483022,2167354736562,2130330307465,2098319718896,2589073721225,2352147331961,2245307686932,2423238518788
21,유동부채,단기차입금,136375156003,63317560005,130691652711,197215299655,423499773878,462529408725,676520928772,640303857472
22,유동부채,매입채무,1103969979358,1184019999147,1416001222234,1383402981331,1549647989890,1475614566274,1238980735281,1347587400244
23,유동부채,미지급금,295439182816,389071758434,161151458919,144515461375,168739328132,90267809946,108254362681,199437640918
24,유동부채,선수금,47151642694,65890848087,47157998278,125454304881,9860962619,21302606012,10701533116,38519003650
25,유동부채,예수금,29986902722,34252534209,34949245779,36463428751,32679608120,14961546170,15134297691,16754921041
26,유동부채,당기법인세부채,28146404705,30145693432,27521649747,38355504531,53207764021,10520998200,10274444980,39887104127
27,유동부채,미지급비용,110925950752,92515509752,91732875201,63370444328,37677831957,13909696609,22007995556,26576331494
28,유동부채,유동성장기부채,222880167406,243581947033,164767251106,34138650416,222418529927,232459926341,146987849800,103076328389
29,유동부채,선수수익,56229514668,56004014606,48391143639,59250305506,60450787424,5336812,29016512,10390875
30,유동부채,예수보증금,5090375765,8554871857,7965809851,8159574777,7796378133,9845723264,3795258169,3697002699
31,유동부채,리스부채,59148489387,,,,,,,
32,유동부채,매각예정자산관련부채,30935716746,,,,,,,
33,비유동부채,비유동부채,1201086771228,1321180091742,1251810813437,1433588696393,1251078950316,979449229034,1018197784438,918670328117
34,비유동부채,사채,319544373061,389222416113,329309563570,428931964226,309113804017,39875466702,129606539164,89638778084
35,비유동부채,장기차입금,635988729575,734528629860,781813888681,867726820718,802675154459,822253288083,777188926093,724413119531
36,비유동부채,퇴직급여부채,22445534426,26416807433,15596064594,18502135825,25843165159,13242414684,11892076150,5106200631
