,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,2163074840988,1691202854302,1513604950809,1424609790941,1331132646966,1214261404880,981074808589,791867399310
1,유동자산,현금및현금성자산,647104059171,396643798594,386194252722,338852484632,396937751044,338067115462,143045276376,65204261509
2,유동자산,단기금융상품,72263450599,16900000000,16900000000,26900000000,30900000000,18400000000,12500000000,12000000000
3,유동자산,기타채권,645650629829,581868123660,539518997892,492904237268,16421946334,18657498197,13012752557,16099078398
4,유동자산,매출채권,611044864691,556088266669,522800476778,469645558997,419714948166,408255827243,410539863452,370286363176
5,유동자산,기타채권,34605765138,25779856991,16718521114,492904237268,16421946334,18657498197,13012752557,16099078398
6,유동자산,재고자산,746323199447,614747846838,546905773461,535885784084,441258251357,411298662429,375625064935,316733426164
7,유동자산,기타유동금융자산,1089659831,23590117,296213319,,,,,
8,유동자산,기타유동자산,50643842111,81019495093,23789713415,30067284957,25899750065,19582301549,19602717052,11544270063
9,비유동자산,비유동자산,4330594821983,3584671429863,3264915009903,3077552691035,2883504316625,2614086591785,2454029029576,1972268138879
10,비유동자산,장기금융상품,24000000,24000000,25500000,26000000,1027000000,1029500000,1027000000,27000000
11,비유동자산,장기기타채권,80180225757,78324507595,87532565766,91008397320,87237940067,83045298419,71029539555,55296446789
12,비유동자산,비유동매도가능금융자산,,,46608535394,5790441137,5153295428,1385017000,1634593000,1415679200
13,비유동자산,관계기업및공동기업투자,56559112536,52392994727,55515333646,57897529566,48124837259,50320959739,45433701842,
14,비유동자산,이연법인세자산,37441744173,21123266919,17304914670,6569911644,39258936341,2892472814,780008063,897921846
15,비유동자산,유형자산,2036044655189,1813288570135,1616594289066,1463778199075,1290065094797,1102367326812,1022141858469,1007101429175
16,비유동자산,사용권자산,273157209374,,0,,,,,
17,비유동자산,투자부동산,42239252222,45184246888,27067083719,28481302739,29643275324,23276842825,23604905967,24125090432
18,비유동자산,무형자산,1787313564367,1544973448428,1392798590496,1419910900600,1380267233937,1346120886537,1285891177357,484682014749
19,비유동자산,기타비유동금융자산,9467262843,10397354014,9114106287,,,,,
20,비유동자산,기타비유동자산,8167795522,18963041157,12354090859,4090008954,2726703472,3648287639,2486245323,7934272625
21,자산총계,자산총계,6493669662971,5275874284165,4778519960712,4502162481976,4214636963591,3828347996665,3435103838165,2764135538189
22,유동부채,유동부채,1771203779670,1358883491897,1245441234713,1146889563421,1159458140741,1035674374284,981691552756,939863395031
23,유동부채,매입채무 및 기타유동채무,1034527055707,848560014566,805773209876,724979846938,,,,
24,유동부채,단기매입채무,290674359917,215581212474,231497350444,228558374282,,,,
25,유동부채,기타채무,352651064454,258640013188,238250201636,219155796533,,212961859555,185740648906,185230332646
26,유동부채,단기차입금,287644127872,210810384650,71040535459,92337291262,82692843439,129639865482,317727633775,115772862528
27,유동부채,유동성장기차입금,3566080000,13566080000,5000000000,5000000000,,87887012395,,
