,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,7685424230297,6747536801608,6105137370794,6094059406134,5328492268366,4677009785453,4326255199314,3896218097986
1,매출원가,매출원가,2917246274571,2696414092278,2609677025273,2434038196159,2226175065424,-2101828377665,-2031822797289,-1903208876579
2,매출총이익,매출총이익,4768177955726,4051122709330,3495460345521,3660021209975,3102317202942,2575181407788,2294432402025,1993009221407
3,판매비와관리비,판매비와관리비,3591766708822,3011872573693,2565437072689,2779084592453,2418222038591,-2064141565584,-1798020716404,-1547478109152
4,영업이익(손실),영업이익(손실),1176411246904,1039250135637,930023272832,880936617522,684095164351,511039842204,496411685621,445531112255
5,금융수익,금융수익,17086461393,6486158742,4285799110,4115635138,7606073048,9485380486,15223314378,17348165012
6,금융원가,금융원가,17773035035,12707249161,15427075952,20167665700,35679975295,-37541262386,-37388513709,-34811514390
7,기타영업외수익,기타영업외수익,32917076235,24006227891,19167483077,20590794734,48510020627,21113868248,19693438486,19259932034
8,기타영업외비용,기타영업외비용,123480423267,99710960281,78269404541,139990198120,-66080620696,-29353619229,-24062938812,-22000651113
9,지분법손익,지분법손익,6919863873,-1319193795,1298502931,7250466854,6325853489,5467436710,3579310313,4962766735
10,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),1092081190103,956005119033,861078577457,752735650428,644776515524,480211646033,473456296277,430289810533
11,법인세비용,법인세비용,303908097869,263726412686,242770350747,173495828366,174414470074,-125646939157,-107803755613,-118302030801
12,당기순이익(손실),당기순이익(손실),788173092234,692278706347,618308226710,579239822062,470362045450,354564706876,365652540664,311987779732
13,당기순이익(손실)의 귀속 [abstract],지배기업소유주지분,778097707167,682743154211,606411780635,568220985690,460351207083,349432056746,357304477529,303935573442
14,당기순이익(손실)의 귀속 [abstract],비지배지분,10075385067,9535552136,11896446075,11018836372,10010838367,5132650130,8348063135,8052206290
15,지배기업소유주지분 귀속 주당이익,기본 및 희석 보통주당이익,46431,40740,36184,33905,27467,20842,21311,18126
16,지배기업소유주지분 귀속 주당이익,기본 및 희석 우선주당이익,46481,40790,36234,33955,27517,20942,,
