,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,4805494000000,4247244000000,3072986000000,2619551000000,2599157000000,2489853000000,2697110000000,2572894000000
1,유동자산,현금및현금성자산,474365000000,378631000000,449879000000,317283000000,292147000000,415938000000,398335000000,341367000000
2,유동자산,금융기관예치금,21765000000,21270000000,31265000000,21162000000,21158000000,28652000000,35281000000,24254000000
3,유동자산,매출채권및기타유동채권,2001855000000,1927840000000,2128431000000,,,,,
4,유동자산,매출채권,1765630000000,1711963000000,1938216000000,1566983000000,1514353000000,1441077000000,1564234000000,1570783000000
5,유동자산,기타채권,236225000000,215877000000,190215000000,321850000000,215805000000,205627000000,175373000000,177782000000
6,유동자산,재고자산,436724000000,455134000000,334521000000,261619000000,364837000000,276025000000,394530000000,346427000000
7,유동자산,당기법인세자산,619000000,598000000,146000000,190000000,381000000,262000000,,
8,유동자산,유동파생상품자산,1119000000,,,,,,,
9,유동자산,기타의유동자산,1661864000000,1463771000000,128744000000,130464000000,190476000000,122272000000,129357000000,112280000000
10,유동자산,매각예정자산,207183000000,,,,,,,
11,비유동자산,비유동자산,13135556000000,9692704000000,8862467000000,9369566000000,9351841000000,9522807000000,9077937000000,8515803000000
12,비유동자산,기타비유동금융자산,40732000000,33083000000,30968000000,,,,,
13,비유동자산,비유동금융기관예치금,61000000,21000000,21000000,21000000,21000000,21000000,21000000,23000000
14,비유동자산,비유동매도가능금융자산,40671000000,33062000000,30947000000,32687000000,36548000000,74065000000,81368000000,84606000000
15,비유동자산,장기매출채권및기타비유동채권,1143821000000,754896000000,839813000000,,,,,
16,비유동자산,비유동매출채권,888130000000,490061000000,550948000000,462652000000,376554000000,285263000000,502126000000,609955000000
17,비유동자산,비유동기타채권,255691000000,264835000000,288865000000,299114000000,283930000000,274929000000,276309000000,256561000000
18,비유동자산,관계기업및공동기업투자,50680000000,41214000000,37940000000,7840000000,7308000000,8834000000,13190000000,12629000000
19,비유동자산,이연법인세자산,38000000,41000000,403213000000,361136000000,380489000000,390091000000,426447000000,452820000000
20,비유동자산,유형자산,8861052000000,6465781000000,6526974000000,6949576000000,7223847000000,7254405000000,6392715000000,6078775000000
