,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,2530944169760,2233328060591,2734483836421,2084430551179,1788890417386,2082013467470,2006841234761,2073033167907
1,유동자산,현금및현금성자산,799575276871,621247370687,369533001331,341278115664,360286222060,396451113666,399610203012,352807799625
2,유동자산,금융기관예치금,405000000,,,30528000000,30528000000,30028000000,17028000000,17860000000
3,유동자산,매출채권,1109236522215,913099395252,1637677144578,1272824325669,1057146168084,1244769934525,1135876089988,1122106417401
4,유동자산,기타수취채권,28383746967,17241977714,11671536166,19887120536,28284243303,19709164164,31437355397,28491237682
5,유동자산,기타금융자산,10000,116960000,,,,,,
6,유동자산,재고자산,488148655157,520248469322,641328902388,403226308042,303057518196,353614911270,376143274802,477943382554
7,유동자산,당기법인세자산,1252303769,296337300,1717695800,6531712329,5142464278,5051515073,1297924601,2146741717
8,유동자산,기타자산,103942654781,45866027211,57190019932,40682968939,32452591465,62393088772,61613156961,87160168928
9,유동자산,매각예정자산,,115211523105,15365536226,,,,,
10,비유동자산,비유동자산,3239836339812,3522739180356,3143005150131,2239288506715,2125447255834,2346747569268,2574429513901,2813252236542
11,비유동자산,금융기관예치금,30522000000,30523400000,30528000000,30528000000,30528000000,30028000000,832000000,17860000000
12,비유동자산,기타수취채권,4868728182,5160172158,9196076650,9005001717,10943814814,12599741825,14773962280,15873976406
13,비유동자산,기타금융자산,3045864141,3221842090,2412346552,,,,,
14,비유동자산,유형자산,2707627521835,2927265198001,2599645895606,1729369263460,1647287353962,1897603590189,2104905157209,2374701867147
15,비유동자산,무형자산,276821475465,309377999660,269489366342,227138371016,207010628829,181011176176,167809847718,144861672298
16,비유동자산,이연법인세자산,152045597844,156551017878,147111251094,160971158983,156202341471,151981690217,196847864774,186660396999
17,비유동자산,기타자산,64905152345,90639550569,84622213887,79866842864,71492065178,69725405001,69224321705,69379430972
18,자산총계,자산총계,5770780509572,5756067240947,5877488986552,4323719057894,3914337673220,4428761036738,4581270748662,4886285404449
19,유동부채,유동부채,2046234453957,1584398430099,2497247026303,1733744758834,1295457183577,1646619319771,1629363723593,2009224805246
20,유동부채,매입채무,718064271723,603287556800,1110869862044,805445536684,502432068177,652567675122,564150574274,740243759123
21,유동부채,차입금,541666958717,331020842646,240699444768,395181411540,366041364132,494928301575,632939552452,670049637467
22,유동부채,기타지급채무,365502945200,390333741804,885567410392,420436232283,304580472595,345939997364,288567838689,419254379600
23,유동부채,리스부채,7647519052,,,,,,,
24,유동부채,당기법인세부채,38836375465,20957877805,50554812513,5157999633,6048328777,3137372761,5787364423,8739168177
25,유동부채,충당부채,49008016033,28008713114,26683888485,17780051173,13300199479,16447199889,11326972348,5191071008
26,유동부채,기타부채,325508367767,210789697930,182871608101,89743527521,103054750417,133598773060,126591421407,165746789871
27,비유동부채,비유동부채,1519941798105,2053433611931,1429459282696,811498281618,853825495734,1085651642922,1635007178568,1608753853040
28,비유동부채,차입금,1376644181806,1795728540965,1261923776783,686111410679,698298580682,965350816278,1527346056843,1497683077216
29,비유동부채,순확정급여부채,22084890195,20914546851,57697038791,112371888689,142373276570,112502136023,96279837578,100778445779
30,비유동부채,기타금융부채,69749780,,,,,,,
31,비유동부채,리스부채,3465541309,,,,,,,
32,비유동부채,충당부채,,878500000,878500000,17780051173,13300199479,16447199889,11326972348,5191071008
33,비유동부채,기타부채,117677435015,235912024115,108959967122,13014982250,12320817482,133598773060,126591421407,165746789871
34,부채총계,부채총계,3566176252062,3637832042030,3926706308999,2545243040452,2149282679311,2732270962693,3264370902161,3617978658286
35,지배기업의 소유주지분,지배기업의 소유주지분,2204604053427,2118232993153,1950780502260,1778473842149,1765052818616,1696487898752,1316897671208,1268253348063
36,지배기업의 소유주지분,자본금,118335535000,118335535000,118335535000,118335535000,118335535000,118335535000,100854695000,100853770000
37,지배기업의 소유주지분,이익잉여금,989261821617,906718576715,741353040522,542478452882,522045087733,451068107516,355680095715,329749504259
38,지배기업의 소유주지분,기타포괄손익누계액,-36318541501,-40146356873,-42233311573,-15665384044,-8653042428,-6240982075,-11497687282,-11450362678
39,지배기업의 소유주지분,기타자본,1133325238311,1133325238311,1133325238311,1133325238311,1133325238311,1133325238311,871860567775,849100436482
40,비지배지분,비지배지분,204083,2205764,2175293,2175293,2175293,2175293,2175293,53398100
41,자본총계,자본총계,2204604257510,2118235198917,1950782677553,1778476017442,1765054993909,1696490074045,1316899846501,1268306746163
42,,자본과부채총계,5770780509572,5756067240947,5877488986552,4323719057894,3914337673220,4428761036738,4581270748662,4886285404449
