,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익,당기순이익,102300470956,163100029199,174778425636,4952969520,95091926212,112676677108,15541926763,-24942625303
1,세후기타포괄손익,세후기타포괄손익,-8832060263,10268618915,3444361225,16750631463,-20610879598,-12031960100,10342108536,-32672194798
2,세후기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,,,,,,,
3,세후기타포괄손익,순확정급여부채의 재측정요소,-12659875635,7728919108,30012288754,23762973079,-18198819245,-17288665307,10389433140,-17569159141
4,세후기타포괄손익,기타포괄손익-공정가치 금융자산의 평가,-75588099,41407068,,,,,,
5,세후기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,,,,,,,,
6,세후기타포괄손익,해외사업장환산외환차이,10704378904,2498292739,-26567916864,-7012064325,-2412444294,5255459173,-47095305,-15103426631
7,세후기타포괄손익,현금흐름위험회피,-6800975433,,,,,,,
8,세후기타포괄손익,매도가능금융자산평가,,,-10665,-277291,383941,1246034,-229299,390974
9,세후총포괄이익,세후총포괄이익,93468410693,173368648114,178222786861,21703600983,74481046614,100644717008,25884035299,-57614820101
10,세후총포괄이익의 귀속,지배기업의 소유주지분,93470412374,173368617643,178222786861,21703600983,74481046614,100644717008,25883266852,-57613996200
11,세후총포괄이익의 귀속,비지배지분,-2001681,30471,,,,,768447,-823901
