,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,19753485000000,19362854000000,19194969000000,16990563000000,16397613000000,17482698000000,16325058000000,16308435000000
1,유동자산,현금및현금성자산,4777368000000,4270388000000,3350597000000,3015137000000,2710156000000,2244406000000,2645270000000,2185000000000
2,유동자산,금융기관예치금,65971000000,80516000000,80515000000,80559000000,87454000000,67700000000,67896000000,54000000000
3,유동자산,매출채권,6360288000000,6371594000000,8178213000000,7059889000000,7093352000000,7683915000000,7117402000000,7332761000000
4,유동자산,기타수취채권,639150000000,506437000000,467427000000,545766000000,654141000000,633219000000,596505000000,498615000000
5,유동자산,기타금융자산,5138000000,8401000000,3534000000,30650000000,20674000000,11193000000,17430000000,56486000000
6,유동자산,재고자산,5863418000000,6021356000000,5908437000000,5171015000000,4872676000000,5711273000000,4838830000000,5074500000000
7,유동자산,당기법인세자산,148340000000,151778000000,134159000000,147221000000,161314000000,246878000000,116254000000,225659000000
8,유동자산,계약자산,671519000000,763776000000,0,,,,,
9,유동자산,기타자산,1207547000000,1073396000000,1050651000000,931420000000,794227000000,884114000000,925471000000,864477000000
10,유동자산,매각예정분류자산,14746000000,115212000000,21436000000,8906000000,3619000000,,,
11,비유동자산,비유동자산,25106390000000,24965589000000,22025990000000,20864706000000,19916283000000,19585722000000,19203006000000,18457615000000
12,비유동자산,금융기관예치금,39368000000,45853000000,52775000000,58195000000,69970000000,94323000000,96992000000,121036000000
13,비유동자산,기타수취채권,437957000000,452366000000,470216000000,490178000000,506788000000,548564000000,601978000000,603233000000
14,비유동자산,기타금융자산,96503000000,78072000000,52981000000,66147000000,84810000000,56775000000,55714000000,67001000000
15,비유동자산,유형자산,14505419000000,13333951000000,11800782000000,11222428000000,10460298000000,10596853000000,10341993000000,9889204000000
16,비유동자산,무형자산,2691972000000,3001155000000,1854620000000,1571087000000,1473280000000,1394336000000,1363690000000,1222302000000
17,비유동자산,이연법인세자산,1668430000000,1410793000000,1365367000000,1554594000000,1637796000000,1573395000000,1619551000000,1511462000000
18,비유동자산,관계기업 및 공동기업 투자,4544521000000,5537556000000,5620331000000,5104558000000,4841861000000,4594461000000,4329583000000,4182878000000
19,비유동자산,투자부동산,291000000,94396000000,95712000000,97031000000,121271000000,2699000000,4923000000,10261000000
20,비유동자산,순확정급여자산,8000000,942000000,684000000,730000000,,,,
21,비유동자산,계약자산,205976000000,221008000000,0,,,,,
22,비유동자산,기타자산,915945000000,789497000000,712522000000,699758000000,720209000000,724316000000,788582000000,850238000000
23,자산총계,자산총계,44859875000000,44328443000000,41220959000000,37855269000000,36313896000000,37068420000000,35528064000000,34766050000000
24,유동부채,유동부채,17657916000000,17135029000000,17536470000000,15744364000000,14772763000000,15680577000000,15014004000000,14514292000000
25,유동부채,매입채무,6820644000000,7216739000000,8137526000000,6746361000000,6086975000000,6741710000000,5691114000000,5626571000000
26,유동부채,차입금,1643656000000,1405116000000,1360756000000,1650511000000,2326128000000,2575550000000,3022723000000,2715041000000
27,유동부채,리스부채,274245000000,0,0,,,,,
28,유동부채,기타지급채무,3318784000000,3670453000000,3522839000000,3196735000000,2840217000000,3020870000000,2829686000000,2704522000000
29,유동부채,기타금융부채,7175000000,3343000000,2280000000,21115000000,13823000000,6528000000,10890000000,321000000
30,유동부채,당기법인세부채,172756000000,185687000000,100353000000,74263000000,76575000000,95963000000,74131000000,114728000000
31,유동부채,충당부채,824479000000,672544000000,649555000000,770967000000,575944000000,714307000000,663701000000,644282000000
32,유동부채,계약부채,1219507000000,1119806000000,0,,,,,
33,유동부채,기타부채,3376670000000,2861341000000,3763161000000,3284412000000,2853101000000,2525649000000,2721759000000,2707033000000
34,비유동부채,비유동부채,10776821000000,10886507000000,9010805000000,8754163000000,8557646000000,8396746000000,7824691000000,7546011000000
35,비유동부채,차입금,8843682000000,9496070000000,8089724000000,7008500000000,6501122000000,6426881000000,6188306000000,5923346000000
36,비유동부채,리스부채,497179000000,0,0,,,,,
37,비유동부채,기타지급채무,1202000000,17995000000,6490000000,7771000000,13518000000,3020870000000,2829686000000,2704522000000
38,비유동부채,기타금융부채,107973000000,89267000000,68610000000,73226000000,69926000000,62574000000,10663000000,16621000000
39,비유동부채,이연법인세부채,128407000000,127014000000,8759000000,9586000000,5800000000,6012000000,7651000000,10568000000
40,비유동부채,순확정급여부채,592937000000,398611000000,326699000000,511252000000,787610000000,798450000000,580919000000,630138000000
41,비유동부채,충당부채,258521000000,343811000000,298121000000,1028298000000,1074346000000,1001397000000,663701000000,644282000000
42,비유동부채,계약부채,27908000000,23787000000,0,,,,,
43,비유동부채,기타부채,319012000000,389952000000,212402000000,115530000000,105324000000,87112000000,2721759000000,2707033000000
44,부채총계,부채총계,28434737000000,28021536000000,26547275000000,24498527000000,23330409000000,24077323000000,22838695000000,22060303000000
45,지배기업의 소유주자본,지배기업의 소유주자본,14330085000000,14253268000000,13224261000000,11987094000000,11626572000000,11719423000000,11739202000000,11799089000000
46,지배기업의 소유주자본,자본금,904169000000,904169000000,904169000000,904169000000,904169000000,904169000000,904169000000,904169000000
47,지배기업의 소유주자본,주식발행초과금,3088179000000,3088179000000,3088179000000,3088179000000,3088179000000,3088179000000,3088179000000,3088179000000
48,지배기업의 소유주자본,이익잉여금,11857302000000,12075414000000,10964155000000,9233416000000,9016546000000,9081044000000,8885523000000,8723950000000
49,지배기업의 소유주자본,기타포괄손익누계액,-1309801000000,-1604730000000,-1522478000000,-1028962000000,-1171979000000,-1143557000000,-907440000000,-675098000000
50,지배기업의 소유주자본,기타자본구성요소,-209764000000,-209764000000,-209764000000,-209708000000,-210343000000,-210412000000,-231229000000,-242111000000
51,비지배지분,비지배지분,2095053000000,2053639000000,1449423000000,1369648000000,1356915000000,1271674000000,950167000000,906658000000
52,자본총계,자본총계,16425138000000,16306907000000,14673684000000,13356742000000,12983487000000,12991097000000,12689369000000,12705747000000
53,,부채와 자본 총계,44859875000000,44328443000000,41220959000000,37855269000000,36313896000000,37068420000000,35528064000000,34766050000000
