,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익(손실),당기순이익(손실),179948000000,1472814000000,1869518000000,126315000000,249143000000,501357000000,222704000000,102802000000
1,법인세비용차감후기타포괄이익(손실),법인세비용차감후기타포괄이익(손실),197452000000,-140567000000,-435822000000,358184000000,-148307000000,-404574000000,-203309000000,-504483000000
2,법인세비용차감후기타포괄이익(손실),후속적으로 당기손익으로 재분류되지 않는 항목 :,,,,,,,,
3,법인세비용차감후기타포괄이익(손실),순확정급여부채의 재측정요소,-145578000000,-73882000000,96514000000,182022000000,-95354000000,-134275000000,26482000000,-111003000000
4,법인세비용차감후기타포괄이익(손실),관계기업의 재측정요소에 대한 지분,32457000000,1945000000,-1020000000,44871000000,-31388000000,-43058000000,618000000,-22641000000
5,법인세비용차감후기타포괄이익(손실),기타포괄손익-공정가치 측정 금융자산,8633000000,-618000000,0,,,,,
6,법인세비용차감후기타포괄이익(손실),후속적으로 당기손익으로 재분류될 수 있는 항목 :,,,,,,,,
7,법인세비용차감후기타포괄이익(손실),관계기업 및 공동기업의 기타포괄손익(재측정요소 제외)에 대한 지분,39014000000,-8574000000,-98852000000,-40011000000,22235000000,13189000000,-25310000000,-43558000000
8,법인세비용차감후기타포괄이익(손실),현금흐름위험회피,-33418000000,-35551000000,29462000000,-2946000000,-19848000000,-38111000000,5773000000,4184000000
9,법인세비용차감후기타포괄이익(손실),매도가능금융자산,0,0,-1180000000,-377000000,2426000000,-2851000000,5846000000,-601000000
10,법인세비용차감후기타포괄이익(손실),해외사업장환산외환차이,296344000000,-23887000000,-460746000000,174625000000,-26378000000,-199468000000,-216718000000,-330864000000
11,총포괄이익(손실),총포괄이익(손실),377400000000,1332247000000,1433696000000,484499000000,100836000000,96783000000,19395000000,-401681000000
12,총포괄이익의 귀속,지배기업의 소유주지분,221062000000,1098351000000,1310108000000,432772000000,-20035000000,-3724000000,-33897000000,-379676000000
13,총포괄이익의 귀속,비지배지분,156338000000,233896000000,123588000000,51727000000,120871000000,100507000000,53292000000,-22005000000
