,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,62306175000000,61341664000000,61396284000000,55367033000000,56509008000000,59040767000000,56772302000000,55122623000000
1,매출원가,매출원가,46970606000000,46260620000000,46737563000000,41630293000000,43635063000000,45299122000000,43596152000000,42252184000000
2,매출총이익,매출총이익,15335569000000,15081044000000,14658721000000,13736740000000,12873945000000,13741645000000,13176150000000,12870439000000
3,판매비와관리비,판매비와관리비,12899430000000,12377753000000,12190172000000,,,,,
4,판매비와관리비,판매비,7621228000000,7431183000000,7125664000000,6689714000000,6607913000000,6973017000000,6916738000000,6913971000000
5,판매비와관리비,관리비,1361419000000,1341955000000,1345606000000,1347677000000,1409512000000,1314126000000,1331157000000,1295119000000
6,판매비와관리비,연구개발비,2483406000000,2324022000000,2386876000000,2468628000000,2377830000000,2264286000000,2286442000000,2101989000000
7,판매비와관리비,서비스비,1433377000000,1280593000000,1332026000000,1892958000000,1286399000000,1361659000000,1392802000000,1342637000000
8,영업이익,영업이익,2436139000000,2703291000000,2468549000000,1337763000000,1192291000000,1828557000000,1249011000000,1216723000000
9,금융수익,금융수익,426248000000,487370000000,483665000000,490593000000,542586000000,416660000000,408341000000,464507000000
10,금융비용,금융비용,714001000000,796569000000,831114000000,884051000000,903084000000,752456000000,776954000000,854248000000
11,지분법이익(손실),지분법이익(손실),-1052096000000,-77161000000,667475000000,268738000000,359510000000,304419000000,126000000000,86917000000
12,기타영업외수익,기타영업외수익,1375967000000,1251599000000,1346607000000,1894584000000,1881632000000,1378552000000,1161184000000,1373026000000
13,기타영업외비용,기타영업외비용,1943619000000,1559955000000,1577070000000,2385910000000,2479810000000,1957462000000,1578038000000,1738265000000
14,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),528638000000,2008575000000,2558112000000,721717000000,593125000000,1218270000000,589544000000,548660000000
15,법인세비용,법인세비용,348690000000,535761000000,688594000000,595402000000,340154000000,539761000000,358472000000,445858000000
16,당기순이익(손실),당기순이익(손실),179948000000,1472814000000,1869518000000,126315000000,252971000000,678509000000,231072000000,102802000000
17,당기순이익의 귀속,지배기업의 소유주지분,31285000000,1240139000000,1725774000000,76879000000,124394000000,399350000000,176768000000,92382000000
18,당기순이익의 귀속,비지배지분,148663000000,232675000000,143744000000,49436000000,124749000000,102007000000,45936000000,10420000000
19,주당순이익(단위:원),기본주당순이익(손실):,,,,,,,,
20,주당순이익(단위:원),보통주기본주당순이익,169,6882,9579,422000000,686000000,2213000000,977000000,508000000
21,주당순이익(단위:원),우선주기본주당순이익,219,6932,9629,472000000,736000000,2263000000,1027000000,558000000
