,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순손익,당기순손익,11565000000,-53127000000,67855000000,74748000000,71162000000,63589000000,72298000000,28523000000
1,기타포괄손익,기타포괄손익,-3255000000,2309000000,-1623000000,7466000000,-5620000000,1547000000,-5847000000,-19366000000
2,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,,,,,,,
3,기타포괄손익,순확정급여부채의 재측정요소,-2833000000,-1343000000,7545000000,8855000000,-10169000000,-557000000,-5942000000,-11467000000
4,기타포괄손익,공정가치측정 금융자산 평가손익,-91000000,-5000000,0,,,,,
5,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,,,,,,,,
6,기타포괄손익,공동기업의 기타포괄손익에 대한 지분,-2669000000,96000000,2533000000,,,,,
7,기타포괄손익,매도가능금융자산,0,0,-138000000,287000000,-153000000,-288000000,44000000,-61000000
8,기타포괄손익,해외사업장외환환산차이,2338000000,3561000000,-11563000000,-1793000000,4819000000,2392000000,51000000,-7838000000
9,당기총포괄손익,당기총포괄손익,8310000000,-50818000000,66232000000,82214000000,65542000000,65136000000,66451000000,9157000000
10,총포괄이익의 귀속,지배기업소유주지분,8310000000,-50818000000,66232000000,82602000000,66159000000,66031000000,67390000000,9611000000
11,총포괄이익의 귀속,비지배지분,0,0,0,-388000000,-617000000,-895000000,-939000000,-454000000
