,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,3186807000000,3266496000000,3209405000000,2928337000000,2686952000000,2792135000000,2676952000000,2451083000000
1,매출원가,매출원가,2440053000000,2535790000000,2413364000000,2133198000000,1947243000000,2120755000000,2062076000000,1923078000000
2,매출총이익,매출총이익,746754000000,730706000000,796041000000,795139000000,739709000000,671380000000,614876000000,528005000000
3,판매비와관리비,판매비와관리비,677977000000,660335000000,650637000000,638148000000,584375000000,522837000000,500288000000,471370000000
4,영업이익,영업이익,68777000000,70371000000,145404000000,156991000000,155334000000,148543000000,114588000000,56635000000
5,영업외수익,영업외수익,16130000000,21192000000,12244000000,19164000000,21438000000,33089000000,63680000000,63478000000
6,영업외비용,영업외비용,39334000000,67838000000,30591000000,-34451000000,-32809000000,-47917000000,-69448000000,-54068000000
7,금융수익,금융수익,6880000000,11564000000,8456000000,5903000000,6529000000,6418000000,11046000000,12262000000
8,금융비용,금융비용,33919000000,47753000000,27490000000,-32856000000,-33970000000,-25944000000,-27561000000,-24929000000
9,지분법손익,지분법손익,-4753000000,-5147000000,-1462000000,432000000,-356000000,-351000000,-88000000,-981000000
10,법인세비용차감전순손익,법인세비용차감전순손익,13781000000,-17611000000,106561000000,,,,,
11,법인세비용(수익),법인세비용(수익),-1019000000,-1269000000,23543000000,35225000000,26588000000,45924000000,19500000000,13505000000
12,계속영업당기순손익,계속영업당기순손익,14800000000,-16342000000,83018000000,,,,,
13,중단영업손실,중단영업손실,-3235000000,-36785000000,-15163000000,-5210000000,-18416000000,-4325000000,,
14,당기순손익,당기순손익,11565000000,-53127000000,67855000000,74748000000,71162000000,63589000000,72298000000,28523000000
15,당기순손익의 귀속,지배기업소유주지분순손익,11565000000,-53127000000,67855000000,75136000000,71779000000,64484000000,73237000000,28977000000
16,당기순손익의 귀속,계속영업손익,14800000000,-16342000000,83018000000,,,,,
17,당기순손익의 귀속,중단영업손실,-3235000000,-36785000000,-15163000000,-5210000000,-18416000000,-4325000000,,
18,당기순손익의 귀속,비지배지분순손익,0,0,0,,,,,
19,당기순손익의 귀속,계속영업손익,0,0,0,,,,,
20,당기순손익의 귀속,중단영업손실,0,0,0,-5210000000,-18416000000,-4325000000,,
21,주당손익,보통주,,,,,,,,
22,주당손익,기본주당계속영업손익,1480,-1641,8315,,,,,
23,주당손익,기본주당중단영업손실,-326,-3686,-1519,,,,,
24,주당손익,우선주,,,,,,,,
25,주당손익,우선주당계속영업손익,1530,-1604,8352,,,,,
26,주당손익,우선주당중단영업손실,-326,-3686,-1519,,,,,
