,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출,매출,28625042000000,28183013000000,25698014000000,,,22577830000000,23143612000000,23263019000000
1,매출원가,매출원가,23779235000000,22836816000000,20134488000000,,,-19573940000000,-19834673000000,-19955076000000
2,매출총이익,매출총이익,4845807000000,5346197000000,5563526000000,,,3003890000000,3308939000000,3307943000000
3,판매비와 관리비,판매비와 관리비,3950159000000,3100127000000,2635069000000,,,-1693129000000,-1565895000000,-1397620000000
4,영업이익 (손실),영업이익 (손실),895648000000,2246070000000,2928457000000,,,1310761000000,1743044000000,1910323000000
5,금융수익,금융수익,290797000000,210375000000,240434000000,,,127118000000,203420000000,99990000000
6,금융비용,금융비용,436809000000,367497000000,319835000000,,,-168973000000,-236554000000,-153938000000
7,지분법손익,지분법손익,22211000000,5085000000,6620000000,,,19567000000,5388000000,12420000000
8,기타영업외수익,기타영업외수익,552851000000,377193000000,478262000000,,,379141000000,362351000000,371853000000
9,기타영업외비용,기타영업외비용,764138000000,531179000000,770043000000,,,-507753000000,-476353000000,-360150000000
10,법인세차감전순이익,법인세차감전순이익,560560000000,1940047000000,2563895000000,,,,,
11,법인세비용,법인세비용,184456000000,420735000000,541922000000,,,-305836000000,-330683000000,-374153000000
12,당기순이익(손실),당기순이익(손실),376104000000,1519312000000,2021973000000,,,854025000000,1270613000000,1506345000000
13,분(반)기순이익(손실)의 귀속,지배기업의 소유주지분,313365000000,1472608000000,1945280000000,,,867924000000,1265968000000,1494487000000
14,분(반)기순이익(손실)의 귀속,비지배지분,62739000000,46704000000,76693000000,,,-13899000000,4645000000,11858000000
15,주당이익 [abstract],보통주 기본주당이익,4085,19217,25367,,,,,
16,주당이익 [abstract],우선주 기본주당이익,4135,19267,25605,,,,,
17,주당이익 [abstract],보통주 희석주당이익,3882,19057,25367,,,,,
18,주당이익 [abstract],우선주 희석주당이익,3932,19107,25605,,,,,
