,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,1380852281652,1419793305577,1165870921146,,,,,
1,유동자산,현금및현금성자산,28650469112,53258076482,89260773508,,,,,
2,유동자산,매출채권,124908040331,341168855166,259323992297,,,,,
3,유동자산,유동계약자산,435395554228,387127433270,338404663201,,,,,
4,유동자산,재고자산,130469424965,105302270451,144212949046,,,,,
5,유동자산,기타유동금융자산,94122100506,7313669032,3777379638,,,,,
6,유동자산,기타유동자산,567269165594,525368643619,328938642003,,,,,
7,유동자산,당기법인세자산,850210,,730120705,,,,,
8,유동자산,매각예정분류자산,36676706,254357557,1222400748,,,,,
9,비유동자산,비유동자산,936638933654,902297918877,842481128004,,,,,
10,비유동자산,유형자산,745471059038,731161866323,658061099956,,,,,
11,비유동자산,투자부동산,4304770057,4343937109,4879181038,,,,,
12,비유동자산,무형자산,97565190523,75972337348,73468226772,,,,,
13,비유동자산,관계기업 및 공동기업투자,9780926594,11829998964,3736738872,,,,,
14,비유동자산,기타비유동금융자산,27500925388,27505673880,28123764939,,,,,
15,비유동자산,기타비유동자산,3898889145,3759381443,4151540620,,,,,
16,비유동자산,이연법인세자산,48117172909,47724723810,70060575807,,,,,
17,자산총계,자산총계,2317491215306,2322091224454,2008352049150,,,,,
18,유동부채,유동부채,1237491234410,1305868767595,1151471161330,,,,,
19,유동부채,단기차입금,213385752304,298299830000,271491290000,,,,,
20,유동부채,단기매입채무,127902053535,231552084533,277152022320,,,,,
21,유동부채,당기법인세부채,5748025872,1437878650,889926350,,,,,
22,유동부채,유동충당부채,40638123999,43471632618,61911112133,,,,,
23,유동부채,기타유동금융부채,75933438906,80338544127,77401752583,,,,,
24,유동부채,유동계약부채,764715931988,636508420424,450609696819,,,,,
25,유동부채,기타유동부채,9167907806,14260377243,11712447428,,,,,
26,유동부채,매각예정분류부채,,,302913697,,,,,
27,비유동부채,비유동부채,446025582984,366089055530,263845960134,,,,,
28,비유동부채,장기차입금,411057253161,337422998315,238400987445,,,,,
29,비유동부채,순확정급여부채,19071662562,21305230921,18955278766,,,,,
30,비유동부채,기타비유동금융부채,7416597835,,,,,,,
31,비유동부채,기타비유동부채,8480069426,7360826294,6489693923,,,,,
32,부채총계,부채총계,1683516817394,1671957823125,1415317121464,,,,,
33,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,633974397912,650133401329,593034927686,,,,,
34,지배기업의 소유주에게 귀속되는 자본,자본금,110000000000,110000000000,110000000000,,,,,
35,지배기업의 소유주에게 귀속되는 자본,자본잉여금,140702579910,140702579910,140702579910,,,,,
36,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,72567484905,72460147964,-272614336,,,,,
37,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),310704333097,326970673455,342604962112,,,,,
38,비지배지분,비지배지분,,,,,,,,
39,자본총계,자본총계,633974397912,650133401329,593034927686,,,,,
40,,자본과부채총계,2317491215306,2322091224454,2008352049150,,,,,
