,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,1356843480419,973506368153,939981997688,1164024257897,851367412445,836558093000,627952380419,595501146395
1,영업활동현금흐름,영업으로부터 창출된 현금흐름,1835912025978,1455189893246,1294925991320,1471646010009,1087915691287,1046607159000,,
2,영업활동현금흐름,이자수취,17559981761,27124396728,40844270854,29646878900,28992544627,20538013000,,
3,영업활동현금흐름,이자지급,39296364906,10694341270,2113445772,,,,,
4,영업활동현금흐름,배당금수취(영업),20742864205,27727492377,21196536973,8272597252,8391316422,9199740000,4445938231,3371709290
5,영업활동현금흐름,법인세납부(환급),478075026619,525841072928,414871355687,,,,,
6,투자활동현금흐름,투자활동현금흐름,-1078128842424,-388286947217,-1310331331653,-941712566991,-785858501641,-436149624000,-423361307948,-689985126417
7,투자활동현금흐름,단기금융상품의 순감소(증가),162122479766,651167198299,160523617087,-292254027607,-540835258765,-94266490000,,
8,투자활동현금흐름,장기금융상품의 증가,,13756962062,183619742032,-175854608696,-43050000000,-24013267000,571324749,8972843836
9,투자활동현금흐름,장기금융상품의 감소,,12000000000,10000000000,10050000000,,,525413093,
10,투자활동현금흐름,당기손익인식금융자산의 순감소(증가),,,103499196889,-68725459908,4474619597,,,
11,투자활동현금흐름,당기손익-공정가치금융자산의 순감소(증가),-170452838537,184109996728,,,,,,
12,투자활동현금흐름,유형자산의 취득,435908502083,535035089109,472167146968,-153799500551,-120794916406,-271268628000,379576900816,280362446429
13,투자활동현금흐름,유형자산의 처분,6743736986,17665787353,5965531286,56618452246,2317872703,11003347000,18360074635,3313450863
14,투자활동현금흐름,리스채권의 회수,257941120,,,,,,,
15,투자활동현금흐름,무형자산의 취득,75729758448,46274584498,31072901155,-20810426358,-15846552754,-6430279000,60845260554,29113963675
16,투자활동현금흐름,무형자산의 처분,4766029881,4126716005,3132644885,187761297,513450649,366783000,20926588374,429792769
17,투자활동현금흐름,매도가능금융자산의 취득,,,708671194496,-124184790622,-113889594787,-138171991000,59055003347,85249434632
18,투자활동현금흐름,매도가능금융자산의 처분,,,57147603136,19004020280,71969133049,144493543000,63140326161,53151835908
19,투자활동현금흐름,기타포괄손익-공정가치금융자산의 취득,40967500755,208558868121,,,,,,
20,투자활동현금흐름,기타포괄손익-공정가치금융자산의 처분,97789083542,100973500025,,,,,,
21,투자활동현금흐름,관계기업및공동기업투자의 취득,621718974099,502976581662,136126745603,,,,,
22,투자활동현금흐름,관계기업및공동기업투자의 처분,18714872614,6111466320,7150302942,2712000000,573236928,,,
23,투자활동현금흐름,사업결합으로 인한 현금의 증감,-4991454614,-6879491848,-198281260652,-4597667305,-32945879579,-1479977000,,
24,투자활동현금흐름,종속기업의 처분,9787731685,-28108469981,1799666549,7300449311,30898580015,30106640000,,
25,투자활동현금흐름,기타투자활동으로 인한 현금유출입액,-28541689482,-22851564666,70389096479,-92636441891,1976543245,-6863010000,,
26,재무활동현금흐름,재무활동현금흐름,52336566385,750979898112,636244225939,697849839617,5898778302,-111910895000,-162058391157,23941233638
27,재무활동현금흐름,단기차입금의 증가,220649373194,533051141952,122544486739,232880139130,195578068896,296969119000,95415140555,13807400000
28,재무활동현금흐름,단기차입금의 상환,76172581572,408323250753,123466235617,-468100761103,-153960560000,-289169601000,36360941630,32759429491
29,재무활동현금흐름,장기차입금의 증가,,50973796988,49026203012,,,150432624000,2999998050,219775500000
30,재무활동현금흐름,사채의 증가,,705013490134,,,,,,
31,재무활동현금흐름,사채의 감소,,150000000000,,,,,,
32,재무활동현금흐름,리스부채의 상환,138021891444,,,,,,,
33,재무활동현금흐름,배당금 지급,46861536936,42469708296,32581184103,-32130689800,-23042933594,-21870481000,26815131728,23567660040
34,재무활동현금흐름,자기주식의 취득,93689325190,124458933570,,-304437387130,-159399898570,-248428243000,10177376263,117317749520
35,재무활동현금흐름,자기주식의 처분,,,498449944178,,,,,
36,재무활동현금흐름,종속기업의 유상증자,179186404036,190557847107,129793266196,1374092814478,,,,
37,재무활동현금흐름,기타재무활동으로 인한 현금유출입,7246124297,-3364485450,-7522254466,1000000000,1314847827,155687000,,
38,현금및현금성자산에 대한 환율변동효과,현금및현금성자산에 대한 환율변동효과,86578454471,79109722852,-84551612598,-7321644685,19457893439,-1229101000,,
39,현금및현금성자산의순증가(감소),현금및현금성자산의순증가(감소),417629658851,1415309041900,181343279376,912839885838,90865582545,287268473000,,
40,기초현금및현금성자산,기초현금및현금성자산,3322884102567,1907575060667,1726231781291,813391895453,722526312908,435257840000,,
41,분기말현금및현금성자산,분기말현금및현금성자산,3740513761418,3322884102567,1907575060667,1726231781291,813391895453,722526313000,,
