,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업수익,영업수익,6593400065244,5586904533355,4678468928032,4022629619982,3253930352202,2758478837000,2259138612458,1798657243426
1,영업비용,영업비용,-5883329891731,-4644371971812,-3499281121701,-2920589144190,-2423705391328,-2000279771000,1752599794629,1277470171768
2,영업이익(손실),영업이익(손실),710070173513,942532561543,1179187806331,1102040475792,830224960874,758199066000,506538817829,521187071658
3,기타수익,기타수익,127850039103,316773923951,35057161984,102016939984,63036498817,17286809000,,
4,기타비용,기타비용,152375851429,114624964081,86985385595,-91759944041,-82593405763,-52531384000,,
5,이자수익,이자수익,16395673587,27243776093,36678030573,,,,,
6,금융수익,금융수익,395352360724,164181993767,78332304707,66704079766,67236221456,77930783000,77128637268,73213232918
7,금융비용,금융비용,166169887339,139365243783,32414107346,-37789903111,-52997259343,-141353110000,13220199060,9963340481
8,지분법손익,지분법손익,-64400374196,-85069772652,-14026821694,-9440699473,-1685213454,-688574000,,
9,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),866722133963,1111672274838,1195828988960,1131770948917,823221802587,658843590000,,
10,법인세비용,법인세비용,466311853314,488756397806,423173257798,-360863616391,-229003000109,-237181907000,124550497991,147876859826
11,계속영업순이익(손실),계속영업순이익(손실),400410280649,622915877032,772655731162,770907332526,594218802478,421661683000,315197071873,400668465139
12,중단영업이익(손실),중단영업이익(손실),-3589218184,4985996300,-2554060955,-11834381339,-77232522938,30101420000,1580092243147,143760086660
13,당기순이익(손실),당기순이익(손실),396821062465,627901873332,770101670207,759072951187,516986279540,451763103000,1895289315020,544428551799
14,당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),,,,,,,,
15,당기순이익(손실)의 귀속 [abstract],계속영업이익,586641122833,643826906430,775433640876,761140055404,595979009254,,,
16,당기순이익(손실)의 귀속 [abstract],중단영업이익(손실),-3589218184,4985996300,-2554060955,-11834381339,-77232522938,,,
17,당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),-186230842184,-20911029398,-2777909714,9767277122,-1760206776,-2694359000,,
18,기타포괄손익,기타포괄손익,138730945419,5875475010,-142862945354,-35481484286,37020883472,110774548000,-63505414165,-92121314419
19,기타포괄손익,당기손익으로 재분류될 수 있는 항목,145977055953,100178241737,-151278607530,,,,,
20,기타포괄손익,매도가능금융자산-평가손익,,,-1660488494,-12901819949,46096783563,22833769000,-72729615686,-1433706428
21,기타포괄손익,매도가능금융자산-재분류조정,,,21149295045,-42827000,-315352606,73739812000,,
22,기타포괄손익,기타포괄손익-공정가치 측정 채무상품 평가손익,248538199,2441198331,,,,,,
23,기타포괄손익,해외사업환산손익,139029178403,77213086172,-120113501595,-48071575946,838302740,6577842000,-1739215495,-66775096296
24,기타포괄손익,지분법자본변동,6699339351,20523957234,-8355322396,1038023692,316948096,95988000,-6774716474,1849915792
25,기타포괄손익,당기손익으로 재분류되지 않는항목,-7246110534,-94302766727,8415662176,,,,,
26,기타포괄손익,순확정급여부채의 재측정요소,-52992040208,-7085480963,8580245095,24496714917,-9915798321,7527137000,,
27,기타포괄손익,기타포괄손익-공정가치 지분상품 평가손익,50343180326,-105238566292,,,,,,
28,기타포괄손익,기타포괄손익-공정가치 지분상품 처분손익,-4611398596,18158594324,,,,,,
29,기타포괄손익,지분법자본변동,14147944,-137313796,-164582919,1038023692,316948096,95988000,-6774716474,1849915792
30,총포괄이익,총포괄이익,535552007884,633777348342,627238724853,723591466901,554007163012,562537651000,1831783900855,452307237380
31,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",659506460173,627230960514,672515439629,733007313456,555637191071,454457462000,,
32,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",-123954452289,6546387828,-45276714776,-9415846555,-1630028059,-2694359000,,
33,주당이익 [abstract],기본주당이익(손실),,,,,,,,
34,주당이익 [abstract],계속영업기본주당이익(손실),4031,4403,5330,,,,,
35,주당이익 [abstract],중단영업기본주당이익(손실),-25,34,-18,,,,,
36,주당이익 [abstract],희석주당이익(손실),,,,,,,,
37,주당이익 [abstract],계속영업희석주당이익(손실),4031,4403,5314,,,,,
38,주당이익 [abstract],중단영업희석주당이익(손실),-25,34,-18,,,,,
