,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,249083000000,-1595476000000,876302000000,2253116000000,635297000000,-812983000000,,
1,,,633217000000,504765000000,442548000000,301971000000,282192000000,119881000000,,
2,,,-830976000000,-589930000000,-365269000000,-346688000000,-764919000000,-514135000000,,
3,,,-234347000000,-2152129000000,313253000000,1663777000000,346074000000,-939142000000,,
4,,,1047176000000,934242000000,813884000000,886090000000,985150000000,874285000000,,
5,,,-376917000000,-313884000000,-232753000000,-256096000000,-288788000000,-325594000000,,
6,,,87291000000,117107000000,80963000000,86297000000,70051000000,14238000000,,
7,,,-76361000000,-95647000000,-176324000000,-82235000000,,,,
8,,,-455462000000,960251000000,-2173312000000,-2295650000000,-200124000000,-338257000000,,
9,,,3625874000000,3639458000000,2499328000000,4167987000000,1792185000000,1080403000000,,
10,,,3287221000000,3519614000000,,,,,,
11,,,14979000000,24504000000,8027000000,,,,,
12,,,67096000000,86481000000,,,,,,
13,,,6709000000,5891000000,20338000000,9557000000,21698000000,16337000000,,
14,,,249719000000,384000000,61000000,10820000000,3620000000,,,
15,,,150000000,2584000000,5679000000,2764000000,1711000000,500000000,,
16,,,-4081336000000,-2679207000000,-4672640000000,-6463637000000,-1992309000000,1418660000000,,
17,,,-3856618000000,-2506022000000,,,,,,
18,,,-88848000000,-49550000000,-32632000000,,-4800000000,4967000000,,
19,,,-68919000000,-101086000000,,,,,,
20,,,-6508000000,-5726000000,-13685000000,-13401000000,-9056000000,4839000000,,
21,,,-18176000000,-16530000000,-15229000000,-22069000000,-26596000000,13624000000,,
22,,,-42267000000,-293000000,-1596000000,-3822000000,-4170000000,847000000,,
23,,,582332000000,729313000000,1220962000000,-516621000000,154678000000,1555312000000,,
24,,,1570812610000000,1398129837000000,2499328000000,4167987000000,1792185000000,1080403000000,,
25,,,1549997163000000,1325991416000000,1607480434000000,1751771443000000,1615814426000000,1464937328000000,,
26,,,20814270000000,72138132000000,9440212000000,598358000000,498618000000,,,
27,,,1175000000,289000000,167000000,1981000000,1088000000,798000000,,
28,,,2000000,,,,200000000,,,
29,,,-1570230278000000,-1397400524000000,-4672640000000,-6463637000000,-1992309000000,1418660000000,,
30,,,-1548063676000000,-1325400377000000,-1607212815000000,-1752765714000000,-1615749265000000,1463369539000000,,
31,,,-21999000000000,-71847600000000,-8365000000000,,-360000000000,,,
32,,,-16626000000,,,,,,,
33,,,-210000000,-716000000,-1359000000,-4228000000,-1526000000,1457000000,,
34,,,-155000000,-1221000000,,,,,,
35,,,-150610000000,-150610000000,-120677000000,-120677000000,-48835000000,11801000000,,
36,,,-1000000,,,,-28000000,,,
37,,,375953000000,94088000000,-76048000000,-559155000000,589851000000,404072000000,,
38,,,-17544000000,-53485000000,-51467000000,-618000000,40687000000,3922000000,,
39,,,637714000000,597111000000,724626000000,1284399000000,653861000000,245867000000,,
40,,,996123000000,637714000000,597111000000,,,,,
