,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,,,11503545000000,9241348000000,9545474000000,8841546000000,7003662000000,4827411000000,,
1,,,789694000000,778932000000,679243000000,652485000000,653537000000,381732000000,,
2,,,9129340000000,7171502000000,,,,,,
3,,,22251000000,3941000000,,,,,,
4,,,3400000000,4018000000,15221000000,4278000000,134000000,4174000000,,
5,,,1049244000000,982647000000,830864000000,891197000000,947131000000,860972000000,,
6,,,509520000000,473397000000,,,,,,
7,,,539724000000,509250000000,,,,,,
8,,,5364000000,1494000000,,,,,,
9,,,269857000000,159283000000,349170000000,238856000000,198992000000,116262000000,,
10,,,234395000000,139531000000,82832000000,77126000000,75116000000,62131000000,,
11,,,10928158000000,8701204000000,9086270000000,8539599000000,6689531000000,4701941000000,,
12,,,191473000000,139641000000,110769000000,104478000000,111770000000,80550000000,,
13,,,9103098000000,7209070000000,,,,,,
14,,,4575000000,8443000000,,,,,,
15,,,7454000000,8512000000,3452000000,14394000000,9792000000,5488000000,,
16,,,414222000000,343378000000,247838000000,285593000000,326230000000,341270000000,,
17,,,72522000000,30823000000,,,,,,
18,,,,87000000,,,,,,
19,,,72522000000,30736000000,,,,,,
20,,,289594000000,256413000000,588551000000,187688000000,105752000000,68961000000,,
21,,,811916000000,691485000000,709190000000,632805000000,762624000000,583659000000,,
22,,,33304000000,13439000000,6070000000,2588000000,5909000000,1421000000,,
23,,,575387000000,540144000000,459204000000,301947000000,314131000000,125470000000,,
24,,,97205000000,11778000000,9903000000,26634000000,9467000000,9421000000,,
25,,,39375000000,47157000000,26559000000,26610000000,41406000000,15010000000,,
26,,,633217000000,504765000000,442548000000,301971000000,282192000000,119881000000,,
27,,,156839000000,143292000000,92915000000,65750000000,67952000000,38616000000,,
28,,,476378000000,361473000000,349633000000,236221000000,214240000000,81265000000,,
29,,,475517000000,360862000000,350109000000,236072000000,215070000000,81084000000,,
30,,,861000000,611000000,-476000000,149000000,-830000000,181000000,,
31,,,9274000000,28236000000,-37637000000,-19752000000,883000000,23591000000,,
32,,,15317000000,18735000000,-31985000000,-19115000000,1156000000,28675000000,,
33,,,-301000000,14213000000,,,,,,
34,,,433000000,-152000000,-242000000,-39000000,-11000000,3236000000,,
35,,,-2978000000,-10293000000,35070000000,-2194000000,-18305000000,,,
36,,,18204000000,14967000000,-48935000000,13075000000,23504000000,11642000000,,
37,,,-41000000,,,,,,,
38,,,-6043000000,9501000000,-5652000000,-637000000,-273000000,-5084000000,,
39,,,11506000000,6541000000,,,,,,
40,,,-177000000,,,,,,,
41,,,-9544000000,7949000000,,,,,,
42,,,-601000000,-1938000000,35070000000,-2194000000,-18305000000,,,
43,,,-7227000000,-3051000000,-5652000000,-637000000,-273000000,-5084000000,,
44,,,485652000000,389709000000,311996000000,216469000000,215123000000,104856000000,,
45,,,484832000000,385946000000,312541000000,217197000000,215832000000,105009000000,,
46,,,820000000,3763000000,-545000000,-728000000,-709000000,-153000000,,
47,,,1585,1203,1167,789000000,719000000,373000000,,
48,,,1585,1203,1167,789000000,719000000,373000000,,
49,,,1635,1253,1217,789000000,719000000,373000000,,
