,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,2160672177000,2018703322000,2098427000000,1981389629000,2399834131000,1886070902000,1844868527000,1977427652000
1,유동자산,현금및현금성자산,487552585000,744271382000,913972875000,338606921000,476828892000,518199191000,351962767000,446291655000
2,유동자산,단기금융자산,247413125000,222415399000,120711071000,159164806000,32462486000,53368031000,222907944000,327281861000
3,유동자산,매출채권및기타채권,409759028000,434239609000,533941415000,578900788000,563086185000,664833891000,772256519000,624776508000
4,유동자산,유동파생상품자산,1222920000,88873000,330834000,580810000,1723836000,1795966000,2114064000,2529379000
5,유동자산,매각예정자산,,,21695575000,43352169000,719810604000,36658001000,,
6,유동자산,재고자산,906322522000,544617696000,358344589000,789966317000,516898678000,552644073000,436469895000,539483176000
7,유동자산,당기법인세자산,4919775000,2985762000,63437197000,11129805000,4036774000,5530935000,,
8,유동자산,기타유동자산,103482222000,70084601000,85993444000,59688013000,84986676000,53040814000,59157338000,37065073000
9,비유동자산,비유동자산,2650539535000,3640887124000,3979397637000,4267165774000,4898941347000,5532642902000,5457422124000,5305621977000
10,비유동자산,장기금융자산,57674566000,53965257000,14448134000,49321362000,68676622000,13706384000,14001720000,60561282000
11,비유동자산,장기매출채권및기타채권,26442836000,22072200000,44500696000,37643403000,4523011000,6255583000,7074325000,9994293000
12,비유동자산,이연법인세자산,339803608000,114847158000,114285765000,178882811000,348711238000,325231900000,299186892000,45229186000
13,비유동자산,관계기업및공동기업투자,68931631000,69666526000,70150309000,103915959000,50277262000,64302099000,88591428000,86162563000
14,비유동자산,투자부동산,65082207000,73666795000,76361743000,74220804000,73286230000,69747909000,76628010000,77539690000
15,비유동자산,유형자산,2041856747000,3257068413000,3290787630000,3463078860000,4258759955000,4869033913000,4779269932000,4818196255000
16,비유동자산,무형자산,46120870000,41795245000,42768244000,34291805000,46828810000,144404358000,145627568000,136221472000
17,비유동자산,비유동법인세자산,,,316681333000,316681333000,,,,
18,비유동자산,기타비유동자산,4627070000,7805530000,9413783000,9129437000,47878219000,39960756000,47042249000,71717236000
19,자산총계,자산총계,4811211712000,5659590446000,6077824637000,6248555403000,7298775478000,7418713804000,7302290651000,7283049629000
20,유동부채,유동부채,845845775000,1092898742000,1214344006000,,,,,948823679000
21,유동부채,단기금융부채,415973163000,705771074000,753150725000,,,,,396595274000
22,유동부채,매입채무및기타채무,343605076000,357448294000,416294650000,,,,,535826011000
23,유동부채,유동파생상품부채,411308000,,2141490000,,,,,5334009000
24,유동부채,당기법인세부채,15675638000,12168321000,35461012000,,,,,457036000
25,유동부채,충당부채,26268083000,2473295000,6277895000,,,,,20000042000
26,유동부채,기타유동부채,43912507000,15037758000,1018234000,,,,,10611349000
27,비유동부채,비유동부채,1279642465000,1074126739000,1447788152000,,,,,2742592713000
28,비유동부채,장기금융부채,1166034191000,802993019000,1162928886000,,,,,1796307316000
29,비유동부채,장기매입채무및기타채무,28972866000,26877230000,20553083000,,,,,32704414000
30,비유동부채,비유동충당부채,11525039000,9181137000,8993095000,,,,,
31,비유동부채,순확정급여부채,19253295000,23754686000,16848294000,,,,,116666431000
32,비유동부채,이연법인세부채,556787000,3713013000,6873740000,,,,,9753794000
33,비유동부채,기타비유동부채,53300287000,207607654000,231591054000,,,,,766795222000
34,부채총계,부채총계,2125488240000,2167025481000,2662132158000,,,,,3691416392000
35,지배회사의 소유주지분,지배회사의 소유주지분,2635705839000,3429443940000,3352335602000,,,,,3173719698000
36,지배회사의 소유주지분,자본금,127246855000,127246855000,127246855000,,,,,127246855000
37,지배회사의 소유주지분,주식발행초과금,734532524000,734532524000,734532524000,,,,,
38,지배회사의 소유주지분,기타자본잉여금,50909572000,51023382000,51054037000,,,,,
39,지배회사의 소유주지분,기타자본구성요소,18930929000,-12116579000,-37876067000,,,,,1292776000
40,지배회사의 소유주지분,이익잉여금,1704085959000,2528757758000,2477378253000,,,,,2244235963000
41,비지배주주지분,비지배주주지분,50017633000,63121025000,63356877000,,,,,417913539000
42,자본총계,자본총계,2685723472000,3492564965000,3415692479000,,,,,3591633237000
43,,부채와자본총계,4811211712000,5659590446000,6077824637000,,,,,7283049629000
