,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,당기순이익(손실),당기순이익(손실),-807386477000,103818814000,232640722000,219407537000,182068544000,42334700000,-287777262000,12709190000
1,기타포괄손익,기타포괄손익,20749807000,19590696000,-71960887000,7454377000,69868269000,-12494877000,-3407221000,-28825940000
2,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,-9628521000,-5946518000,-5203447000,1218566000,30065672000,-32525933000,28385398000,2313446000
3,기타포괄손익,확정급여제도의 재측정요소,-9628521000,-5946518000,-5203447000,1218566000,30065672000,-32525933000,28385398000,2313446000
4,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,30378328000,25537214000,-66757440000,6235811000,39802597000,20031056000,-31792619000,-31139386000
5,기타포괄손익,매도가능금융자산평가손익,,,1618009000,-3566128000,1660390000,-685783000,-18107989000,-578471000
6,기타포괄손익,관계기업및공동기업투자자본변동,-274257000,283613000,-1316914000,1393112000,3150629000,1061703000,183736000,-1706925000
7,기타포괄손익,해외사업환산손익,30652585000,25253601000,-67058535000,8408827000,34175638000,18498720000,-15237701000,-27736170000
8,총포괄손익,총포괄손익,-786636670000,123409510000,160679835000,226861914000,251936813000,29839823000,-291184483000,-16116750000
9,총포괄손익의 귀속,지배회사의 소유주지분,-773568248000,123645266000,166235657000,249240548000,166833853000,-41255741000,-330186590000,-84599585000
10,총포괄손익의 귀속,비지배주주지분,-13068422000,-235756000,-5555822000,-22378634000,85102960000,71095564000,39002107000,68482835000
