,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,2605142204000,3112143978000,3631633189000,2736686234000,2301520602000,2420464774000,2955507111000,3218459512000
1,매출원가,매출원가,2565109883000,2746371833000,3133143807000,2396903560000,2215819606000,2229424397000,2704710060000,2701214061000
2,매출총이익(손실),매출총이익(손실),40032321000,365772145000,498489382000,339782674000,85700996000,191040377000,250797051000,517245451000
3,판매비와관리비,판매비와관리비,220637329000,207102066000,214041657000,207273811000,230328678000,267065386000,356997041000,362462605000
4,영업이익(손실),영업이익(손실),-180605008000,158670079000,284447725000,132508863000,-144627682000,-76025009000,-106199990000,154782846000
5,금융수익,금융수익,68661109000,83026411000,127334839000,137154534000,107319462000,86884199000,107755631000,82188826000
6,금융비용,금융비용,120159651000,133458149000,209031391000,177809491000,195476116000,159929812000,165068279000,145337610000
7,관계기업및공동기업투자손익,관계기업및공동기업투자손익,-2202143000,4199073000,2607715000,2149609000,4380822000,8354267000,8907175000,8909316000
8,기타영업외수익,기타영업외수익,18266861000,53168581000,126458713000,236710507000,40723924000,130941549000,81779755000,165701486000
9,기타영업외비용,기타영업외비용,796194096000,35132117000,52139873000,434213001000,115443267000,47416184000,110216800000,247406259000
10,법인세비용차감전계속사업순이익(손실),법인세비용차감전계속사업순이익(손실),-1012232928000,130473878000,279677728000,-103498979000,,,,
11,계속영업법인세비용(이익),계속영업법인세비용(이익),-206101602000,25607425000,36085245000,-217795254000,,-7996300000,,
12,계속영업이익(손실),계속영업이익(손실),-806131326000,104866453000,243592483000,114296275000,-239095563000,-49194690000,,
13,중단영업이익(손실),중단영업이익(손실),-1255151000,-1047639000,-10951761000,105111262000,421164107000,91529390000,,
14,당기순이익(손실),당기순이익(손실),-807386477000,103818814000,232640722000,219407537000,182068544000,42334700000,-287777262000,12709190000
15,당기순이익(손실)의 귀속 [abstract],지배회사의 소유주지분,-794376479000,103786692000,234900884000,242106821000,100306054000,-19913720000,-327715806000,-68352631000
16,당기순이익(손실)의 귀속 [abstract],비지배주주지분,-13009998000,32122000,-2260162000,-22699284000,81762490000,62248420000,39938544000,81061821000
17,주당손익,계속영업과 중단영업 기본및희석주당순이익(손실),-33308,4352,9849,10151,4206,,,
18,주당손익,계속영업 기본및희석주당순이익(손실),-33267,4386,10208,5086,,,,
