,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,수익(매출액),수익(매출액),976273915234,918910018030,953378993872,,,,,
1,매출원가,매출원가,823009026108,807312300110,816145064190,978364573805,991236592787,950858636629,762672272117,-807215137572
2,매출총이익,매출총이익,153264889126,111597717920,137233929682,175446254495,219287907599,148435678920,112219784472,97898475342
3,판매비와관리비,판매비와관리비,64050110333,53423750456,59698594117,103798463299,96154068032,79427029118,56770185341,-63500011357
4,판매비와관리비,관리비용,14072343735,14281268714,15624752092,,,,,
5,판매비와관리비,판매비용,35487370598,23423616109,24783820607,,,,,
6,판매비와관리비,대손상각비(환입),122803178,-789715400,210364410,,,,,
7,판매비와관리비,경상개발비,14367592822,16508581033,19079657008,,,,,
8,영업이익,영업이익,89214778793,58173967464,77535335565,71647791196,123133839567,69008649802,55449599131,34398463985
9,기타이익,기타이익,4800103108,10946048050,11371567895,,,,,
10,기타손실,기타손실,824584934,3637795695,4830196421,,,,,
11,금융수익,금융수익,22420381890,28056552508,17307081611,42021028129,30002590523,25135428599,13066800142,8466002957
12,금융원가,금융원가,13261355488,19440172004,35385302002,,,,,
13,법인세비용차감전순이익,법인세비용차감전순이익,102349323369,74098600323,65998486648,60297026750,132695909201,73818295713,47393007144,22616912245
14,법인세비용,법인세비용,23682455607,18722648392,11524106643,25952781216,35310726214,17636268034,10884157753,-6909121134
15,계속영업이익(손실),계속영업이익(손실),78666867762,55375951931,54474380005,,,3603,2595,
16,중단영업이익(손실),중단영업이익(손실),-74968289433,1849192665,4581776727,,,768,-149,
17,당기순이익,당기순이익,3698578329,57225144596,59056156732,34344245534,97385182987,56182027679,36508849391,15707791111
18,기타포괄손익,기타포괄손익,576123651,-862630751,-3666673998,2521253551,-191825061,-4406841878,4403063725,-2986779593
19,기타포괄손익,당기손익으로 재분류되지 않는항목,-433399999,-702869915,-1444683492,3174778603,-960452205,-5203973552,4605882713,-2344870000
20,기타포괄손익,확정급여제도의재측정손익,-433399999,-696232115,-1444683492,3174778603,-960452205,-5203973552,4605882713,-2344870000
21,기타포괄손익,지분증권평가손익,0,-6637800,0,,,,,
22,기타포괄손익,당기손익으로 재분류될 수 있는 항목,1009523650,-159760836,-2221990506,-653525052,768627144,797131674,-202818988,-641909593
23,기타포괄손익,해외사업환산손익,938877719,-324789585,-1738430407,-782084864,504355497,476887342,-90676115,-671873664
24,기타포괄손익,지분법자본변동,70645931,165028749,-483560099,128559812,264271647,320244332,-112142873,29964071
25,총포괄손익,총포괄손익,4274701980,56362513845,55389482734,36865499085,97193357926,59103197003,34297465528,12721011518
26,당기순이익의 귀속,지배기업의 소유주에게 귀속되는 당기순이익,2420834148,56267343498,56853356518,33562854887,85581861212,61381740587,33706126156,21624863919
27,당기순이익의 귀속,비지배지분에 귀속되는 당기순이익,1277744181,957801098,2202800214,781390647,11803321775,2128298294,-3811724353,-5917072808
28,총 포괄손익의 귀속 [abstract],지배기업의 소유주에게 귀속되는 지분,3126006321,55268333431,53449577140,35951255036,85303526617,56773126395,38048918921,18395821067
29,총 포괄손익의 귀속 [abstract],비지배지분,1148695659,1094180414,1939905594,914244049,11889831309,2330070608,-3751453393,-5674809549
30,주당이익 [abstract],기본주당이익,181,4004,3888,2316,6034,3603,2595,1942
31,주당이익 [abstract],희석주당이익,180,4000,3884,2283,5901,3557,2559,1571
