,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,679447000000,-288185000000,1143294000000,1721991000000,2475550000000,879201000000,793075000000,735089000000
1,영업활동현금흐름,영업으로부터 창출된 현금흐름,810225000000,174707000000,1629614000000,1711592000000,2586187000000,942640000000,1024016000000,1148748000000
2,영업활동현금흐름,이자의 수취,13169000000,30644000000,62778000000,44023000000,30579000000,29286000000,41900000000,40185000000
3,영업활동현금흐름,이자의 지급,180115000000,153465000000,112975000000,-82982000000,-57116000000,-47498000000,-56568000000,-87314000000
4,영업활동현금흐름,법인세의 납부(환급),-31471000000,346008000000,443445000000,,,-52382000000,-224366000000,-372120000000
5,영업활동현금흐름,배당금의 수취,4697000000,5937000000,7322000000,9723000000,5600000000,7155000000,8093000000,5590000000
6,투자활동현금흐름,투자활동현금흐름,-1069455000000,-415203000000,-832240000000,-1966919000000,-2801853000000,-964197000000,-95500000000,-597275000000
7,투자활동현금흐름,유형자산의 처분,6219000000,462000000,2582000000,7121000000,3400000000,1230000000,1444000000,4090000000
8,투자활동현금흐름,무형자산의 처분,383000000,330000000,460000000,2203000000,3058000000,14000000,326000000,1149000000
9,투자활동현금흐름,기타채권의 감소,19302000000,19856000000,21235000000,16632000000,23865000000,24915000000,28845000000,30410000000
10,투자활동현금흐름,관계기업투자주식의처분,398000000,,,,,,,
11,투자활동현금흐름,기타금융자산의 감소,4500000000,1673099000000,1722739000000,,731000000,32784000000,366244000000,
12,투자활동현금흐름,기타투자활동 현금유입,1664000000,2373000000,9363000000,5384000000,7035000000,3949000000,4445000000,3872000000
13,투자활동현금흐름,유형자산의 취득,827344000000,2041370000000,2414079000000,-1063572000000,-654448000000,-912255000000,-446242000000,-187346000000
14,투자활동현금흐름,무형자산의 취득,263000000,339000000,1768000000,-8884000000,-6109000000,-1344000000,-6815000000,-2768000000
15,투자활동현금흐름,당기손익-공정가치 측정 금융자산의 취득,7634000000,,,,,,,
16,투자활동현금흐름,종속기업의 취득(보유 현금 차감 후),,,120459000000,,,,,
17,투자활동현금흐름,관계기업투자주식의 취득,,,103000000,-138000000,-399000000,-264000000,,
18,투자활동현금흐름,기타채권의 증가,9156000000,27545000000,16306000000,-8468000000,-21277000000,-24598000000,-27191000000,-15931000000
19,투자활동현금흐름,파생상품자산·부채의 정산,-32509000000,-36597000000,-32592000000,,49229000000,3509000000,-11150000000,16745000000
20,투자활동현금흐름,기타금융자산의 증가,222084000000,5472000000,,-935554000000,-2052971000000,-87859000000,,-442880000000
21,투자활동현금흐름,기타투자활동 현금유출,2931000000,,3312000000,-4775000000,-153967000000,-4278000000,-5406000000,-4616000000
22,재무활동현금흐름,재무활동현금흐름,16457000000,887788000000,-598264000000,811125000000,-184101000000,211868000000,-547369000000,-580265000000
23,재무활동현금흐름,차입금의 증가,669099000000,1520510000000,923125000000,1032310000000,698919000000,798289000000,76636000000,504186000000
24,재무활동현금흐름,차입금의 상환,576095000000,14183000000,717994000000,-11544000000,-754865000000,-466250000000,-315435000000,-659437000000
25,재무활동현금흐름,기타채무의 감소,47310000000,1430000000,,,,,,
26,재무활동현금흐름,배당금의 지급,29237000000,617109000000,803395000000,-209641000000,-128155000000,-120171000000,-308570000000,-425014000000
27,현금및현금성자산의 증가(감소),현금및현금성자산의 증가(감소),-373551000000,184400000000,-287210000000,566197000000,-510404000000,126872000000,150206000000,-442451000000
28,기초현금및현금성자산,기초현금및현금성자산,664506000000,480052000000,767438000000,201203000000,711525000000,584603000000,434414000000,876954000000
29,현금및현금성자산에 대한 환율변동효과,현금및현금성자산에 대한 환율변동효과,50000000,54000000,-176000000,38000000,82000000,50000000,-17000000,-89000000
30,기말의 현금및현금성자산,기말의 현금및현금성자산,291005000000,664506000000,480052000000,767438000000,201203000000,711525000000,584603000000,434414000000
