,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,24394173000000,25463295000000,20891374000000,16321843000000,17890272000000,28557562000000,31158528000000,34723291000000
1,매출원가,매출원가,23346806000000,24200246000000,18783141000000,-14020892000000,-16438773000000,-28282216000000,-30229317000000,-33410816000000
2,매출총이익,매출총이익,1047367000000,1263049000000,2108233000000,2300951000000,1451499000000,275346000000,929211000000,1312475000000
3,판매비와관리비,판매비와관리비,627290000000,623589000000,734968000000,,,,,
4,영업손익,영업손익,420077000000,639460000000,1373265000000,1616889000000,817604000000,-289704000000,366044000000,781764000000
5,기타수익,기타수익,370423000000,261777000000,377085000000,486419000000,485716000000,475180000000,511185000000,482250000000
6,기타비용,기타비용,440571000000,452899000000,314010000000,-475037000000,-392871000000,-468024000000,-537965000000,-706021000000
7,금융수익,금융수익,163408000000,116667000000,330283000000,185006000000,145963000000,220233000000,290884000000,369502000000
8,금융비용,금융비용,405536000000,237336000000,126884000000,-244830000000,-253480000000,-329258000000,-250001000000,-194536000000
9,공동기업및관계기업투자주식지분법손익,공동기업및관계기업투자주식지분법손익,2550000000,4120000000,5130000000,6649000000,9799000000,6041000000,7082000000,-14013000000
10,법인세비용차감전분기순손익,법인세비용차감전분기순손익,110351000000,331789000000,1644869000000,1575096000000,812731000000,-385532000000,387229000000,718946000000
11,법인세비용(수익),법인세비용(수익),44922000000,73754000000,398380000000,-369732000000,-181409000000,97704000000,-97590000000,-133786000000
12,당기순이익,당기순이익,65429000000,258035000000,1246489000000,1205364000000,631322000000,-287828000000,289639000000,585160000000
13,기타포괄손익(법인세효과 차감 후),기타포괄손익(법인세효과 차감 후),-8836000000,-14296000000,7945000000,5957000000,-22263000000,-37153000000,-3064000000,-9410000000
14,기타포괄손익(법인세효과 차감 후),당기손익으로 재분류되지 않는 항목,-8843000000,-15553000000,9636000000,6572000000,-22419000000,-12569000000,-2370000000,-18635000000
15,기타포괄손익(법인세효과 차감 후),순확정급여자산부채의 재측정요소,-11114000000,-15977000000,9636000000,6572000000,-22419000000,,,
16,기타포괄손익(법인세효과 차감 후),기타포괄손익-공정가치 지분상품 평가손익,2271000000,432000000,,,,,,
17,기타포괄손익(법인세효과 차감 후),기타포괄손익-공정가지 지분상품 처분손익,,-8000000,,,,,,
18,기타포괄손익(법인세효과 차감 후),후속적으로 당기손익으로 재분류되는 항목,7000000,1257000000,-1691000000,,,,,
19,기타포괄손익(법인세효과 차감 후),매도가능금융자산평가손익(세후기타포괄손익),,,-307000000,-646000000,116000000,-24645000000,-1398000000,7929000000
20,기타포괄손익(법인세효과 차감 후),현금흐름위험회피,,1234000000,-1234000000,,,,686000000,1360000000
21,기타포괄손익(법인세효과 차감 후),공동기업 기타포괄손익에 대한 지분해당액,-25000000,-15000000,-37000000,,-21000000,24000000,31000000,3000000
22,기타포괄손익(법인세효과 차감 후),해외사업환산손익,32000000,38000000,-113000000,31000000,61000000,37000000,-13000000,-67000000
23,총포괄이익(손실),총포괄이익(손실),56593000000,243739000000,1254434000000,1211321000000,609059000000,-324981000000,286575000000,575750000000
24,주당이익(손실),보통주 기본 및 희석주당이익(손실),561,2216,10706,10353000000,5422000000,-2473000000,2487000000,5025000000
25,주당이익(손실),우선주 기본 및 희석주당이익(손실),586,2241,10731,10378000000,5447000000,-2448000000,2512000000,5050000000
