,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,비유동자산,비유동자산,2980268989961,2923003849049,2770159376764,2727340182339,2901087774203,2745925195320,2780360615456,2702004322018
1,비유동자산,유형자산,2115916732340,1978552148784,1903207598211,1866086997503,2079058179469,2213109359801,2196917492846,2085967001177
2,비유동자산,무형자산,254693648214,232504633413,209155210447,146233731371,145841234546,174745527563,119417274476,112569929562
3,비유동자산,투자부동산,38230215681,55110600382,55582429443,117494546262,107653240906,110656627951,115060415245,118228086294
4,비유동자산,장기금융상품,46000000,46873082,46000000,135000000,3454100000,5456600000,68500000,68500000
5,비유동자산,종속기업및관계(공동)기업투자,494701786514,589991738841,535940644485,545074734377,507652716518,174764500278,245160259968,253503919881
6,비유동자산,매도가능금융자산,4632429403,5321097284,7042873518,10138584316,11101117854,10233794931,26238231850,37567897027
7,비유동자산,장기기타채권,17356457607,15745412220,14360601947,29986384249,32950002069,36816020841,31320904784,30656820029
8,비유동자산,비유동파생상품자산,2268185727,792995128,,,,,,
9,비유동자산,이연법인세자산,44409322427,39842948736,39451449174,9558294146,10479073268,15489246218,24516314620,41278439531
10,비유동자산,기타비유동자산,8014212048,5095401179,5372569539,2307570142,2898109573,4653517737,21608898504,21472235586
11,유동자산,유동자산,992719762193,910124832044,897152436758,801499331687,787109119558,940825884033,805439067899,789291849626
12,유동자산,매출채권,372574481700,338638598468,363068968498,373652474325,388610173007,298797180723,381609582441,320141921459
13,유동자산,기타채권,15838136668,7762338909,4783263220,8768998200,14962291079,19860681274,15797068084,18475109852
14,유동자산,파생금융자산,1564522122,924576959,167550766,1160352003,151882510,318871652,118403214,25579770
15,유동자산,기타유동자산,66103576513,48256455705,52913545235,48478688273,45295502236,54637846450,44482640204,42995444702
16,유동자산,재고자산,385658113202,353201994796,299316350342,253488993764,283755027574,325590805040,324533616136,344281857297
17,유동자산,단기금융상품,10194754,188076,180220,10300203270,15310197142,4936670579,16050064835,8170000000
18,유동자산,현금및현금성자산,79957905564,160388218414,175996299108,105007879854,38530264133,51630689113,22592419883,49534035135
19,유동자산,당기법인세자산,1324881041,952460717,906279369,641741998,493781877,942308643,255273102,466728825
20,유동자산,매각예정자산,69687950629,,,,,184110830559,,5201172586
21,자산총계,자산총계,3972988752154,3833128681093,3667311813522,3528839514026,3688196893761,3686751079353,3585799683355,3491296171644
22,지배기업소유주지분,지배기업소유주지분,1559278640017,1532728939172,1450006898254,1405921009494,1443910753077,1217315486739,1182985787430,1151559706965
23,지배기업소유주지분,자본금,187672775000,187672775000,187672775000,187672775000,183985740000,181737565000,181075315000,181075315000
24,지배기업소유주지분,자본잉여금,140828000452,140253346458,139774468130,139774468130,125541831219,157136308779,154534338944,158406325007
25,지배기업소유주지분,자본조정,-108186306414,-108186306414,-108226487739,-89670254388,-1794887507,-1794887507,-1794887507,-1794887507
26,지배기업소유주지분,기타포괄손익누계액,-10987035262,-12435369060,-8196428738,21774619538,6543525946,-3910570639,-2230265751,6168866173
27,지배기업소유주지분,이익잉여금(결손금),1349951206241,1325424493188,1238982571601,1146369401214,1129634543419,884147071106,851401286744,807704088292
28,비지배지분,비지배지분,167095196853,162071472845,143568428210,118000096716,112393316717,83689576701,22468338554,40066042105
29,자본총계,자본총계,1726373836870,1694800412017,1593575326464,1523921106210,1556304069794,1301005063440,1205454125984,1191625749070
30,비유동부채,비유동부채,1203454950037,1056825625579,872936263226,1142297354761,1075502717874,1053167468548,1243792956212,1045696143041
31,비유동부채,기타장기채무,19411113656,22192612457,8998549503,61059403713,58959967047,68880329635,51378952504,43761731322
32,비유동부채,장기차입금및사채,989471372473,825947389703,675606673931,924882481925,879889459119,891790053793,1102774757260,894414294157
33,비유동부채,확정급여부채,27272627830,38906314196,22777070783,12328181868,29382364396,39763120712,30189942640,36281329163
34,비유동부채,비유동파생상품부채,593198303,554173355,224339442,4275175,363316383,1323731303,2883734204,1652348599
35,비유동부채,이연법인세부채,162354028540,165279205386,161351283497,141013824358,102563708677,47326151149,51453366984,64666354731
36,비유동부채,기타비유동부채,4352609235,3945930482,3978346070,3009187722,4343902252,4084081956,5112202620,4920085069
37,유동부채,유동부채,1043159965247,1081502643497,1200800223832,862621053055,1056390106093,1332578547365,1136552601159,1253974279533
38,유동부채,매입채무,228304966070,266846287973,273922365814,278081176671,237000628418,289856865787,393284284147,363346332006
39,유동부채,기타채무,130510134098,173006449813,149596471409,128344293328,112384339729,154768843012,114419915528,107026220711
40,유동부채,단기차입금및유동성장기부채,662850770371,609958246285,739010582600,423611008133,662560349418,817833714928,606558550220,735490001569
41,유동부채,유동파생상품부채,1962146988,120882439,2156750619,160859530,177109527,1530971302,364989353,1028505413
42,유동부채,당기법인세부채,881334969,19977125652,24645719899,20736054804,37775379863,21201521373,10314631580,38155632232
43,유동부채,기타유동부채,9800662672,10286073955,10353261540,11140599510,6133951611,16086323907,11082789175,5147191498
44,유동부채,충당부채,8849950079,1307577380,1115071951,547061079,358347527,581236291,527441156,528474876
45,부채총계,부채총계,2246614915284,2138328269076,2073736487058,2004918407816,2131892823967,2385746015913,2380345557371,2299670422574
46,,자본과부채총계,3972988752154,3833128681093,3667311813522,3528839514026,3688196893761,3686751079353,3585799683355,3491296171644
