,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,40533569102,231587575579,209334786887,249101740288,108497026279,189539391508,149922371180,118762671902
1,영업활동현금흐름,당기순이익(손실),67392287037,141041714507,136346624797,29262916133,245594083582,43307997481,25737659251,49025922483
2,영업활동현금흐름,당기순이익조정을 위한 가감,251766126153,200520308182,171117534981,252422534340,134496166332,243978495558,230877925684,216190746563
3,영업활동현금흐름,감가상각비,133966214496,118327887050,117266339793,120148647678,136210514701,129918323548,114982297384,97782524262
4,영업활동현금흐름,무형자산상각비,9048506491,8059982895,5184337198,4675150749,6551348602,6908706665,6157091149,6583268430
5,영업활동현금흐름,투자부동산감가상각비,329408578,471829061,,,,,,
6,영업활동현금흐름,퇴직급여,20311698915,19521216538,19146109062,13069173305,25085570757,18884954170,18621874835,16332433084
7,영업활동현금흐름,대손상각비(대손충당금환입),1507488720,1116410952,2237270400,10218379931,4291032893,5469451294,-105136570,1574483554
8,영업활동현금흐름,기타의 대손상각비,,923195370,-7726900684,-1950099959,,,,
9,영업활동현금흐름,외화환산손실,6235685342,9377320180,6911904733,9419888958,8342623741,2955400671,1712935292,2466072931
10,영업활동현금흐름,매도가능금융자산손상차손,,,877776628,363711581,1001870174,2033155256,2154886515,287320000
11,영업활동현금흐름,지분법손실,10726577043,120087665,5943218998,1015063567,23738495466,19260738218,8859905329,863564344
12,영업활동현금흐름,당기손익인식금융자산평가손실,,330000000,,,,,,
13,영업활동현금흐름,파생상품평가손실,2461436483,501036586,2735595992,155285096,185956514,1069813291,1749984221,2485197315
14,영업활동현금흐름,유형자산처분손실,1077241999,149549418,1304611135,2825458669,1815439361,727485882,339816893,45196130
15,영업활동현금흐름,유형자산폐기손실,337950854,5467328,865369038,1381989800,67411088,223518372,18380535,176359427
16,영업활동현금흐름,유형자산손상차손,8728368803,17012334549,33938340738,36172235145,101708794946,,,
17,영업활동현금흐름,무형자산처분손실,,46062136,148632000,284608426,11835640,195375704,147852374,1083160553
18,영업활동현금흐름,무형자산손상차손,4435438795,3772419672,3961439522,2070032097,28738604301,7430136506,1934920097,1175736269
19,영업활동현금흐름,투자부동산폐기손실,2532050283,,,,,,,
20,영업활동현금흐름,이자비용,56559936171,51923715577,46084203125,49237945961,61360974630,72431812084,76702998756,66160493123
21,영업활동현금흐름,법인세비용,5951080682,41064845549,44351162971,71023855430,124378047952,28555090580,22233428762,47914478046
22,영업활동현금흐름,주식보상비용,574653994,478878328,,,,,,
23,영업활동현금흐름,소송충당부채전입액,7799625000,,,,,,,
24,영업활동현금흐름,기타의 대손충당금환입,13001590,,,-1950099959,,,,
25,영업활동현금흐름,외화환산이익,4547368502,5911587152,7727033187,-5658695571,-3739270159,-4248037314,-3471464334,-8906611560
26,영업활동현금흐름,금융자산처분이익,,,11176200,,,,,
27,영업활동현금흐름,투자자산처분이익,,245683844,24587071854,,,,,
28,영업활동현금흐름,관계기업투자처분이익,,130557686,,,-31132900,-7690108061,,
29,영업활동현금흐름,지분법이익,9386036325,63003149403,74027190308,-27863345025,-11117343872,-13185854896,-16282603152,-15165808542
30,영업활동현금흐름,유형자산처분이익,44690856,519968242,1751558738,-250660794,-280911723,-865968251,-541720276,-192207002
31,영업활동현금흐름,무형자산처분이익,,13608366,,-996481838,-73380518,,-27760737,
32,영업활동현금흐름,투자부동산처분이익,43750000,,,-1040389510,,-1786979,,
33,영업활동현금흐름,무형자산손상차손환입,1231074160,,,,,,,
34,영업활동현금흐름,파생상품평가이익,3531012587,1775752973,158791951,-1861856163,-1111970311,-1677517745,-118403214,-25579770
35,영업활동현금흐름,영업양도차익,,,-870888152,,,,,
36,영업활동현금흐름,이자수익,1684934276,1074904806,1327213828,-983494073,-2569789417,-2466908215,-2396099388,-2939033744
37,영업활동현금흐름,배당금수익,-7368200,-6718200,-5651450,-388526781,-5418200,-297855000,-316460000,-401260500
38,영업활동현금흐름,당기손익인식금융자산평가이익,328000000,,,,,,,
39,영업활동현금흐름,기타영업활동으로 인한 현금흐름,,,-1645300000,-845147244,-306005346,230035027,-412950119,-89820253
40,영업활동현금흐름,영업활동으로인한자산ㆍ부채의변동,-212130662189,-31071826367,-13643878417,74889347476,-177472076691,-37736136666,-2873774596,-36681975468
41,영업활동현금흐름,매출채권의 감소(증가),-24635135982,22432262079,29666471549,-2044239285,-79524258083,289312143059,93502660802,174346888956
42,영업활동현금흐름,미수금의 감소(증가),3426274942,-1353734117,-37789233016,18728534710,-991886665,-15016820291,2434416365,-190728665
43,영업활동현금흐름,미수수익의 감소(증가),,,312269135,457533512,800001340,237872575,18121431,-32020508
44,영업활동현금흐름,선급금의 감소(증가),-4763359571,-1541968256,-1762331599,4019196347,661931870,-4762871846,-820575582,1575697699
45,영업활동현금흐름,선급비용의 감소(증가),-13184190648,9673195399,-4555497898,-8211675667,6456893476,-12966342211,970565833,-13457399673
46,영업활동현금흐름,보증금의 감소(증가),417440548,-568072603,192970000,-4410000,-1504125,-34000000,5144639753,928868351
47,영업활동현금흐름,부가가치세 선급금의 감소(증가),-10982519644,-4708942533,4728935165,-3011788215,25778265,7003810818,3868495722,-3022885765
48,영업활동현금흐름,재고자산의 감소(증가),-32329965067,-52255170847,-11928822487,30266033810,52102848102,-10488277757,34300972827,-45737544649
49,영업활동현금흐름,파생상품자산의 감소(증가),845999761,-2033250569,-119173052,-777841768,-479289861,-170250106,-1526593610,-191320347
50,영업활동현금흐름,장기미수금의 감소(증가),,,13230173037,3715228430,3671039015,-11795729877,240000000,-5960000000
51,영업활동현금흐름,장기선급비용의 감소(증가),474489295,334396102,431199171,-105962780,-69464072,17041310469,275228150,818605978
52,영업활동현금흐름,매입채무의 증가(감소),-46322982859,-3871262601,-14816194054,39999408769,-70316165247,-305292327286,-133992913509,-122682296902
53,영업활동현금흐름,선수금의 증가(감소),-2983309537,209962441,513945481,5888903044,-3519099741,3376866047,765187516,-598826507
54,영업활동현금흐름,예수금의 증가(감소),2293232450,184280319,742226814,-1800786533,-5627026444,-1252660537,4922416583,1960554982
55,영업활동현금흐름,미지급금의 증가(감소),-58719223681,26999464990,6445899762,16807451765,-34768634988,19795830197,17135727455,-8794780019
56,영업활동현금흐름,미지급비용의 증가(감소),-3277841005,-8941659894,9296045936,-1417595611,-2667641460,11292213641,-5098123806,5179842167
57,영업활동현금흐름,부가가치세 예수금의 증가(감소),7410479963,136714947,961651284,3267876834,2462930622,-3309220,601064167,-404421788
58,영업활동현금흐름,충당부채의 증가(감소),-464853096,192505429,713053767,-989775979,-222888764,338309052,507857376,700616487
59,영업활동현금흐름,장기미지급금의 증가(감소),433873297,-228121476,-349612582,-1996928510,-3569004043,11477529978,-62592348,774889926
60,영업활동현금흐름,임대보증금의 증가(감소),,,1473303644,-10000000,-627762000,-71523000,-969664000,18900000
61,영업활동현금흐름,확정급여채무의증가(감소),-9846330014,-9830510241,-7544271344,-51384454154,-32972101868,-10806805000,-6664503135,-12994364591
62,영업활동현금흐름,사외적립자산의감소(증가),-20329420094,-5869499348,-3685722979,24480915963,-7990766674,-25181530000,-12834855923,-7901561996
63,영업활동현금흐름,기타비유동부채의 증가(감소),406678753,-32415588,1120736541,-534403040,,,-412950119,-89820253
64,영업활동현금흐름,기타영업활동으로 인한 현금흐름,,,-921900692,-539139054,-306005346,230035027,,
65,영업활동현금흐름,배당금수취(영업),24122410550,11368162340,6788946050,1548402581,2039500911,14212564500,12862807506,908301300
66,영업활동현금흐름,이자수취(영업),1334588325,774504676,3102592920,956274021,464272719,979053080,884237600,488936142
67,영업활동현금흐름,이자지급(영업),57515310838,51887673462,46939513604,,,,,
68,영업활동현금흐름,법인세 납부,34435869936,39157614297,47444610689,,,,,
69,영업활동현금흐름,법인세 환급,,,7090849,6182097,3147036986,3494890100,510708,7036888662
70,투자활동현금흐름,투자활동현금흐름,-272724580025,-212784269012,-175691127296,-3908099961,-96184790644,-84421279954,-242790039364,-458355913043
71,투자활동현금흐름,단기대여금의 회수,2400000,,6704212087,2029478215,2213360000,8189500,850636630,60650048
72,투자활동현금흐름,단기금융상품의 처분,100000000,,24600000000,30400000000,3382859516,20657100000,1925000000,7750000000
73,투자활동현금흐름,장기금융상품의 처분,,,89000000,1299100000,1434500000,,,
74,투자활동현금흐름,유동성장기대여금의 감소,,,9037501839,611180000,630200000,770000000,494000000,114170000
75,투자활동현금흐름,임차보증금의 감소,3907514017,2911046758,3078987254,1884252116,5198071298,1466594867,5144639753,928868351
76,투자활동현금흐름,예수보증금의 증가,,13700000,,-10000000,-627762000,-71523000,-969664000,18900000
77,투자활동현금흐름,매도가능금융자산의 처분,454500000,75519327,311176200,3518672545,13619465018,5068000000,2009617326,15603142558
78,투자활동현금흐름,관계(공동)기업투자지분의 처분,,130454700,,,,,,
79,투자활동현금흐름,관계기업에 대한 투자자산의 처분,,557327450,6242083420,,547983061,61477610000,2479000000,
80,투자활동현금흐름,토지의 처분,,525743846,6399097759,16361305,124520000,5760736124,811724100,
81,투자활동현금흐름,건물의 처분,,965961616,1841189195,,2104147841,35910443,,
82,투자활동현금흐름,구축물의 처분,,2932306,10770426,2044184,142437941,120964932,,
83,투자활동현금흐름,기계장치의 처분,194974872,1024471601,632759958,3196768318,1946234973,205012300,3164504256,178236800
84,투자활동현금흐름,기계장치의 폐기,,,-270700000,,,,,
85,투자활동현금흐름,차량운반구의 처분,2727273,304144279,49828026,129417225,253582211,128339230,56899091,116246668
86,투자활동현금흐름,공기구비품의 처분,5398727,51399005,71289809,22401256,62764601,2450143532,148485473,536482210
87,투자활동현금흐름,기타유형자산의 처분,,98808944,47453499,50595285,7136328,,,
88,투자활동현금흐름,건설중인자산의 처분,8000000,260786122,,4735560,752913116,2075351194,,813500000
89,투자활동현금흐름,리스채권의 회수,528417276,,,,,,,
90,투자활동현금흐름,산업재산권의 처분,,608366,,1000000000,,,,
91,투자활동현금흐름,회원권의 처분,,118640000,392300600,2316386747,333601818,1508874856,1419009090,2588211819
92,투자활동현금흐름,기타무형자산의 처분,,44000000,,2500000,1787481248,,,
93,투자활동현금흐름,투자부동산의 처분,14150000000,,,1539892510,,1210000000,,
94,투자활동현금흐름,정부보조금의 수취,,898560000,,,,,,
95,투자활동현금흐름,영업양도로 인한 현금증가,,,2500000000,,,,,
96,투자활동현금흐름,단기대여금의 증가,7075768033,579508384,10919276020,-4900000000,-2210583707,-2300000000,-200000000,-619716811
97,투자활동현금흐름,단기금융상품의 취득,110000000,,14300456985,-21300000000,-9367000000,-7833100000,-9459000000,-10395000000
98,투자활동현금흐름,임차보증금의 증가,4574755156,4487554286,5776898333,,,,,
99,투자활동현금흐름,예수보증금의감소,-10000000,-44000000,,,,,,
100,투자활동현금흐름,매도가능금융자산의 취득,100000000,,147000000,-1361344196,-9412777472,-4111652540,-50409000,-837320000
