,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,2539766499160,2767834347283,2653544415383,2359440143632,2465721171654,2802235022211,2641403172466,2629170921084
1,매출원가,매출원가,2096888285521,2289106109057,2227350357817,-1949486064475,-1972627140308,-2361291546953,2231552661197,2207847128147
2,매출총이익,매출총이익,442878213639,478728238226,426194057566,409954079157,493094031346,440943475258,409850511269,421323792937
3,판매비와관리비,판매비와관리비,287797403999,277599086475,250499319897,-260653169411,-275172700345,-288565523925,285847831399,276592196706
4,영업이익(손실),영업이익(손실),155080809640,201129151751,175694737669,149300909746,217921331001,152377951333,124002679870,144731596231
5,지분법손익,지분법손익,-1340540718,62883061738,68083971310,26848281458,-12621151594,-6074883322,7422697823,14302244198
6,지분법손익,지분법이익,9386036325,63003149403,74027190308,27863345025,11117343872,13185854896,16282603152,15165808542
7,지분법손익,지분법손실,-10726577043,-120087665,-5943218998,-1015063567,-23738495466,-19260738218,8859905329,863564344
8,기타이익,기타이익,3212208258,4571481646,39171271852,9027954026,383923680383,40081697749,12355115385,14311738080
9,기타손실,기타손실,30700126110,32952405125,52322487954,,,,,
10,금융수익,금융수익,32950728635,30270149702,25337822530,30600237783,31156417359,31971337565,26577613516,33791181898
11,금융원가,금융원가,85859711986,83794879656,75267527639,-76783560411,-83834653079,-103007479006,107168369322,95196057129
12,법인세비용차감전순이익(손실),법인세비용차감전순이익(손실),73343367719,182106560056,180697787768,119639706149,415502708472,71863088061,47971088013,96940400529
13,법인세비용,법인세비용,5951080682,41064845549,44351162971,-58493960479,-120857086184,-28555090580,22233428762,47914478046
14,당기순이익(손실),당기순이익(손실),67392287037,141041714507,136346624797,61145745670,294645622288,43307997481,25737659251,49025922483
15,기타포괄손익,기타포괄손익,2275062757,-7128153124,-22067662343,15241940485,4237111486,-20380516776,-2297519541,-19302719724
16,기타포괄손익,"후속적으로 당기손익으로
 재분류되지 않는 기타포괄손익",1074992908,-11691373242,7420862290,682165791,-6643196759,-19435908073,5766551978,-7628460069
17,기타포괄손익,매도가능금융자산평가손익,-1048436,-1858898059,-1888719930,391005822,-121461846,-5833153731,-5292190655,3103816755
18,기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),936684391,-9339775351,9959959717,717560921,-5753750402,-19395109141,4289672712,-6031375040
19,기타포괄손익,관계기업 확정급여제도의 재측정요소,139356953,-492699832,-650377497,-35395130,-889446357,-40798932,1476879266,-1597085029
20,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),1200069849,4563220118,-29488524633,,,,,
21,기타포괄손익,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-2284474832,4290746505,-13417055788,10923860087,1264204522,61732793,-1545450388,-2809475507
22,기타포괄손익,해외사업장환산외환차이(세후기타포괄손익),3484544681,272473613,-16071468845,3974534161,9016550890,4584957123,-1216297538,-12038367013
23,총포괄손익,총포괄손익,69667349794,133913561383,114278962454,44504856618,249831195068,22927480705,23440139710,12507942230
24,당기순이익(손실)의 귀속 [abstract],지배기업소유주지분,59714080104,120581991263,110029280500,42845765275,272186758246,69492872440,56769790997,66022695348
25,당기순이익(손실)의 귀속 [abstract],비지배지분,7678206933,20459723244,26317344297,-13582849142,-26592674664,-26184874959,-31032131746,-34212033394
26,총 포괄손익의 귀속 [abstract],지배기업소유주지분,61400878086,114081479865,89672752111,59347157637,275773820898,49028574474,53293297230,48556025796
27,총 포괄손익의 귀속 [abstract],비지배지분,8266471708,19832081518,24606210343,-14842301019,-25942625830,-26101093769,-29853157520,-36048083566
28,주당이익 [abstract],기본주당이익(손실),1686,3404,3104,1162,7488,1931,1580,1838
29,주당이익 [abstract],희석주당이익(손실),1686,3404,3104,1250,8065,1931,1580,2065
