,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동으로 인한 현금흐름,영업활동으로 인한 현금흐름,,,,,,5536309000000,5363929000000,5332542000000
1,영업활동으로 인한 현금흐름,당기순이익,,,,,,388734000000,921291000000,2764596000000
2,영업활동으로 인한 현금흐름,비현금항목 조정,,,,,,6779951000000,6975453000000,6093346000000
3,영업활동으로 인한 현금흐름,운전자본 조정,,,,,,-81615000000,-812926000000,-1363442000000
4,영업활동으로 인한 현금흐름,이자의 수취,,,,,,210898000000,254565000000,314568000000
5,영업활동으로 인한 현금흐름,이자의 지급,,,,,,1073813000000,1159832000000,1328467000000
6,영업활동으로 인한 현금흐름,배당금의 수취,,,,,,152906000000,107734000000,102732000000
7,영업활동으로 인한 현금흐름,법인세의 납부,,,,,,840752000000,922356000000,1250791000000
8,투자활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,,,,,,-7408169000000,-5133996000000,-9410834000000
9,투자활동으로 인한 현금흐름,장단기금융상품의 순증감,,,,,,-257965000000,203406000000,-242907000000
10,투자활동으로 인한 현금흐름,장단기대여금의 순증감,,,,,,-24259000000,1086453000000,35820000000
11,투자활동으로 인한 현금흐름,매도가능금융자산의 처분,,,,,,111504000000,338516000000,934910000000
12,투자활동으로 인한 현금흐름,관계기업및공동기업투자의 처분,,,,,,91802000000,196240000000,55273000000
13,투자활동으로 인한 현금흐름,유형자산의 처분,,,,,,186562000000,271302000000,442830000000
14,투자활동으로 인한 현금흐름,무형자산의 처분,,,,,,31775000000,10182000000,64325000000
15,투자활동으로 인한 현금흐름,투자부동산의 처분,,,,,,5032000000,8264000000,127906000000
16,투자활동으로 인한 현금흐름,매각예정자산의 처분,,,,,,343368000000,58939000000,54752000000
17,투자활동으로 인한 현금흐름,매도가능금융자산의 취득,,,,,,250353000000,80783000000,722223000000
18,투자활동으로 인한 현금흐름,관계기업및공동기업투자의 취득,,,,,,596988000000,306084000000,3374232000000
19,투자활동으로 인한 현금흐름,유형자산의 취득,,,,,,5662673000000,6727424000000,6396172000000
20,투자활동으로 인한 현금흐름,무형자산의 취득,,,,,,1142497000000,491940000000,459831000000
21,투자활동으로 인한 현금흐름,투자부동산의 취득,,,,,,244000000,9509000000,17792000000
22,투자활동으로 인한 현금흐름,연결범위변동으로 인한 현금의 순증감,,,,,,-253311000000,234814000000,6784000000
23,투자활동으로 인한 현금흐름,기타투자활동으로 인한 현금유출입액,,,,,,10078000000,73628000000,79723000000
24,재무활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,,,,,,1138052000000,522286000000,1883345000000
25,재무활동으로 인한 현금흐름,단기차입금의 순증감,,,,,,959543000000,-506320000000,-952626000000
26,재무활동으로 인한 현금흐름,유동성장기부채의 상환,,,,,,-2655200000000,-3389623000000,-4168293000000
27,재무활동으로 인한 현금흐름,사채및차입금의 증가,,,,,,6650400000000,7772097000000,9718035000000
28,재무활동으로 인한 현금흐름,장기미지급금의 증가,,,,,,0,494524000000,394149000000
29,재무활동으로 인한 현금흐름,연결자본거래로 인한 현금유입액,,,,,,449653000000,1466411000000,874120000000
30,재무활동으로 인한 현금흐름,사채및차입금의 감소,,,,,,-2349754000000,-3304160000000,-3156747000000
31,재무활동으로 인한 현금흐름,장기미지급금의 감소,,,,,,-207805000000,-274312000000,-92158000000
32,재무활동으로 인한 현금흐름,배당금의 지급,,,,,,835056000000,829514000000,76771000000
33,재무활동으로 인한 현금흐름,자기주식의 취득,,,,,,854800000000,0,0
34,재무활동으로 인한 현금흐름,기타재무활동으로 인한 현금유출입액,,,,,,-18929000000,27415000000,104964000000
35,재무활동으로 인한 현금흐름,연결자본거래로 인한 현금유출액,,,,,,0,-934232000000,-761328000000
36,현금및현금성자산의순증감,현금및현금성자산의순증감,,,,,,-733808000000,752219000000,-2194947000000
37,중단사업으로 인한 현금흐름,중단사업으로 인한 현금흐름,,,,,,-3937000000,210196000000,30198000000
38,외화환산으로 인한 현금 변동,외화환산으로 인한 현금 변동,,,,,,23181000000,-39123000000,-61700000000
39,기초현금및현금성자산,기초현금및현금성자산,,,,,,8048801000000,7145923000000,9372372000000
40,매각예정자산에 포함된 현금및현금성자산,매각예정자산에 포함된 현금및현금성자산,,,,,,-54837000000,-20414000000,0
41,기말현금및현금성자산,기말현금및현금성자산,,,,,,7279400000000,8048801000000,7145923000000
