,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,,,,,,110611115000000,110532697000000,119518635000000
1,매출원가,매출원가,,,,,,103261644000000,101871620000000,109653152000000
2,매출총이익,매출총이익,,,,,,7349471000000,8661077000000,9865483000000
3,판매비와관리비,판매비와관리비,,,,,,4980653000000,5086702000000,5298473000000
4,영업이익,영업이익,,,,,,2368818000000,3574375000000,4567010000000
5,금융수익,금융수익,,,,,,3369888000000,2556916000000,3253082000000
6,금융비용,금융비용,,,,,,4437341000000,3570462000000,4135703000000
7,지분법손익,지분법손익,,,,,,1050274000000,727642000000,81628000000
8,기타영업외수익,기타영업외수익,,,,,,618691000000,621079000000,1056955000000
9,기타영업외비용,기타영업외비용,,,,,,1995501000000,2468512000000,825093000000
10,법인세비용차감전순이익,법인세비용차감전순이익,,,,,,974829000000,1441038000000,3997879000000
11,법인세비용,법인세비용,,,,,,586095000000,519747000000,1233283000000
12,계속영업순이익,계속영업순이익,,,,,,388734000000,921291000000,2764596000000
13,중단영업손익,중단영업손익,,,,,,-47046000000,223647000000,-133774000000
14,당기순이익(손실),당기순이익(손실),,,,,,341688000000,1144938000000,2630822000000
15,당기순이익의 귀속,지배기업소유주지분순이익(손실),,,,,,-533412000000,282578000000,1048893000000
16,당기순이익의 귀속,비지배지분순이익,,,,,,875100000000,862360000000,1581929000000
17,기타포괄손익,기타포괄손익,,,,,,37273000000,-16996000000,-774738000000
18,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,,,,,-107550000000,-12240000000,-52090000000
19,기타포괄손익,확정급여제도의 재측정요소,,,,,,-107550000000,-12240000000,-52090000000
20,기타포괄손익,후속기간에 당기손익으로 재분류되는 항목,,,,,,144823000000,-4756000000,-722648000000
21,기타포괄손익,매도가능금융자산평가손익,,,,,,18532000000,16393000000,-238664000000
22,기타포괄손익,지분법자본변동,,,,,,21454000000,26097000000,-191975000000
23,기타포괄손익,현금흐름위험회피 파생상품평가손익,,,,,,-61182000000,22338000000,-29940000000
24,기타포괄손익,해외사업환산손익,,,,,,154359000000,-70298000000,-239122000000
25,기타포괄손익,표시통화환산손익,,,,,,11660000000,714000000,-22947000000
26,총포괄이익,총포괄이익,,,,,,378961000000,1127942000000,1856084000000
27,총포괄이익의 귀속,지배기업소유주지분,,,,,,-518583000000,287506000000,781824000000
28,총포괄이익의 귀속,비지배지분,,,,,,897544000000,840436000000,1074260000000
29,주당이익 [abstract],기본주당계속영업이익(손실)(단위:원),,,,,,-13723000000,4623000000,26594000000
30,주당이익 [abstract],기본주당이익(손실)(단위:원),,,,,,-13974,6949,25881
