,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,3965679000000,3253164000000,2609399000000,3418741000000,3923275208345,4292658691303,4464934693825,5098454746503
1,유동자산,현금및현금성자산,496862000000,484466000000,263364000000,696360000000,1128967455434,1291768823247,1306526351273,1211942547193
2,유동자산,단기금융상품,11511000000,19117000000,7448000000,10326000000,8104928237,11568741325,27575572825,50856451261
3,유동자산,단기투자증권,45000000,45000000,,,,,,
4,유동자산,만기보유금융자산,,,45000000,67000000,44999992,44999992,44999992,44999992
5,유동자산,매출채권,912075000000,1144439000000,1145129000000,1435769000000,1236232759141,1460284721493,1491886234005,1897130303195
6,유동자산,파생금융자산,502000000,2358000000,1060000000,35059000000,25915772864,43782291907,3489885398,28513393822
7,유동자산,유동성금융리스채권,32633000000,,,,,,,
8,유동자산,기타금융자산,115522000000,80746000000,101948000000,136457000000,248350714425,195599344957,201752839774,361214654071
9,유동자산,기타유동자산,155587000000,292129000000,193134000000,124695000000,109553027871,140572478308,98551269859,99394929977
10,유동자산,재고자산,731912000000,1008017000000,635348000000,550071000000,1141744143548,948187290955,979452190793,1432551313992
11,유동자산,매각예정비유동자산,1509030000000,221847000000,261923000000,429937000000,24361406833,200849999119,355655349906,16806153000
12,비유동자산,비유동자산,6173093000000,4515878000000,4617973000000,5201576000000,4279876875618,4212050653735,4414440170000,5528618531982
13,비유동자산,장기금융상품,55000000,50000000,50000000,56000000,245500000,809589000,47500000,22248269121
14,비유동자산,장기매출채권,14599000000,,,,,,,
15,비유동자산,장기투자증권,81263000000,71072000000,,,,,,
16,비유동자산,매도가능금융자산,,,50232000000,40772000000,54157584148,114291560621,143509064752,208059860991
17,비유동자산,만기보유금융자산,,,825000000,870000000,44999992,44999992,44999992,44999992
18,비유동자산,관계기업 및 공동기업투자,23625000000,21290000000,18670000000,127960000000,132690223755,156444916027,416577720650,1208576449469
19,비유동자산,파생금융자산,1751000000,379000000,,35059000000,25915772864,43782291907,3489885398,28513393822
20,비유동자산,금융리스채권,124456000000,,,,,,,
21,비유동자산,기타금융자산,51523000000,116215000000,112458000000,167357000000,248350714425,195599344957,201752839774,361214654071
22,비유동자산,유형자산,3341839000000,3399690000000,3540077000000,3985113000000,3518873878258,3515338944614,3333689868563,3578846335347
23,비유동자산,영업권 및 무형자산,763820000000,561346000000,555098000000,559720000000,,,,
24,비유동자산,투자부동산,91190000000,96095000000,98611000000,105144000000,105043758991,35443617941,32340065072,63194936547
25,비유동자산,사용권자산,1453279000000,,,,,,,
26,비유동자산,이연법인세자산,147766000000,116107000000,117677000000,62120000000,49115434140,40570318343,51768184533,3894462096
27,비유동자산,기타비유동자산,77927000000,133634000000,124275000000,151899000000,90145302651,49626039079,51570146193,69785859972
28,자산총계,자산총계,10138772000000,7769042000000,7227372000000,8620317000000,8203152083963,8504709345038,8879374863825,10627073278485
29,유동부채,유동부채,4521974000000,3739741000000,3207069000000,4357755000000,4261849930500,4549691529790,4864578311605,5660559935702
30,유동부채,매입채무,1454622000000,1967998000000,1988494000000,2600460000000,2636070086360,2627977294360,2821860963958,3254836713813
31,유동부채,단기차입금,934803000000,848949000000,417019000000,1014531000000,856367743971,,,
32,유동부채,유동성장기부채,805478000000,381728000000,332628000000,167808000000,362466833008,,,
33,유동부채,파생금융부채,10705000000,3476000000,14604000000,14811000000,2263072374,9854662837,47047844551,88474836819
34,유동부채,유동성리스부채,552577000000,,,,,,,
35,유동부채,기타금융부채,350014000000,316675000000,234322000000,256554000000,263829960503,265956767523,266635970481,301465370222
36,유동부채,당기법인세부채,26268000000,6145000000,10877000000,3407000000,25113415535,38349306348,10474924468,42780548091
37,유동부채,유동충당부채,35885000000,6230000000,9129000000,69328000000,669424128,477749525,364353689,616210278
38,유동부채,기타유동부채,101961000000,104808000000,86141000000,167840000000,114348853403,133401543072,148957181221,159127812250
39,유동부채,매각예정부채,249661000000,103732000000,113855000000,63016000000,720541218,691753265,98276731529,
40,비유동부채,비유동부채,3311545000000,1717431000000,1671802000000,1857025000000,1421916397166,1436774894650,1449711790379,1900138675161
41,비유동부채,장기매입채무,2391000000,,,,,,,
42,비유동부채,차입금및사채,1982806000000,1399294000000,1363255000000,1562498000000,1254133093793,1266435590340,1300188490222,1453775990793
43,비유동부채,파생금융부채,2051000000,210000000,1107000000,14811000000,2263072374,9854662837,47047844551,88474836819
44,비유동부채,리스부채,959277000000,,,,,,,
45,비유동부채,기타금융부채,200695000000,156577000000,156872000000,157676000000,263829960503,265956767523,266635970481,301465370222
46,비유동부채,이연법인세부채,85606000000,85831000000,87822000000,86362000000,19986639608,28092700697,20182563750,230442251222
47,비유동부채,순확정급여부채,63870000000,49565000000,36572000000,29721000000,5012912902,4191026342,15536571134,19873839406
48,비유동부채,충당부채,1025000000,10870000000,10647000000,8395000000,8790798550,25568187550,18354798793,616210278
49,비유동부채,기타비유동부채,13824000000,15084000000,15527000000,12373000000,7752975582,2020753028,2263344183,2154228602
50,부채총계,부채총계,7833519000000,5457172000000,4878871000000,6214780000000,5683766327666,5986466424440,6314290101984,7560698610863
51,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,2163380000000,2336629000000,2370219000000,2428001000000,2527801895675,2525600529985,2569128769526,3063871684049
52,지배기업의 소유주에게 귀속되는 자본,자본금,648654000000,648654000000,648654000000,648654000000,648653775000,648653775000,648653775000,648653775000
53,지배기업의 소유주에게 귀속되는 자본,자본잉여금,805908000000,814476000000,814476000000,814503000000,814734979999,814611369251,874412331872,877343245809
54,지배기업의 소유주에게 귀속되는 자본,이익잉여금,812667000000,979131000000,1012341000000,1005009000000,1108153290439,1059429400399,1032379971430,1660932416900
55,지배기업의 소유주에게 귀속되는 자본,기타자본항목,-103849000000,-105632000000,-105252000000,-40165000000,-43740149763,2905985335,13682691224,-123057753660
56,비지배지분,비지배지분,141873000000,-24759000000,-21718000000,-22464000000,-8416139378,-7357609387,-4044007685,2502983573
57,자본총계,자본총계,2305253000000,2311870000000,2348501000000,2405537000000,2519385756297,2518242920598,2565084761841,3066374667622
58,,자본과부채총계,10138772000000,7769042000000,7227372000000,8620317000000,8203152083963,8504709345038,8879374863825,10627073278485
