,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,13054240000000,12645803000000,13469239000000,12904674000000,19523414890021,22408068203616,25975361370229,27935503372187
1,매출원가,매출원가,11939913000000,11735800000000,12579089000000,11972459000000,18427625782527,20667045398746,24065827304970,25923492760930
2,매출총이익,매출총이익,1114327000000,910003000000,890150000000,932215000000,1095789107494,1741022804870,1909534065259,2012010611257
3,판매비와관리비,판매비와관리비,1004955000000,776461000000,774021000000,776767000000,904701599313,1539681242985,1668710530485,1760450648367
4,영업이익(손실),영업이익(손실),109372000000,133542000000,116129000000,155448000000,191087508181,201341561885,240823534774,251559962890
5,금융수익,금융수익,187299000000,162917000000,273774000000,293323000000,248937848597,268255466192,375530084450,438787346980
6,금융원가,금융원가,266262000000,175182000000,280130000000,350061000000,339130251212,366475195199,473293267523,561232180229
7,기타영업외수익,기타영업외수익,22304000000,20100000000,13719000000,27594000000,92961397985,,,
8,기타영업외비용,기타영업외비용,50995000000,51461000000,42263000000,55472000000,61052947300,,,
9,지분법이익(손실),지분법이익(손실),-178000000,-15000000,149000000,-145000000,,,,
10,법인세비용차감전 계속영업이익(손실),법인세비용차감전 계속영업이익(손실),1540000000,89901000000,81378000000,70687000000,124267515731,,,
11,계속영업법인세비용(효익),계속영업법인세비용(효익),30465000000,42114000000,20889000000,26385000000,32706449698,,,
12,계속영업당기순이익(손실),계속영업당기순이익(손실),-28925000000,47787000000,60489000000,,,,,
13,중단영업이익(손실),중단영업이익(손실),-93688000000,-40120000000,-25879000000,,,,,
14,당기순이익(손실),당기순이익(손실),-122613000000,7667000000,34610000000,-81571000000,73038776972,31618236142,-591815229129,11944307546
15,당기연결순이익(손실)의 귀속,지배기업소유주지분,-131538000000,7252000000,33412000000,-81685000000,73515714775,32068893151,-567977722088,48104151736
16,당기연결순이익(손실)의 귀속,비지배지분,8925000000,415000000,1198000000,114000000,-476937803,-450657009,-23837507041,-36159844190
17,기타포괄손익,기타포괄손익,-3948000000,-9821000000,-12274000000,6366000000,-46318931773,-15342152456,130650572722,-177419858037
18,기타포괄손익,후속기간에 당기손익으로 재분류되지 않는 항목,-4770000000,-8912000000,-1290000000,3550000000,,,,
19,기타포괄손익,순확정급여부채의 재측정요소,-7398000000,-13470000000,-1290000000,3550000000,-145176517,-4841195748,-5201125556,-4851513086
20,기타포괄손익,기타포괄손익-공정가치 측정 금융자산 평가이익(손실),2628000000,-786000000,,,,,,
21,기타포괄손익,파생상품평가이익(손실),,5344000000,,4711000000,598831963,4990532036,861209393,1878655679
22,기타포괄손익,후속기간에 당기손익으로 재분류되는 항목,822000000,-909000000,-10984000000,2816000000,,,,
23,기타포괄손익,매도가능금융자산평가손익(세후기타포괄손익),,,1094000000,-788000000,,,13407069613,-10203124487
24,기타포괄손익,지분법자본변동,513000000,147000000,-917000000,1001000000,-36392966510,-12528745897,-4911242502,-35212454666
25,기타포괄손익,부의지분법자본변동,,,5562000000,1236000000,-6804495377,-143576155,138441944116,-89389499147
26,기타포괄손익,파생상품평가이익(손실),-1258000000,-173000000,-9313000000,4711000000,598831963,4990532036,861209393,1878655679
27,기타포괄손익,해외사업환산이익(손실),1567000000,-883000000,-7410000000,-3344000000,-1116400341,-2242367657,-11947282342,-39641922330
28,당기총포괄이익(손실),당기총포괄이익(손실),-126561000000,-2154000000,22336000000,-75205000000,,,,
29,총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",-135613000000,-2218000000,21590000000,-74736000000,73515714775,32068893151,-567977722088,48104151736
30,총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",9052000000,64000000,746000000,-469000000,-476937803,-450657009,-23837507041,-36159844190
31,주당손익,기본주당이익(손실),,,,,,,,
32,주당손익,보통주 기본주당이익(손실),-547,30,136,,,,,
33,주당손익,보통주 기본주당계속영업이익(손실),-161,194,182,175,,,,
