,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,2014933433494,1772394769117,2201964506856,2682065632441,2374138801291,2045618884443,2270812975375,2613434127636
1,유동자산,현금및현금성자산,145271939107,88582094420,293015115955,379171351932,560540762114,324234998732,506230318352,763491834414
2,유동자산,단기금융자산,359065102128,182482037448,137689027029,59463862561,87092694986,122494117356,23799691122,
3,유동자산,매출채권및기타채권,695751462743,796160876364,828431034559,1029003016581,718209374539,824872300950,1102614091868,1143017796365
4,유동자산,파생상품자산,124889642335,258998851466,64001174819,,,,,
5,유동자산,재고자산,427900736768,347679101554,574459893084,665324556858,882096914147,647230204736,581769879006,653391355771
6,유동자산,기타유동금융자산,171503264679,32210374502,9490288623,,,,,
7,유동자산,기타유동자산,54851285734,66281433363,294877972787,233278768980,126199055505,126787262669,56398995027,23584559262
8,유동자산,매각예정자산,35700000000,,,315824075529,,,,
9,비유동자산,비유동자산,2985173538425,3033212977734,2849633637612,,,,,2380510652293
10,비유동자산,장기금융자산,71423207799,292556622780,335761628585,239407868194,225607127378,179218027322,228342448532,
11,비유동자산,매출채권및기타채권,2530461984,,,1029003016581,718209374539,824872300950,1102614091868,1143017796365
12,비유동자산,파생상품자산,16790412030,33437606440,3349000000,,,,,
13,비유동자산,관계기업및공동기업투자,1123595500066,1237698601235,763478961170,,,,,
14,비유동자산,유형자산,1026578335360,1128541396604,1319206339673,2327441669673,2997673829964,2408875657008,1611589216630,1484200696451
15,비유동자산,무형자산,113870513194,269772710506,306825901147,366834459505,352165320994,354044896749,79245599457,87212085105
16,비유동자산,사용권자산,511931943162,,,,,,,
17,비유동자산,투자부동산,,,31367248377,64092012966,75561134758,80322886176,115026845605,108517742720
18,비유동자산,기타금융자산,35429281648,31534283373,41951521719,50151627091,46107753068,37210853222,35889830868,
19,비유동자산,기타자산,35262500000,37712611900,39912500000,42941285284,31593779623,868854455,748843411,887736007
20,비유동자산,이연법인세자산,47761383182,1959144896,7780536941,14409779499,,3206637890,4802151239,1484274561
21,자산총계,자산총계,5000106971919,4805607746851,5051598144468,6545936443866,6595000076679,5554776884871,4860277787120,4993944779929
22,유동부채,유동부채,1684741796378,1697158462848,1577374646374,2307686157167,1387680145008,1527551390357,1687223217809,1901766359166
23,유동부채,매입채무 및 기타채무,433725222759,421101930657,419537074334,623940395276,485981400563,506605299708,756625579891,935655132584
24,유동부채,단기이자부차입금,646602364979,734439189709,844943685962,675332257676,592890853058,675798973748,616581830226,750037235574
25,유동부채,유동성이자부차입금,200064809644,239860760723,130001270000,751310791967,245216814932,284865327068,265281953528,
26,유동부채,파생상품부채,213460392425,250812978089,84920800145,,,,,
27,유동부채,유동성리스부채,73858003180,,,,,,,
28,유동부채,미지급법인세,101176476743,27322110032,29843763870,39152357302,25251405939,31789640889,17534955593,29167264512
29,유동부채,기타유동금융부채,33635300,29455500,160151691,,,,,
30,유동부채,기타유동부채,15820891348,23592038138,67019051167,51004297973,35887409284,28158067146,31161798571,26177835443
31,유동부채,유동성충당부채,,,948849205,1671417888,2452261232,334081798,37100000,66900000
32,비유동부채,비유동부채,992150590927,789880060284,1330628133539,,,,,1353966665991
33,비유동부채,사채,388080288178,448157288063,730498026362,882547297639,1474955288725,1395542125675,907372368814,956944669822
34,비유동부채,장기이자부차입금,67931713124,57600993124,345768113124,442083443486,927541910284,399000906773,337644470411,235316416513
35,비유동부채,파생상품부채,8365759789,41086578982,783218,,,,,
36,비유동부채,리스부채,439073062628,,,,,,,
37,비유동부채,확정급여부채,6468056620,8129431831,8761233826,26722629962,38673350705,33040225025,27497493601,22732315998
38,비유동부채,기타금융부채,31373180374,57478362614,64140912645,,,,,
39,비유동부채,기타부채,118130135,129240517,,,,,,
40,비유동부채,이연법인세부채,50708821981,177272363147,176093691071,143133901890,117780697211,132994960430,113031856992,133710300880
41,비유동부채,충당부채,31578098,25802006,5365373293,21176235873,910176076,834023248,821635477,936136964
42,부채총계,부채총계,2676892387305,2487038523132,2908002779913,3883506413752,4009221013976,3548677282990,3076733334885,3255733025157
43,지배기업소유주지분,지배기업소유주지분,1682663412350,1449509822993,1093577425620,,,,,1290301046691
44,지배기업소유주지분,자본금,111677150000,111677150000,70409290000,135601900000,135601900000,118300860000,118300860000,118300860000
45,지배기업소유주지분,자본잉여금,602116188649,513845081119,229378087470,329410845517,329257141551,147115436786,141262204120,139657575652
46,지배기업소유주지분,기타자본항목,-1109540432094,-1102087556676,-1101651191799,-99492338490,-100609394441,-95724447754,-99397984808,-99397984808
47,지배기업소유주지분,기타포괄손익누계액,-291991428,73738237522,58348816471,53038506565,33865791631,23804530494,30797175310,7442035207
48,지배기업소유주지분,이익잉여금,2078702497223,1852336911028,1837092423478,,,,,
49,비지배지분,비지배지분,640551172264,869059400726,1050017938935,1073164156532,1088233804626,778321194208,512544888458,447910708081
50,자본총계,자본총계,2323214584614,2318569223719,2143595364555,2662430030114,2585779062703,2006099601881,1783544452235,1738211754772
51,,부채와자본총계,5000106971919,4805607746851,5051598144468,6545936443866,6595000076679,5554776884871,4860277787120,4993944779929
