,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,영업활동현금흐름,영업활동현금흐름,217534801999,-158125498532,-130591672859,-32510375486,-65402639598,186360095137,63332734148,416176014214
1,영업활동현금흐름,당기순이익(손실),250196740333,97686062053,801167911903,,,,,156586831641
2,영업활동현금흐름,조정,33057737014,102053236616,-437561970641,169447513449,159577151257,216314916914,307741372910,199954013252
3,영업활동현금흐름,영업활동으로 인한 자산부채의 변동,23434131140,-265931217315,-387783963586,-265478067573,-199262539370,30010392662,-144712229174,163557880998
4,영업활동현금흐름,이자의 수취,2335730901,5412767182,9132769388,8131065585,8571874296,19768871926,22700485743,16478856766
5,영업활동현금흐름,이자의 지급,70512885013,57927492031,67277164344,-93524350546,-92324221822,-64654202585,-58349133515,-60170574990
6,영업활동현금흐름,배당금의 수취,16947791981,10534946329,9796616768,5743845217,8639112861,7682660867,6454766283,3847770000
7,영업활동현금흐름,법인세의 납부,37924444357,49953801366,58065872347,-32695151144,-44974565850,-36726841872,-78317291554,-64078763453
8,투자활동현금흐름,투자활동현금흐름,183485029336,-159429565251,7200366666,-325903568199,-659376768251,-897640138259,-354361133807,-259647587709
9,투자활동현금흐름,단기금융자산의 감소,3207310653870,286482411903,86060160216,,,,,
10,투자활동현금흐름,장기금융자산의 감소,220305414447,13765761819,21582691961,3213901849,14624539307,99110132878,4392079169,
11,투자활동현금흐름,관계기업투자의 처분,303141688470,106499375000,,,,,,
12,투자활동현금흐름,매도가능금융자산의 처분,,,35191603215,2231923597,,,,61998125611
13,투자활동현금흐름,유형자산의 처분,25135203426,726395106,3130781667,7370979108,2664504987,11092276059,46700735527,
14,투자활동현금흐름,무형자산의 처분,1866723119,384021819,4650753927,4822249094,2068738121,3401096819,2603651520,1094946000
15,투자활동현금흐름,정부보조금의 수령,,6804900000,1310410385,1432412552,315897631,4041965345,2504303687,1000000000
16,투자활동현금흐름,파생상품의 거래정산,,21211501665,7306001443,138618217381,17433369934,17763653292,8252407906,
17,투자활동현금흐름,매각예정자산의 처분,4721462129,,237917659880,,,,,
18,투자활동현금흐름,단기금융자산의 증가,3372303840710,139138104233,117537308458,,,,,
19,투자활동현금흐름,장기금융자산의 증가,21805093627,29518574354,23851892155,-10747322076,-49356063150,-24416768461,-1725500492,
20,투자활동현금흐름,관계기업투자의 취득,,128587653801,27795870532,,,,,
21,투자활동현금흐름,당기손익인식자산의 취득,,,7644301591,,,,,
22,투자활동현금흐름,매도가능금융자산의 취득,,,5483286903,-50650282534,,,,-7530215600
23,투자활동현금흐름,유형자산의 취득,111842842554,255847008333,194062952946,,-667113595778,-659498898665,-256678407067,
24,투자활동현금흐름,무형자산의 취득,8955366721,3156225980,13574083443,-21352199403,-16732616085,-9833377190,-6665961813,
25,투자활동현금흐름,파생상품거래정산,179591219661,,,,,,,
26,투자활동현금흐름,연결범위의 변동,122666795316,-39056365862,,,,,,
27,투자활동현금흐름,금융수수료의 지급,8218608168,,,,,,,
28,투자활동현금흐름,리스채권의 회수,1054060000,,,,,,,
29,재무활동현금흐름,재무활동현금흐름,-349123663757,299299709287,51299331167,172461903511,955972612184,525910850690,37121120563,426140841808
30,재무활동현금흐름,단기이자부차입금의 차입,2498341902161,2525014721290,2853871006937,2304395138536,1888895672170,2390374917886,2564222407900,
31,재무활동현금흐름,장기이자부차입금의 차입,96225000000,594504600000,408750000000,210410000000,618670669106,101525000000,124033926102,
32,재무활동현금흐름,사채의 발행,119468370000,68849353000,296758040000,190785442960,264866860000,597179341507,179315200000,540000000000
33,재무활동현금흐름,단기이자부차입금의 상환,2557066685165,2561043117687,2520742237392,,,,,
34,재무활동현금흐름,유동성이자부차입금의 상환,228857120000,75121270000,688067813171,,,,,
35,재무활동현금흐름,장기이자부차입금의 상환,53625000000,220650000000,131125600000,,,,,
36,재무활동현금흐름,유동성리스부채의 상환,68952584119,,,,,,,
37,재무활동현금흐름,배당금의 지급,28882792324,31191572927,27544010472,-19710865738,-13454527524,-14354668800,-14622947273,-14355531450
38,재무활동현금흐름,파생상품의 거래정산,-248846820,-120934452,-14268224,559580795,-408757942,17763653292,8252407906,
39,재무활동현금흐름,자기주식의 취득,,712120487,,,,,,
40,재무활동현금흐름,자기주식의 처분,,,94265018949,,,,,
41,재무활동현금흐름,비지배지분의 변동,-125003562990,-229949450,-68749206668,,,,,
42,재무활동현금흐름,자본관련비용의 지출,522344500,,,,,,,
43,재무활동현금흐름,인적분할로 인한 변동,,,166101598792,,,,,
44,현금및현금성자산의 증가(감소),현금및현금성자산의 증가(감소),51896167578,-18255354496,-72091975026,-185952040174,231193204335,-185369192432,-253907279096,582669268313
45,기초의 현금및현금성자산,기초의 현금및현금성자산,88582094420,293015115955,379171351932,560540762114,324234998732,506230318352,763491834414,186466119715
46,K-IFRS 1109호 최초 적용에 따른 조정,K-IFRS 1109호 최초 적용에 따른 조정,,-189834902855,,,,,,
47,기초의 현금및현금성자산(재작성금액),기초의 현금및현금성자산(재작성금액),88582094420,103180213100,379171351932,560540762114,324234998732,506230318352,763491834414,186466119715
48,외화표시현금 등의 환율변동효과,외화표시현금 등의 환율변동효과,4793677109,3657235816,-14064260951,4582629992,5112559047,3373872812,-3354236966,
49,당기말의 현금및현금성자산,당기말의 현금및현금성자산,145271939107,88582094420,293015115955,379171351932,560540762114,324234998732,506230318352,763491834414
