,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,매출액,매출액,5021067627852,6939172192873,6415900820302,5322181962119,5269175684527,7283608288580,8256550007571,9160084617619
1,매출원가,매출원가,4598432976452,6619493904755,6083866588324,4846106123373,4658087894679,-6624356280832,-7575210497432,8474075122254
2,매출총이익,매출총이익,422634651400,319678288118,332034231978,476075838746,611087789848,659252007748,681339510139,686009495365
3,판매비와관리비,판매비와관리비,248686769455,219682788873,249959096510,286415675532,491185313746,-509666765263,-487307339668,495385357796
4,영업이익,영업이익,173947881945,99995499245,82075135468,189660163214,119902476102,149585242485,194032170471,190624137569
5,기타수익,기타수익,103919767788,56997325294,20286904591,7189343846,115246527401,97248575267,38850031582,220979003010
6,기타비용,기타비용,10656058415,131655394266,28098049941,21929837696,38930383434,-79209053781,-60089986452,246097102358
7,금융수익,금융수익,435953820749,589821958934,319327060194,343611766928,177740428876,238473482725,239313472909,135749270275
8,금융원가,금융원가,618132718172,600457532133,334973715462,326718745894,261155257060,-299775053238,-260971510920,117681411874
9,관계기업과 공동기업에 대한 지분법이익,관계기업과 공동기업에 대한 지분법이익,82352695710,55371217896,92450132598,,6709139141,-72073027903,-118383451580,7336694680
10,법인세비용차감전계속영업이익,법인세비용차감전계속영업이익,167385389605,70073074970,151067467448,195815062284,119512931026,,,
11,계속영업법인세비용(수익),계속영업법인세비용(수익),-28119905918,44265720539,37374657853,54353549260,23095301611,,,
12,계속영업당기순이익(손실),계속영업당기순이익(손실),195505295523,25807354431,113692809595,141461513024,96417629415,,,
13,중단영업당기순이익(손실),중단영업당기순이익(손실),54691444810,71878707622,687475102308,34403256502,-2047080385,,,
14,당기순이익(손실),당기순이익(손실),250196740333,97686062053,801167911903,,,,,
15,기타포괄손익,기타포괄손익,-24687492202,35904580654,7585559358,27645513501,20834812400,-32333634752,41872077603,-4301732046
16,기타포괄손익,매도가능금융자산평가이익(손실),387917426,9976219960,13074088287,-4617453616,1450306129,-27142350536,49651746598,22655279497
17,기타포괄손익,매도가능금융자산평가이익(손실),,,-47140626567,-4617453616,1450306129,,,
18,기타포괄손익,지분법자본변동,3950489915,5886942095,-17601491511,14502491935,14115491243,5155514883,-2963741577,-10542655838
19,기타포괄손익,해외사업환산이익(손실),3632432589,4118942746,-14645440526,3779448932,3957276474,3113535826,-524769481,-5193221335
20,기타포괄손익,위험회피회계-이자율스왑 평가손익,41680650,-29664881,-1819606243,16595993548,-14840879795,-64500380,64809831,
21,기타포괄손익,위험회피회계-리스부채 평가손익,-7236685728,,,,,,,
22,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,-25075409628,25928360694,-5488528929,,,,,
23,기타포괄손익,기타포괄손익-공정가치측정 금융자산 평가이익(손실),-11825585142,33306196274,,,,,,
24,기타포괄손익,확정급여부채의 재측정요소,-2555053201,-3267708936,-2219593258,-893603911,-2761934820,-4411776574,-4355967768,-11221134370
25,기타포괄손익,지분법자본변동,740845919,2050572487,,14502491935,14115491243,,,-10542655838
26,기타포괄손익,지분법이익잉여금,-11435617204,-6160699131,-3268935671,-1721363387,18914553169,-8984057971,,
27,당기총포괄이익,당기총포괄이익,225509248131,133590642707,808753471261,,,,,
28,당기순이익의 귀속,지배기업의 소유주지분,180382874058,70761145542,717912839545,82616919387,55550711489,-25089163596,-30899997854,79783328410
29,당기순이익의 귀속,비지배지분,69813866275,26924916511,83255072358,93247850139,38819837541,39053460821,38714761309,76803503231
30,당기총포괄이익의 귀속,지배기업의 소유주지분,165174544675,88104265701,716973025534,82616919387,55550711489,-25089163596,-30899997854,79783328410
31,당기총포괄이익의 귀속,비지배지분,60334703456,45486377006,91780445727,103849296400,33728382154,26068304447,62282668590,82598368783
32,주당이익 [abstract],보통주주당순이익,8846,3942,30597,3453,2708,-1235,,
33,주당이익 [abstract],우선주주당순이익,8896,3905,30611,3503,2758,-1185,,
34,주당이익 [abstract],계속영업 보통주주당순이익,6164,1810,2791,1911,,,,
35,주당이익 [abstract],계속영업 우선주주당순이익,6199,1793,2792,1939,,,,
