,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,17352776869000,16634727479000,16124879501000,14987716062000,12842183353000,14888371134000,16997439560000,17885165635000
1,유동자산,현금및현금성자산,2196001396000,1825558285000,1977555524000,2644213511000,3019670875000,2938605303000,2848600028000,2828784824000
2,유동자산,단기금융상품,2376093788000,2671963400000,2245428888000,3024248125000,1639957233000,182406692000,107824107000,891345185000
3,유동자산,매출채권,4138301739000,4413854740000,4788978482000,3936959472000,3477224150000,4631140296000,5138113053000,5523036938000
4,유동자산,유동성장기투자증권,1051171000,2591171000,0,,,,,
5,유동자산,단기대여금,34480166000,43550898000,59850865000,43298104000,39335958000,39016629000,47194517000,42627451000
6,유동자산,미수금,749512768000,683702009000,464518227000,335213625000,416364916000,843979272000,979782702000,886823362000
7,유동자산,미수수익,5183656000,5083257000,5094087000,7096605000,7973127000,5477799000,6244151000,21968577000
8,유동자산,선급금,402684301000,470726025000,354715235000,289026746000,307822194000,594085995000,582036617000,602674120000
9,유동자산,선급비용,50097240000,46792972000,46746333000,46354542000,51855408000,59382078000,44572661000,48376630000
10,유동자산,당기법인세자산,15919531000,9266155000,10234394000,20352187000,12022228000,76578082000,18787626000,5115931000
11,유동자산,유동성보증금,123852149000,171798101000,164729274000,124463934000,128442507000,141719281000,65971988000,70521714000
12,유동자산,유동성파생금융상품자산,34458260000,72206845000,34080164000,37730085000,78001651000,86540296000,78246243000,59754332000
13,유동자산,재고자산,6495210174000,6151889697000,5955652089000,4445258671000,3559799675000,5218732944000,7080009016000,6758731598000
14,유동자산,매각예정자산,729486873000,65500000000,0,22638793000,25577624000,,,
15,유동자산,기타유동자산,443657000,243924000,17295939000,4650398000,2972873000,4948000,11600000,18906000
16,비유동자산,비유동자산,22173279738000,19218655034000,17912200384000,17593614921000,18517652383000,20212942680000,18291429648000,15945914737000
17,비유동자산,장기금융상품,4615948000,4720012000,4501038000,12180913000,12010736000,4337711000,12990650000,15616807000
18,비유동자산,장기매출채권,0,78836000,152927000,,,,254324000,530251000
19,비유동자산,장기투자증권,369486521000,333183684000,276337835000,242550426000,219125415000,218394287000,268266902000,271996845000
20,비유동자산,관계기업 및 공동기업투자,3495069938000,2881803332000,2431188073000,2178456290000,2338794624000,2244858981000,1872966212000,1488232621000
21,비유동자산,장기대여금,403691278000,196242473000,106311406000,106472779000,88441822000,174500457000,275699348000,323457917000
22,비유동자산,장기미수금,8455857000,12857090000,16832318000,,,,,
23,비유동자산,유형자산,15462371776000,13685031864000,13479702472000,13603485936000,13914156195000,15126240023000,14334886085000,12324047879000
24,비유동자산,사용권자산,1125712493000,0,0,,,,,
25,비유동자산,영업권 및 무형자산,1118922800000,2005923554000,1501150011000,1272299413000,1663071540000,1943807532000,1381680574000,1363916150000
26,비유동자산,장기보증금,83566701000,42565096000,28327366000,,,,,
27,비유동자산,비유동파생금융상품자산,40828407000,8502747000,1975292000,27627689000,16775405000,765561000,2084956000,1310500000
28,비유동자산,이연법인세자산,41740920000,23934019000,37581019000,98194340000,191149454000,393811434000,54225683000,31530225000
29,비유동자산,기타비유동자산,18817099000,23812327000,28140627000,27577228000,49217916000,59519430000,60307882000,100138270000
30,자산총계,자산총계,39526056607000,35853382513000,34037079885000,32581330983000,31359835736000,35101313814000,35288869208000,33831080372000
31,유동부채,유동부채,10456380735000,8866633214000,9902770338000,8736546528000,7494013739000,11403361285000,11665349893000,12024817510000
32,유동부채,단기차입금,1131974169000,153742080000,242879213000,21892700000,389337883000,3023755555000,2220863082000,1538100170000
33,유동부채,매입채무,4928198197000,4588331578000,5224567606000,4207705418000,2754331575000,4416788937000,6030813882000,6225783253000
34,유동부채,미지급금,529313420000,465067560000,446726017000,340870826000,239635162000,227612806000,321448733000,263624555000
35,유동부채,미지급비용,1470407321000,1341253207000,1160969194000,1082371481000,1329472936000,1319731507000,1246807151000,1245922613000
36,유동부채,선수금,145159282000,117420458000,80431805000,55688355000,61429632000,74967835000,54090170000,58701545000
37,유동부채,예수금,705518790000,642579054000,841301486000,826255180000,685098195000,691437326000,738552997000,719772752000
38,유동부채,당기법인세부채,83390901000,220772167000,480833917000,339441767000,229856033000,110181387000,130227281000,131884147000
39,유동부채,유동성장기부채,1155413760000,1213849009000,1264752681000,1678094756000,1655394456000,1136994413000,824260625000,1766545572000
40,유동부채,유동성리스부채,223202897000,20509000,1181769000,,,,,
41,유동부채,유동성임대보증금,11569721000,12357819000,13412485000,15958554000,10866400000,24704552000,17277912000,16920076000
42,유동부채,유동성파생금융상품부채,14065053000,55846355000,90768855000,108204853000,79002806000,359992394000,56287368000,37324427000
43,유동부채,매각예정부채,7865246000,0,0,,1028832000,,,
44,유동부채,기타유동부채,50301978000,55393418000,54945310000,59878491000,58559829000,17163265000,13980152000,14843227000
45,비유동부채,비유동부채,10860052110000,7812495075000,4974433345000,5539739196000,6819485776000,7636895282000,6708265561000,5458238140000
46,비유동부채,사채 및 장기차입금,8843635957000,6646149336000,4053042957000,4869727645000,6130094121000,6814444160000,5837334591000,4604882322000
47,비유동부채,리스부채,937875544000,3876000,10464000,,,,,
48,비유동부채,장기미지급금,6179602000,12590361000,6539755000,,,,,
49,비유동부채,확정급여부채,48592812000,77883773000,75693316000,51872799000,70410232000,50167938000,61126997000,48252533000
50,비유동부채,충당부채,132027862000,118805835000,99541089000,60811671000,41562953000,22551138000,16945092000,17238932000
51,비유동부채,임대보증금,11280590000,10020252000,0,15958554000,10866400000,24704552000,17277912000,16920076000
52,비유동부채,비유동파생금융상품부채,687454000,0,0,,,,,
53,비유동부채,금융보증부채,252275000,721035000,1131271000,1768252000,2199242000,200851000,605197000,1586823000
54,비유동부채,이연법인세부채,879452103000,946255025000,730629300000,545881043000,562142792000,711681080000,766823547000,784515738000
55,비유동부채,기타비유동부채,67911000,65582000,7845193000,9677786000,9847063000,4681971000,2832458000,37482000
56,부채총계,부채총계,21316432845000,16679128289000,14877203683000,14276285724000,14313499515000,19040256567000,18373615454000,17483055650000
57,지배기업소유주에 귀속되는 자본,지배기업소유주에 귀속되는 자본,17468081248000,18122637176000,18084300680000,17103156391000,15889741710000,15000341007000,15839458152000,15371341792000
58,지배기업소유주에 귀속되는 자본,자본금,468569950000,468569950000,468569950000,468569950000,468569950000,468569950000,468569950000,468569950000
59,지배기업소유주에 귀속되는 자본,기타불입자본,4629395914000,4628540029000,5629672498000,5748106256000,5748106256000,5756981691000,5756998364000,5757016903000
60,지배기업소유주에 귀속되는 자본,이익잉여금,12175219414000,12928527378000,12040229232000,10670829483000,9449629808000,8636045994000,9535337184000,9114822993000
61,지배기업소유주에 귀속되는 자본,기타자본구성요소,194895970000,96999819000,-54171000000,215650702000,223435696000,138743372000,78552654000,30931946000
62,비지배지분,비지배지분,741542514000,1051617048000,1075575522000,1201888868000,1156594511000,1060716240000,1075795602000,976682930000
63,자본총계,자본총계,18209623762000,19174254224000,19159876202000,18305045259000,17046336221000,16061057247000,16915253754000,16348024722000
64,,부채와자본총계,39526056607000,35853382513000,34037079885000,32581330983000,31359835736000,35101313814000,35288869208000,33831080372000
